entity,label,p_cec,conflict,p_maker,p_generic_use,p_alt_meaning,n_titles,n_categories,slots,example_title,p_recognized,gated
nescafe,branded,1.0,False,1.0,0.0,0.0,1,0,inline,Coffee powder Nescafe 500 gm,1.0,False
blinkitinstamart,branded,1.0,False,1.0,0.0,0.0,1,1,suffix,Mother's Day Double Chocolate Brownie box - Blinkit / Instamart,,False
griffith,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Griffith Hot Chilli Marinade,0.2254,True
parsidairyfarm,branded,1.0,False,1.0,0.0,0.0,5,3,suffix,#_# Mango Kulfi 300gm - Parsi Dairy Farm,,False
prasuma,branded,1.0,False,1.0,0.0,0.0,9,6,suffix,#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,,False
blinkit,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Mother's Day Double Chocolate Brownie box - Blinkit / Instamart,0.9817,False
fanta,branded,1.0,False,1.0,0.0,0.0,1,0,prefix,Fanta Can 300ml-GST@ 28%,1.0,False
vanhouten,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Cocoa powder (Medium Brown) Vanhouten,0.9993,False
instamart,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Mother's Day Double Chocolate Brownie box - Blinkit / Instamart,0.7853,False
bardinet,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,BARDINET BRANDY 1000 ML,0.9978,False
chatramue,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Thai Tea Mix 400g packet Chatramue,0.9918,False
agnessi,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Agnessi Penne Pasta,0.8355,False
naturesmith,branded,0.8,False,1.0,0.0,0.0,1,0,prefix,NATURESMITH PAPRIKA POWDER 60GM,0.0256,True
amul,branded,1.0,False,1.0,0.0,0.0,4,3,inline|prefix,Amul Cheese Spread 200 Gm,,False
cremica,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Cremica Chef Choice Mayo,0.998,False
harpic,branded,1.0,False,1.0,0.0,0.0,4,0,prefix,HARPIC,,False
perrier,branded,1.0,False,1.0,0.0,0.0,1,0,prefix,Perrier Water 330mL,1.0,False
cookiecartel,branded,1.0,False,1.0,0.0,0.0,5,4,suffix,#_# Caramelo Banditos Sticker - Cookie Cartel,,False
thewholetruth,branded,1.0,False,1.0,0.0,0.0,3,3,suffix,#_# Soaked Chia - The Whole Truth,,False
gozero,branded,1.0,False,1.0,0.0,0.0,4,1,suffix,#_# French Vanilla (100 ml) - Go Zero,,False
tropicana,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Tropicana Orange Juice 1 Ltr,1.0,False
fevicol,branded,1.0,False,1.0,0.0,0.0,1,0,prefix,Fevicol 1 Kg,1.0,False
coolberg,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),0.9185,False
wyke,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Cheddar White Wyke 2.5 Kg,0.9897,False
sumabrite,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Sumabrite Degreaser nd Heavy duty cleaner (break up HD),0.2309,True
dabur,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Dabur Honey,1.0,False
tata,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Tata Agni Dust Tea 1 kg,1.0,False
itc,branded,1.0,False,1.0,0.0,0.0,2,2,allcaps,Chicken wings Coated ( ITC ),,False
noto,branded,1.0,False,1.0,0.0,0.0,4,4,suffix,#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,,False
hungritos,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Hungritos Permium without Skin On Fries 9Mm,0.0056,True
maggi,branded,1.0,False,1.0,0.0,0.0,2,2,prefix,Maggi Seasoning Sauce 680Ml,,False
sandburgs,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Sandburgs Truffle Barbeque sauce (500 gram),0.0,True
grover,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Grover Selecte Chenin Blanc 750 Ml,0.9707,False
getaway,branded,1.0,False,1.0,0.0,0.0,3,3,suffix,#_# Tender Coconut Litchi Ice Pop - Getaway,,False
caterspoint,branded,0.8,False,1.0,0.0,0.0,1,1,inline,SLEEVES 750 ML BAGASSE CATERSPOINT,0.0415,True
nestle,branded,1.0,False,1.0,0.0,0.0,3,1,inline|prefix,Nestle Milk Powder 1KG,,False
hamdard,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,HAMDARD ROOHAFZA 750ML,1.0,False
micks,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Micks Lotus Biscoff Biscuit,0.0113,True
sancc,branded,1.0,False,1.0,0.0,0.0,1,1,suffix,White sesame Seeds 100G - Sancc,,False
dollur,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Dollur Amla Jar,0.0001,True
bico,branded,1.0,False,1.0,0.0,0.0,1,1,inline|suffix,#_# BC - Aam Ice Cream [300ML] - BICO,,False
thetinytub,branded,1.0,False,1.0,0.0,0.0,2,1,suffix,#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,,False
dadus,branded,1.0,False,1.0,0.0,0.0,1,1,suffix,#_# Motichur Laddu 500gms - Dadus,,False
lafolie,branded,1.0,False,1.0,0.0,0.0,3,3,suffix,#_# The Berry Good Bar 72% [Chocolate Bar] - La Folie,,False
twinings,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Twinings strawberry green tea,1.0,False
ether,branded,1.0,False,1.0,0.0,0.0,4,4,suffix,#_# SIERRA 72% Dark Chocolate Bar - Ether,,False
urbani,branded,1.0,False,1.0,0.0,0.0,1,0,inline,Truffle Oil Urbani 250 ml,0.9998,False
diversey,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Diversey Spray Bottles,0.9999,False
snacc,branded,1.0,False,1.0,0.0,0.0,11,9,allcaps|inline|suffix,Dhania Pudina Chutney-SNACC,,False
mtr,branded,1.0,False,1.0,0.0,0.0,1,1,allcaps,MTR Sambar,0.9997,False
malas,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Malas strawberry crush 750ml,0.5156,False
sarwar,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Sarwar Onion Powder 450gm,0.0013,True
aavin,branded,1.0,False,1.0,0.0,0.0,1,0,prefix,Aavin Milk,0.9976,False
rajdhani,branded,1.0,False,1.0,0.0,0.0,3,3,inline|prefix,Red Malka (Lal Masoor) Rajdhani,,False
milkhana,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Milkhana Melted Cheese,0.304,True
timmys,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Timmys Food Bag,0.0219,True
lefour,branded,0.9999,False,1.0,0.0,0.0001,2,2,suffix,#_# Tag - Gluten-free Paleo Cookies - Le Four,,False
eastmade,branded,0.9999,False,0.9999,0.0,0.0,2,2,prefix,EASTMADE - CUMIN (JEERA) 1 KG,,False
vkl,branded,0.8,False,0.9999,0.0,0.0,2,1,allcaps|prefix,VKL PERI PERI MARINADE,0.0851,True
cartel,branded,0.9999,False,0.9999,0.0,0.0,5,4,inline,#_# Caramelo Banditos Sticker - Cookie Cartel,,False
foodoo,branded,0.8,False,0.9999,0.0,0.0,1,1,inline,PASSION FRUIT SYRUP(1 LTR) Foodoo,0.0011,True
sprite,branded,0.9999,False,0.9999,0.0,0.0,2,0,prefix,SPRITE 250ML,0.9999,False
termocool,branded,0.8,False,0.9999,0.0,0.0,1,1,prefix,Termocool morded box,0.3242,True
parsi,branded,0.9999,False,0.9999,0.0,0.0,5,3,inline,#_# Mango Kulfi 300gm - Parsi Dairy Farm,,False
truth,branded,0.9999,False,0.9999,0.0,0.0,3,3,inline,#_# Soaked Chia - The Whole Truth,,False
morde,branded,0.9999,False,0.9999,0.0,0.0,1,1,inline,GK-Morde - Hazelnut Chocopaste 1 Kg 140027,0.9033,False
delmonte,branded,0.9999,False,0.9999,0.0,0.0,1,1,prefix,Delmonte - Eggless Mayo,0.9997,False
gfb,branded,0.8,False,0.9999,0.0,0.0,1,1,allcaps,GFB Mushroom Patty,0.0272,True
newtrition,branded,0.8,False,0.9999,0.0,0.0,1,1,prefix,"Newtrition - Lemon Ginger, 500 ML",0.02,True
bikkgane,branded,0.8,False,0.9999,0.0,0.0,1,1,inline,Napkin Bikkgane,0.0145,True
president,branded,0.9999,False,0.9999,0.0,0.0001,1,1,prefix,President Butter Unsalted 500gm,0.9996,False
aava,branded,0.9999,False,1.0,0.0,0.0001,1,1,inline,Natural Mineral Water Aava 500 ml,0.5039,False
nandini,branded,0.9998,False,0.9999,0.0,0.0002,1,1,inline,Goodlife Milk 1ltr pkt Nandini,0.9997,False
frozenfun,branded,0.9998,False,1.0,0.0,0.0002,1,1,suffix,#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,,False
kinley,branded,0.9998,False,0.9998,0.0,0.0,3,1,inline|prefix,Soda Water Kinley 750 ml,,False
oaksmith,branded,0.9998,False,0.9998,0.0,0.0,1,0,prefix,Oaksmith,0.566,False
thums,branded,0.8,False,0.9998,0.0,0.0,1,0,prefix,Thums Up 250 ml,0.3381,True
colin,branded,0.9998,False,0.9998,0.0,0.0,2,2,prefix,Colin Spray 500ml,,False
pril,branded,0.9998,False,0.9998,0.0,0.0,1,0,prefix,Pril Liquid,0.9736,False
cbtl,branded,0.9998,False,0.9998,0.0,0.0,2,2,allcaps,Hazelnut Brownie Outer Sticker (CBTL),,False
outsource,branded,0.9998,False,1.0,0.0002,0.0,1,1,suffix,Rasila Rajma - Outsource,,False
madhusudan,branded,0.9998,False,1.0,0.0,0.0002,1,1,prefix,Madhusudan Butter,0.6039,False
prepit,branded,0.8,False,0.9997,0.0,0.0,1,1,prefix,Prepit Hyderabad Biriyan 1 kg,0.0003,True
bru,branded,0.9997,False,0.9997,0.0,0.0001,1,0,prefix,Bru Coffee 500g,0.9912,False
flyp,branded,0.8,False,0.9997,0.0,0.0,2,1,allcaps,Paper Cup 350ml (10'' Oz) FLYP,0.0408,True
chandras,branded,0.8,False,0.9999,0.0,0.0004,1,1,inline,Long Note Book 200 Pgs Chandras SB,0.0042,True
corona,branded,0.9996,False,1.0,0.0,0.0004,1,1,prefix,Corona Lager Beer 330 ml,1.0,False
fryola,branded,0.8,False,0.9996,0.0,0.0,1,0,prefix,Fryola Oil,0.0001,True
lobo,branded,0.9996,False,1.0,0.0,0.0004,1,1,prefix,Lobo - 5 Spice Powder 65 gm 51547,0.9046,False
lotus,branded,0.9996,False,0.9999,0.0,0.0004,4,2,inline|prefix,Lotus Flour,,False
shan,branded,0.9995,False,0.9999,0.0,0.0005,1,0,inline,Nihari Masala  (Shan),1.0,False
biscoff,branded,0.9995,False,0.9995,0.0001,0.0,4,4,inline|prefix,Biscoff Biscuit Lotus,,False
teaspoon,branded,0.9994,False,0.9994,0.0,0.0,5,5,inline,#_# Greeting Card - Sassy Teaspoon,,False
parry,branded,0.9994,False,0.9994,0.0,0.0,1,0,prefix,Parry Sugar White,0.9372,False
nutrela,branded,0.9994,False,0.9994,0.0,0.0,1,0,prefix,Nutrela (1pkt),0.9995,False
mbk,branded,0.8,False,0.9993,0.0,0.0,1,1,allcaps,Thai Jasmine Rice 2kg pkt MBK,0.2069,True
griseldas,branded,0.8,False,0.9993,0.0,0.0,1,1,prefix,#_# Griselda's Red Velvet Sticker (Eggless) - Cookie Cartel,0.0002,True
sandhouse,branded,0.8,False,0.9993,0.0,0.0,1,1,inline,11.5x11.5 (Round) Sandhouse Butter paper (40GSM),0.0001,True
habit,branded,0.8,False,0.9992,0.0,0.0,1,1,prefix,Habit Olives Green Pitted 3Kg,0.0072,True
fortune,branded,0.9992,False,0.9999,0.0,0.0008,1,1,prefix,Fortune Aata,0.9973,False
chef,branded,0.9991,False,0.9991,0.0,0.0004,5,3,inline|prefix,Chef Coat S36  Black Half Sleeve,,False
rsons,branded,0.8,False,0.9991,0.0,0.0,1,1,inline,Chilled Chicken Thigh Boneless 1 kg (Rsons),0.0006,True
saladspoint,branded,0.8,False,0.999,0.0,0.0,1,1,inline,TOP COVER OF BOX 750 ML SALADSPOINT,0.0,True
infinite,branded,0.999,False,1.0,0.0,0.001,2,2,inline|prefix,Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,,False
coke,branded,0.999,False,0.9995,0.0009,0.001,3,1,prefix,Coke 750 Ml,,False
junos,branded,0.8,False,0.9987,0.0,0.0,1,1,inline,Pizza Base 8 inch Whole Wheat Pan Crust (Junos),0.0447,True
kissan,branded,0.9986,False,1.0,0.0,0.0014,1,1,prefix,Kissan Tomato Sause Dip,0.9999,False
kcco,branded,0.8,False,0.9985,0.0,0.0,1,0,prefix,Kcco Tray Big,0.0567,True
ketel,branded,0.9984,False,1.0,0.0,0.0016,1,1,prefix,Ketel One Vodka 750 ml,0.9934,False
coolberggingerflavour,branded,0.9984,False,0.9984,0.0001,0.0,1,1,suffix,Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),,False
namjai,branded,0.8,False,0.9984,0.0,0.0,1,0,inline,GREEN CURRY PASTE NAMJAI 1 KG,0.0241,True
samseer,branded,0.8,False,0.9983,0.0,0.0,1,1,prefix,SAMSEER MARK,0.0,True
aashirvaad,branded,0.9983,False,1.0,0.0,0.0017,1,0,prefix,AASHIRVAAD - ATTA 10 KG BAG,0.9999,False
pitambari,branded,0.998,False,1.0,0.0,0.002,2,0,prefix,Pitambari 150 gm,0.9937,False
chuk,branded,0.8,False,0.9994,0.0024,0.0016,2,1,inline|prefix,7 inch Plate Chuk,0.0503,True
sargvo,branded,0.8,False,0.9999,0.0026,0.0017,1,1,prefix,Sargvo-Drumsticks,0.0,True
folie,branded,0.9974,False,0.9974,0.0,0.0001,2,2,inline,#_# The Berry Good Bar 72% [Chocolate Bar] - La Folie,,False
gtc,branded,0.8,False,0.9971,0.0,0.0,1,0,allcaps,GTC Pizza Box 9x9,0.0083,True
zero,branded,0.997,False,0.997,0.0,0.0005,4,1,inline,#_# French Vanilla (100 ml) - Go Zero,,False
goodlife,branded,0.9969,False,0.9969,0.0,0.0,1,1,prefix,Goodlife Milk 1ltr pkt Nandini,0.7931,False
cellofin,branded,0.8,False,0.9991,0.0031,0.0001,1,0,prefix,CELLOFIN PAPER,0.0002,True
art,branded,0.9968,False,0.9984,0.0,0.0032,3,2,inline,Chef's Art - Crispy Cajun Breading Mix 1 Kg H51176,,False
sdu,branded,0.8,False,0.9966,0.0,0.0,1,1,allcaps,SDU Deva Chardonnay White wine 750ml,0.02,True
acton,branded,0.8,False,0.9965,0.0002,0.0,1,1,allcaps,A-005 Grill and Oven Cleaner ACTON,0.1561,True
evd,branded,0.8,False,0.9963,0.0,0.0,1,1,prefix,EVD DAIRY WHITENER 1 KG,0.0006,True
chonkers,branded,0.9961,False,1.0,0.0,0.0039,2,2,inline|suffix,#_# Frozen OG Chocolate Chip Chonker - Chonkers,,False
anando,branded,0.9961,False,1.0,0.0,0.0039,1,1,suffix,#_# Tango Mango - Anando,,False
mrd,branded,0.8,False,0.9958,0.0,0.0,1,0,allcaps,MRD Stickers,0.0019,True
scotch,branded,0.9957,False,0.9957,0.0,0.0008,5,2,inline|prefix,Butter Scotch DF Bite,,False
aachi,branded,0.9955,False,1.0,0.0,0.0045,1,1,prefix,AACHI KULAMBU MILAKAI STAFF,0.9987,False
four,branded,0.9954,False,0.9954,0.0,0.0012,2,2,inline,#_# Tag - Gluten-free Paleo Cookies - Le Four,,False
flanders,branded,0.9949,False,1.0,0.0,0.0051,1,1,suffix,Mozzarella Cheese - Flanders,,False
thinkoriginshazelnutcoldfiltercoffeefssai,branded,0.9948,False,0.9948,0.0,0.0,1,1,suffix,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,,False
stafftoordal1kgnonip131965,branded,0.9946,False,0.9949,0.0054,0.0,1,1,suffix,Economy - Staff Toor Dal 1 Kg (Non IP) 131965,,False
goose,branded,0.8,False,0.9941,0.0,0.0002,1,1,inline,Sriracha Hot Chilli Sauce Flying Goose 730 gm,0.2121,True
sakthi,branded,0.9939,False,1.0,0.0,0.0061,1,1,prefix,"Sakthi - Kulambu Chilli powder, 500gm",0.9997,False
ucc,branded,0.9931,False,0.9931,0.0,0.0,1,1,allcaps,UCC 2door 3drawer + raised BM + 1/6gnx6,0.8977,False
reeses,branded,0.9924,False,0.9924,0.0,0.0004,1,1,inline,#_# The Godfather (Reeses peanut butter cup) Cookie Dough - Cookie Cartel,0.9999,False
camino,branded,0.8,False,0.9971,0.0,0.0077,1,1,prefix,Camino Real Gold 750Ml,0.3739,True
ashok,branded,0.9922,False,0.9999,0.0,0.0078,1,1,prefix,Ashok Besan,0.9883,False
jacobs,branded,0.9901,False,0.9901,0.0,0.0001,1,1,prefix,Jacobs Creek Red 750Ml,0.989,False
thundercrush,branded,0.8,False,0.9897,0.0001,0.0,1,0,inline,SP Thundercrush French Fries 9mm,0.0,True
caramelo,branded,0.9895,False,0.9982,0.0105,0.0093,4,3,inline|prefix,#_# Caramelo Banditos Sticker - Cookie Cartel,,False
windmill,branded,0.8,False,0.9893,0.0,0.0001,1,1,prefix,Windmill Potato starch,0.0567,True
pmk,branded,0.989,False,0.989,0.0004,0.0,2,2,allcaps,#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,,False
roohafza,branded,0.9879,False,0.9879,0.0,0.0,1,1,inline,HAMDARD ROOHAFZA 750ML,0.9208,False
cantener,branded,0.8,False,0.9876,0.0004,0.0,1,1,prefix,Cantener Half,0.0,True
nam,branded,0.8,False,0.9986,0.0003,0.0128,1,1,prefix,Nam Shop Sticker   Prawn Crackers Large,0.0066,True
tag,branded,0.8,False,0.9868,0.0008,0.0024,1,1,prefix,#_# Tag - Gluten-free Paleo Cookies - Le Four,0.0183,True
flow,branded,0.9864,False,0.9864,0.0006,0.0068,1,1,prefix,Flow Wrap Rolls - Raspberry Duet (60 ml),0.6619,False
finagel,branded,0.8,False,0.9841,0.0,0.0,1,0,prefix,Finagel,0.0,True
coca,branded,0.8,False,0.9838,0.0,0.0,2,1,prefix,Coca cola 750ml,0.061,True
challenge,branded,0.8,False,0.9831,0.0,0.0001,1,1,inline,Royal Challenge,0.1582,True
bina,branded,0.9797,False,1.0,0.0,0.0203,4,3,suffix,#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,,False
row,branded,0.8,False,0.9777,0.0002,0.0004,1,1,allcaps|prefix,ROW - Barcode Lable 50mmX25mm Non Tearable,0.0007,True
onesta,branded,0.8,False,0.9777,0.0,0.0,1,1,inline,Grated mozzarella New Onesta,0.0276,True
wyn,branded,0.8,False,0.9763,0.0,0.0002,1,1,inline,Gulab Jamun (Wyn),0.061,True
thondaika,branded,0.8,False,0.9763,0.0002,0.0001,1,0,prefix,Thondaika,0.0,True
pipers,branded,0.9759,False,0.9759,0.0,0.0042,1,0,inline,100 Pipers. 750Ml,0.5775,False
angel,branded,0.8,False,0.9716,0.0001,0.0051,1,1,inline,Teqila Blanco Don Angel 750 Ml,0.3381,True
vat,branded,0.8,False,0.9707,0.0001,0.0012,1,0,prefix,Vat 69,0.2878,True
sweetish,branded,0.9664,False,1.0,0.0,0.0336,3,2,suffix,#_# Big Blue Box - Sweetish,,False
flying,branded,0.8,False,0.961,0.0,0.0002,1,1,inline,Sriracha Hot Chilli Sauce Flying Goose 730 gm,0.0096,True
piripirisprinkler250gm51189,branded,0.9566,False,0.9978,0.0434,0.0001,1,1,suffix,Chefs Art - Piri Piri Sprinkler 250 gm 51189,,False
chulla,branded,0.8,False,0.9906,0.0001,0.0496,1,0,prefix,CHULLA,0.0023,True
ciclo,branded,0.8,False,0.9497,0.0,0.0004,1,1,prefix,Ciclo Printed Cake Box 2Pc,0.0036,True
hollo,branded,0.8,False,0.9417,0.0004,0.0,1,0,prefix,HOLLO MAT3125*5,0.0014,True
afza,branded,0.8,False,0.9408,0.0034,0.0454,1,1,inline,ROOH AFZA,0.1225,True
amore,branded,0.9381,False,1.0,0.0,0.0619,1,1,suffix,#_# Wooden Spoon - Amore,,False
carnattion,branded,0.8,False,0.9363,0.0001,0.0,1,1,prefix,CARNATTION MILK  405 GM ( EVAPORATED MILK ),0.0001,True
angostura,branded,0.9344,False,1.0,0.0001,0.0656,1,1,allcaps,ANGOSTURA Aromatic bitters (200ML),1.0,False
vikram,branded,0.8,False,1.0,0.0,0.077,1,1,prefix,VIKRAM - CHAKKI ATTA 30 KG,0.3522,True
raspberryduet60ml,branded,0.923,False,0.9921,0.077,0.0033,1,1,suffix,Flow Wrap Rolls - Raspberry Duet (60 ml),,False
one,branded,0.9219,False,0.9219,0.0,0.0001,1,1,inline,Ketel One Vodka 750 ml,0.5156,False
suma,branded,0.9149,False,0.9149,0.0,0.0001,2,2,inline|prefix,Taski Suma Ultra (L2) 5L Can,,False
supli,branded,0.8,False,0.9149,0.0792,0.0115,1,1,inline,Dust Pan  Supli,0.0003,True
miami,branded,0.8,False,0.9149,0.0001,0.002,1,1,inline,GK-Miami Waffle Pizza Pkg Box 1PKT 100PC GK Dry 137504,0.0995,True
bandan,branded,0.8,False,0.9149,0.0013,0.0685,1,0,prefix,Bandan Cap,0.0,True
dairy,branded,0.9124,False,0.9955,0.0006,0.0876,7,5,inline,EVD DAIRY WHITENER 1 KG,,False
oyester,branded,0.8,False,0.9019,0.0108,0.0055,2,1,prefix,Oyester Sauce- non veg,0.0001,True
bbk,branded,0.8808,False,0.8808,0.0007,0.0,1,1,allcaps,Cotton BBK Apron,0.9864,False
ajino,branded,0.8,False,0.8688,0.0056,0.0049,1,1,prefix,AJINO MOTO,0.2878,True
sassy,branded,0.867,False,0.867,0.0,0.0,5,5,inline,#_# Greeting Card - Sassy Teaspoon,,False
sierra,branded,0.8652,False,0.8652,0.0001,0.0033,1,1,allcaps,#_# SIERRA 72% Dark Chocolate Bar - Ether,0.8539,False
origins,branded,0.8634,False,0.8634,0.0005,0.0341,1,1,inline,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,0.9693,False
deva,branded,0.8,False,0.9698,0.0002,0.1403,1,1,inline,SDU Deva Chardonnay White wine 750ml,0.0421,True
vijay,branded,0.8597,False,0.9985,0.0,0.1403,1,1,inline,Rice flour Vijay 1KG-SNACC,0.8634,False
voila,branded,0.8,False,0.8559,0.0001,0.0058,1,1,inline,Silken Tofu 300g Voila,0.0264,True
rail,branded,0.8,False,0.852,0.0001,0.0,1,0,inline,QT Rail,0.0115,True
aakhu,branded,0.848,False,0.848,0.1441,0.0126,1,1,inline,Kashmiri Mirch Aakhu - Red Chilly Whole Kashmiri,,False
creek,branded,0.8418,False,0.8418,0.0,0.0,1,1,inline,Jacobs Creek Red 750Ml,,False
royal,branded,0.8311,False,0.9972,0.1689,0.1112,2,2,inline|prefix,Luster Dust Royal Gold,,False
story,branded,0.8267,False,0.8267,0.0031,0.0068,1,1,inline,Cutlery Set The Cake Story,,False
pokchay,branded,0.8267,False,0.8267,0.0,0.0001,1,0,prefix,Pokchay,,False
active,branded,0.8222,False,0.8222,0.0001,0.0619,1,1,prefix,Active X Mustard Oil 500mL,,False
zukni,branded,0.8032,False,0.8032,0.0,0.0,1,0,prefix,Zukni Green,,False
mother,branded,0.8032,False,0.9978,0.0,0.1968,2,2,prefix,Mother Dairy milk,,False
roleys,branded,0.7982,False,0.7982,0.1403,0.0,1,1,inline,#_# Assorted Roleys (Box of 6) - Meemees,,False
wonder,branded,0.7957,False,0.9995,0.0003,0.2043,2,2,prefix,Wonder Wipes,,False
chapad,branded,0.7931,False,0.7931,0.2018,0.0216,1,1,prefix,CHAPAD HEAVY,,False
tues,branded,0.7773,False,0.7773,0.0008,0.0583,1,1,inline,COLOUR CODE DOTT TUES,,False
chocolatier,branded,0.7549,False,0.7549,0.0,0.0002,3,3,inline,#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,,False
crown,branded,0.7549,False,0.7549,0.001,0.009,1,1,inline,Ajinomoto (Golden Crown),,False
daily,branded,0.752,False,0.9489,0.0006,0.248,2,2,prefix,DAILY FRESH MILLETS IDLI AND DOSA BATTER POUCH 1/2KG,,False
mark,branded,0.7491,False,0.7491,0.001,0.0088,1,1,inline,SAMSEER MARK,,False
tru,branded,0.7432,False,0.7432,0.0011,0.0,1,1,inline,#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,,False
trust,branded,0.7432,False,0.7432,0.0002,0.0002,1,1,inline,Breakfast Sugar Trust 1 Kg,,False
varavrage,branded,0.7186,False,0.7186,0.0019,0.0,1,1,inline,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,,False
star,branded,0.7122,False,0.979,0.0447,0.2878,1,1,prefix,Star Papad,,False
ananda,branded,0.7122,False,0.9999,0.0,0.2878,1,0,prefix,ANANDA PANEER 1 KG,,False
noodal,branded,0.7122,False,0.7122,0.0128,0.0637,1,0,inline,SS  NOODAL CHANNI,,False
ceaser,branded,0.7058,False,0.7058,0.272,0.009,1,1,inline,#_# Black Ceaser Dough - Cookie Cartel,,False
how,branded,0.6859,False,0.6859,0.0002,0.0002,1,1,inline,Rice Flat Noodle 10mm   500g pkt   How How,,False
agni,branded,0.6792,False,0.6792,0.0001,0.02,1,1,inline,Tata Agni Dust Tea 1 kg,,False
