title,sonnet_label,conf_4o_mini,conf_4o,opus_label
GFB Mushroom Patty,Branded,0.0954,0.85,Branded
RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,Branded,0.0954,0.0033,Branded
#_# SIERRA 72% Dark Chocolate Bar - Ether,Branded,0.1192,0.923,Branded
Wonder Wipes,Branded,0.148,0.9831,Branded
CELLO TAPE BIG PLAIN 3 INCH,Branded,0.2227,0.9976,Branded
DAILY FRESH MILLETS IDLI AND DOSA BATTER POUCH 1/2KG,Branded,0.2227,0.9995,Branded
#_# Hamper Box Of 2 Outer  - The Tiny Tub,Branded,0.2227,0.0076,Branded
#_# Tag - Gluten-free Paleo Cookies - Le Four,Branded,0.2689,0.0015,Branded
Maida DFM 50 Kg Unbrand,Unbranded,0.3208,0.9997,Unbranded
Jain Hing Powder,Branded,0.3208,0.6826,Branded
White sesame Seeds 100G - Sancc,Branded,0.3775,0.0009,Branded
Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,Branded,0.4378,0.0,Branded
Agnessi Penne Pasta,Branded,0.4378,0.9999,Branded
Star Papad,Branded,0.4378,0.8888,Branded
Napkin Bikkgane,Unbranded,0.4378,0.9208,Unbranded
#_# Sugar Free Coffee Almond Ice Cream Tub (125 ml) - Bina,Branded,0.4378,0.0046,Branded
HING (LG),Branded,0.5622,0.9986,Branded
Ciclo Printed Cake Box 2Pc,Branded,0.5622,0.0759,Branded
GK - Infinite Food - Strawberry Smoothie Premix Powder (58 G x 15 sachet),Branded,0.5622,0.1312,Branded
GK-Miami Waffle Pizza Pkg Box 1PKT 100PC GK Dry 137504,Branded,0.6792,0.0197,Branded
N20 Whipped Cream Chargers,Branded,0.6792,0.0026,Branded
Wrapper Yellow (12x12) for FLYP,Branded,0.7311,0.0007,Branded
Golden Dust,Branded,0.7773,0.8808,Branded
Hungritos Permium without Skin On Fries 9Mm,Branded,0.7773,0.9759,Branded
Cutlery Set The Cake Story,Branded,0.7773,0.9977,Branded
Blue Pine Artesian Water - 750 ML - GST @18 %,Branded,0.8176,0.0023,Branded
Rice flour Vijay 1KG-SNACC,Branded,0.8176,0.9996,Branded
Fryola Oil,Branded,0.852,0.7217,Branded
Food Colours Splash 200g Assorted,Branded,0.852,0.9855,Branded
Cantener Half,Unbranded,0.852,0.9984,Unbranded
TT RIBBAN J304 (110MM X 300MTR),Branded,0.852,0.9947,Unbranded
"RTE-Seths - Chinese Ready Schezwan Sauce (Frozen), 1 Kg BB0009",Branded,0.9046,0.8355,Branded
Milk Compound Slab M21,Unbranded,0.9241,1.0,Unbranded
Dark Compound Co D15 500Gms,Unbranded,0.9241,0.9981,Unbranded
Ro 48,Unbranded,0.9526,0.9999,Unbranded
SDU Deva Chardonnay White wine 750ml,Branded,0.9526,0.9991,Branded
Sticker Veg 750 ml Container,Unbranded,0.9707,1.0,Unbranded
Active X Mustard Oil 500mL,Branded,0.9707,0.0003,Branded
Crunchy butterscotch PP 100ML,Unbranded,0.9707,1.0,Unbranded
SPINCACH,Unbranded,0.9707,0.9999,Unbranded
Sumabrite Degreaser nd Heavy duty cleaner (break up HD),Branded,0.977,1.0,Branded
DV Grenadine Syrup 750 ml,Branded,0.977,1.0,Branded
#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,Branded,0.977,0.0001,Branded
STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,Branded,0.982,0.9985,Branded
#_# Square Butter Paper - Le Four,Branded,0.989,0.9999,Branded
Keto Blueberry Cheesecake Ice Cream - 100 ml RM,Unbranded,0.989,0.9972,Unbranded
Maida Kesari Brand 50kgs,Branded,0.989,0.9993,Branded
Butter Scotch DF Bite,Unbranded,0.989,0.9995,Unbranded
Shresth Gold Milk 500 Ml,Branded,0.9914,0.0302,Branded
Kumatia,Unbranded,0.9914,0.5039,Unbranded
Silken Tofu 300g Voila,Branded,0.9948,0.9986,Branded
Chonak,Unbranded,0.9948,1.0,Unbranded
110 Ml Tea paper cup-Snacc,Branded,0.9948,0.9417,Branded
#_# Caramelo Banditos Sticker - Cookie Cartel,Branded,0.9959,0.1624,Branded
BANARASI LAL PEDA-200 Gms,Branded,0.9959,0.0016,Branded
Pillar,Unbranded,0.9959,0.9997,Unbranded
#_# Assorted Roleys (Box of 6) - Meemees,Branded,0.9959,0.9399,Branded
YU001517 Sensor Magnetiv 2 Nc,Unbranded,0.9959,0.9991,Unbranded
GTC Pizza Box 9x9,Branded,0.9968,0.9998,Branded
HONEY GOCHUJANG SAUCE,Unbranded,0.9975,1.0,Unbranded
Rice Flat Noodle 10mm   500g pkt   How How,Branded,0.9975,0.2568,Branded
Malas strawberry crush 750ml,Branded,0.9981,1.0,Branded
Dust Pan  Supli,Unbranded,0.9981,0.9912,Unbranded
Economy - Staff Toor Dal 1 Kg (Non IP) 131965,Branded,0.9981,0.9961,Unbranded
PERFECT NO-BAKE CHEESECAKE MIX (1KG),Branded,0.9981,1.0,Unbranded
Italian Focassia Polly Bag 8 x 10 Inch,Unbranded,0.9981,0.9998,Unbranded
Ziplock Bags,Branded,0.9981,0.9841,Branded
Laddle Chinese with wooden handle 4 inch,Unbranded,0.9981,1.0,Unbranded
#_# BC - Aam Ice Cream [300ML] - BICO,Branded,0.9985,0.9963,Branded
#_# Tender Coconut Litchi Ice Pop - Getaway,Branded,0.9985,0.9976,Branded
Wonder Wipe (3pc),Branded,0.9985,0.8991,Branded
Chocolate Hamper 1864,Unbranded,0.9985,0.999,Unbranded
#_# Baguette Sourdough - La folie,Branded,0.9985,1.0,Branded
Ajinomato,Branded,0.9988,1.0,Branded
Knor Aromat Seasoning,Branded,0.9988,1.0,Branded
Colin (Glass Cleaner),Branded,0.9991,1.0,Branded
Good Night Machine,Branded,0.9991,1.0,Branded
#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,Branded,0.9993,0.9826,Branded
ROW - Barcode Lable 50mmX25mm Non Tearable,Unbranded,0.9993,0.9999,Unbranded
Rasila Rajma - Outsource,Branded,0.9993,1.0,Branded
Termocool morded box,Branded,0.9993,0.9999,Branded
Hand Sanitizer HS 100,Unbranded,0.9994,1.0,Unbranded
Sandburgs Truffle Barbeque sauce (500 gram),Branded,0.9994,0.0002,Branded
Oyester Sauce- non veg,Unbranded,0.9996,1.0,Unbranded
UCC 2door 3drawer + raised BM + 1/6gnx6,Branded,0.9996,0.9909,Unbranded
Thai Jasmine Rice 2kg pkt MBK,Branded,0.9997,0.9988,Branded
Flow Wrap Rolls - Raspberry Duet (60 ml),Branded,0.9997,0.9781,Unbranded
AANCH COVER,Unbranded,0.9997,0.9996,Unbranded
Windmill Potato starch,Branded,0.9997,0.8824,Branded
Poly Veg logo1500&#215;23,Unbranded,0.9997,0.9999,Unbranded
Topper,Unbranded,0.9997,1.0,Unbranded
Orange Juice 1 Lltr,Unbranded,0.9997,1.0,Unbranded
Malas Orange Crush 750ml,Branded,0.9997,1.0,Branded
Panini Bread Outer Sticker (CBTL),Branded,0.9997,1.0,Branded
Side Box (Crunch),Unbranded,0.9997,0.985,Unbranded
Spice-Peri peri seasoning,Unbranded,0.9997,1.0,Unbranded
MF White Compound CO W33,Unbranded,0.9998,0.9999,Unbranded
Cotton BBK Apron,Unbranded,0.9998,0.9999,Unbranded
ATTA GANGA,Branded,0.9998,0.9998,Branded
Red Raddish,Unbranded,0.9998,1.0,Unbranded
MOTICHOOR LADDU 500g,Unbranded,0.9998,1.0,Unbranded
Sharpner,Unbranded,0.9998,0.9999,Unbranded
Staff Mustard Whole,Unbranded,0.9998,0.9627,Unbranded
EASTMADE - CUMIN (JEERA) 1 KG,Branded,0.9999,0.0191,Branded
COLOUR CODE DOTT TUES,Unbranded,0.9999,0.9996,Unbranded
Camino Real Gold 750Ml,Branded,0.9999,0.9972,Branded
Fruit Filling Mango Delta,Branded,0.9999,1.0,Branded
#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,Branded,0.9999,1.0,Branded
Dark Chocolate Paste-NAS,Unbranded,0.9999,1.0,Unbranded
#_# Double Chocolate Chip Cookie Premix - 8 pcs - Sweetish,Branded,0.9999,0.9998,Branded
Sticker Mutton Haleem,Unbranded,0.9999,0.8872,Unbranded
Coconut Water,Unbranded,0.9999,1.0,Unbranded
Almond Croissant Sticker (TH),Unbranded,0.9999,0.9999,Unbranded
Baked Beans 415 Gm,Unbranded,0.9999,1.0,Unbranded
STICKER SALAD,Unbranded,0.9999,0.728,Unbranded
Gochujang 17kg Tin,Unbranded,0.9999,1.0,Unbranded
11.5x11.5 (Round) Sandhouse Butter paper (40GSM),Branded,0.9999,0.0028,Branded
FRENCH HEARTS VINYL STICKER SET,Unbranded,0.9999,1.0,Unbranded
Cone Blueberry Cheesecake  110 Ml,Unbranded,0.9999,0.9999,Unbranded
Chicken Curry Cut,Unbranded,1.0,1.0,Unbranded
"Sakthi - Kulambu Chilli powder, 500gm",Branded,1.0,1.0,Branded
HARPIC,Branded,1.0,1.0,Branded
SABUDANA NYLON,Unbranded,1.0,1.0,Unbranded
Chana Black,Unbranded,1.0,1.0,Unbranded
Softy Premix Vanilla,Unbranded,1.0,1.0,Unbranded
Tawa Roti (7 inch),Unbranded,1.0,1.0,Unbranded
ROOH AFZA,Branded,1.0,1.0,Branded
Crispy Cajun Breading Mix,Unbranded,1.0,1.0,Unbranded
T Shirt Black NM M38,Unbranded,1.0,0.9996,Unbranded
Papad ( Big),Unbranded,1.0,1.0,Unbranded
Eggs,Unbranded,1.0,1.0,Unbranded
Taski Suma Ultra (L2) 5L Can,Branded,1.0,1.0,Branded
Plastic Storage Container 500ml,Unbranded,1.0,1.0,Unbranded
Note Pad 3x3,Unbranded,1.0,1.0,Unbranded
Malaysian Noodles ( Flat Noodles ) 1kg,Unbranded,1.0,1.0,Unbranded
Silver Pouch 6*8,Unbranded,1.0,1.0,Unbranded
Red Malka (Lal Masoor) Rajdhani,Branded,1.0,1.0,Branded
Ketchup,Unbranded,1.0,0.9999,Unbranded
AASHIRVAAD - ATTA 10 KG BAG,Branded,1.0,1.0,Branded
Korean LTO Menu,Unbranded,1.0,1.0,Unbranded
Red Chili Paste 1kg pkt,Unbranded,1.0,1.0,Unbranded
Kashmiri Mirch Powder,Unbranded,1.0,1.0,Unbranded
Sweetpotato (Kanga),Unbranded,1.0,1.0,Unbranded
PLASTIC CONTAINER-150ML,Unbranded,1.0,1.0,Unbranded
Brown Sugar Paste Fondant,Unbranded,1.0,1.0,Unbranded
Dalchini,Unbranded,1.0,1.0,Unbranded
Tandoori paneer tikka,Unbranded,1.0,1.0,Unbranded
"Carrots/Gajar, incremental 0.5 10335",Unbranded,1.0,1.0,Unbranded
Stone Flower(Dagad Phool),Unbranded,1.0,1.0,Unbranded
Biryani Handi 750 GM,Unbranded,1.0,1.0,Unbranded
Cocoa powder (Medium Brown) Vanhouten,Branded,1.0,1.0,Branded
Sambal Oelek,Unbranded,1.0,1.0,Unbranded
Butter Pouch 9X12,Unbranded,1.0,0.9999,Unbranded
Green Tomato 1kg,Unbranded,1.0,1.0,Unbranded
#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,Branded,1.0,0.9992,Branded
Garbage Bag Black 30 x50,Unbranded,1.0,1.0,Unbranded
Kit Kat,Branded,1.0,1.0,Branded
Kobij-Cabbage,Unbranded,1.0,1.0,Unbranded
Perrier Water 330mL,Branded,1.0,1.0,Branded
Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),Branded,1.0,1.0,Branded
Envelope,Unbranded,1.0,1.0,Unbranded
#_# Asafoetida / Hing - murukku,Unbranded,1.0,1.0,Branded
TASKI R3,Branded,1.0,1.0,Branded
SS Mould Round Cutter - 12pcs,Unbranded,1.0,1.0,Unbranded
DIGESTIVE BISCUITS,Unbranded,1.0,1.0,Unbranded
Momo Steamer,Unbranded,1.0,1.0,Unbranded
3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),Branded,1.0,0.4883,Branded
Malai Paneer Soft Loose,Unbranded,1.0,1.0,Unbranded
Potassium Sorbate,Unbranded,1.0,1.0,Unbranded
Amla Sabut Herble,Unbranded,1.0,1.0,Unbranded
PLASTIC CONTAINER 750ML,Unbranded,1.0,1.0,Unbranded
Green peas,Unbranded,1.0,1.0,Unbranded
Maida Flour Premium (per kg),Unbranded,1.0,1.0,Unbranded
Dosa Masala Retort,Unbranded,1.0,1.0,Unbranded
VKL PERI PERI MARINADE,Branded,1.0,1.0,Branded
CUMIN WHOLE (JEERA),Unbranded,1.0,1.0,Unbranded
3CP PLATE,Unbranded,1.0,1.0,Unbranded
Red Fondant,Unbranded,1.0,1.0,Unbranded
SUMA TAB CHLORINE,Branded,1.0,1.0,Branded
PUMPKIN SEEDS (1Kg Pkt),Unbranded,1.0,1.0,Unbranded
Zucchini Yellow (Premium)  incremental 0.5 10033,Unbranded,1.0,1.0,Unbranded
Radish White,Unbranded,1.0,1.0,Unbranded
MDH Chana Masala,Branded,1.0,1.0,Branded
GARBAGE COVER SMALL 17x19 - 51 MM,Unbranded,1.0,1.0,Unbranded
Lettuce Patta,Unbranded,1.0,1.0,Unbranded
Brown Onion,Unbranded,1.0,1.0,Unbranded
Wooden Cutlery Kit,Unbranded,1.0,1.0,Unbranded
Biryani small Box (Serve -1),Unbranded,1.0,1.0,Unbranded
Butter Murkku,Unbranded,1.0,1.0,Unbranded
SS  NOODAL CHANNI,Unbranded,1.0,1.0,Unbranded
Flexible Plastic Bags ( 5kg Small Size - Mithai & Namkeen),Unbranded,1.0,1.0,Unbranded
Kale,Unbranded,1.0,1.0,Unbranded
Cling Film,Unbranded,1.0,1.0,Unbranded
340 MM BOPP ROLL,Unbranded,1.0,1.0,Unbranded
Unbranded Spray Gun,Unbranded,1.0,1.0,Unbranded
3 Ply Corrugated Croissant Tray,Unbranded,1.0,1.0,Unbranded
Kundru,Unbranded,1.0,1.0,Unbranded
STICKER SHEEK KABAB,Unbranded,1.0,1.0,Unbranded
Sparkling Water,Unbranded,1.0,1.0,Unbranded
Plastic Packing Theli (PP),Unbranded,1.0,1.0,Unbranded
Red Paprika Sliced,Unbranded,1.0,1.0,Unbranded
VIKRAM - CHAKKI ATTA 30 KG,Branded,1.0,0.9274,Branded
Griffith Hot Chilli Marinade,Branded,1.0,1.0,Branded
Message Card,Unbranded,1.0,1.0,Unbranded
Kung Pao Sauce 335 G,Unbranded,1.0,1.0,Unbranded
Dried figs,Unbranded,1.0,1.0,Unbranded
19 KG Commercial Cylinder,Unbranded,1.0,1.0,Unbranded
Quinoa 1kg,Unbranded,1.0,1.0,Unbranded
Fried Mirchi retort,Unbranded,1.0,1.0,Unbranded
WOODEN SPOON 160MM (100 Pcs),Unbranded,1.0,1.0,Unbranded
Real Pineapple Juice,Branded,1.0,1.0,Branded
Kashmiri Chili,Unbranded,1.0,1.0,Unbranded
Premix Egg Free Chocolate Make: pillsbury,Branded,1.0,1.0,Branded
PG-Paper Tub Lids,Unbranded,1.0,0.9998,Unbranded
GLOVES BLUE,Unbranded,1.0,1.0,Unbranded
Mangoes (Sindhura) X1KG,Unbranded,1.0,1.0,Unbranded
Masoor Whole,Unbranded,1.0,1.0,Unbranded
Garbage Bag 30x50 Kg,Unbranded,1.0,1.0,Unbranded
PASSION FRUIT SYRUP(1 LTR) Foodoo,Branded,1.0,1.0,Branded
Dry Amla-Dry Gooseberry,Unbranded,1.0,1.0,Unbranded
Soda 750ml- @ 18%,Unbranded,1.0,1.0,Unbranded
Jau / Ghat,Unbranded,1.0,1.0,Unbranded
Blue Berry 250Gs,Unbranded,1.0,1.0,Unbranded
Cambro Polycarbonate GN Pan 1/2 200mm,Branded,1.0,1.0,Branded
PRINTER ROLL,Unbranded,1.0,1.0,Unbranded
Corn Flour,Unbranded,1.0,1.0,Unbranded
Burata Cheese 250 Grm,Unbranded,1.0,0.9999,Unbranded
Mother Dairy milk,Branded,1.0,1.0,Branded
KESAR,Unbranded,1.0,1.0,Unbranded
SPRITE 250ML,Branded,1.0,1.0,Branded
Sweets Milk Kalakand,Unbranded,1.0,1.0,Unbranded
HARPIC LIQUID,Branded,1.0,1.0,Branded
#_# The Godfather (Reeses peanut butter cup) Cookie Dough - Cookie Cartel,Branded,1.0,0.6619,Branded
#_# PMK Veg Hakka Noodles 250gm - Prasuma,Branded,1.0,1.0,Branded
Gud,Unbranded,1.0,1.0,Unbranded
CARRY BAG 500GM,Unbranded,1.0,1.0,Unbranded
DRY ICE,Unbranded,1.0,1.0,Unbranded
#_# French Vanilla (100 ml) - Go Zero,Branded,1.0,0.9334,Branded
White Envelope Cover,Unbranded,1.0,1.0,Unbranded
Leeks,Unbranded,1.0,1.0,Unbranded
SS GN PAN 1/3 100 MM,Unbranded,1.0,1.0,Unbranded
#_# Classic Vanilla Minis Sugar Free Ice cream [09 pieces] - Noto,Branded,1.0,1.0,Branded
FRENCH FRIES,Unbranded,1.0,1.0,Unbranded
PLASTIC DIP BOWL 50 ML,Unbranded,1.0,1.0,Unbranded
NATURESMITH PAPRIKA POWDER 60GM,Branded,1.0,0.9998,Branded
BESAN,Unbranded,1.0,1.0,Unbranded
Cutlery Basket,Unbranded,1.0,1.0,Unbranded
PAPER CUP ( TEA WATER ETC),Unbranded,1.0,1.0,Unbranded
Rice Dosa (Ponni),Unbranded,1.0,1.0,Unbranded
Hand Sanitizer,Unbranded,1.0,1.0,Unbranded
Bru Coffee 500g,Branded,1.0,1.0,Branded
NOTEBOOK LONG 200 PAGES,Unbranded,1.0,1.0,Unbranded
Dry Fruits Pista Whole,Unbranded,1.0,1.0,Unbranded
#_# Kesar Peda 500gms - Genda Phool,Branded,1.0,0.9566,Branded
Cassata - 125ml,Unbranded,1.0,1.0,Unbranded
Hummus,Unbranded,1.0,1.0,Unbranded
BREAD COVER 2,Unbranded,1.0,1.0,Unbranded
Roll Sleeve Red,Unbranded,1.0,1.0,Unbranded
River Sole Fillet,Unbranded,1.0,1.0,Unbranded
Cookies Caramel 6kg ( Mec3-14772),Branded,1.0,1.0,Branded
Nestle Milk Powder 1KG,Branded,1.0,1.0,Branded
UH GREEN CAPSICUMWHOLE CLEANEDCRATE,Unbranded,1.0,1.0,Unbranded
Mustard Seed,Unbranded,1.0,1.0,Unbranded
#_# Stapler,Unbranded,1.0,1.0,Unbranded
Cake Saver,Unbranded,1.0,1.0,Unbranded
Curry Patta,Unbranded,1.0,1.0,Unbranded
Adrak / Ginger,Unbranded,1.0,1.0,Unbranded
CC CONTAINER - 375ML,Unbranded,1.0,1.0,Unbranded
DAL MAKHANI STICKERS,Unbranded,1.0,1.0,Unbranded
Milk ( Full Cream ),Unbranded,1.0,1.0,Unbranded
Hair Net,Unbranded,1.0,1.0,Unbranded
Chest Freezer Capacity - 500 Ltr - 1060*700*840,Unbranded,1.0,1.0,Unbranded
Mini Button Bhakarwadi,Unbranded,1.0,1.0,Unbranded
Almond biscotti (1pcs),Unbranded,1.0,1.0,Unbranded
Pesto Pistachio 2.5kg (Mec3-14755),Branded,1.0,1.0,Branded
Plastic Packing Cover Thick   12*16,Unbranded,1.0,1.0,Unbranded
MAKKI ATTA,Unbranded,1.0,1.0,Unbranded
Gherkin,Unbranded,1.0,1.0,Unbranded
Coke 750 Ml,Branded,1.0,1.0,Branded
GLUTEN NB 0121,Unbranded,1.0,1.0,Unbranded
Cayenne Pepper Powder,Unbranded,1.0,1.0,Unbranded
Palak - Spinach,Unbranded,1.0,1.0,Unbranded
200m Tie,Unbranded,1.0,1.0,Unbranded
Farali Sabudana Vada,Unbranded,1.0,1.0,Unbranded
N_4  Pet Jar Lid,Unbranded,1.0,1.0,Unbranded
Possmei Taro Powder Premix 1kg pkt,Branded,1.0,1.0,Branded
EGGFREE TEA TIME VANILLA MUFFIN,Unbranded,1.0,1.0,Unbranded
Noodle ( Thin Vala ),Unbranded,1.0,1.0,Unbranded
CURRY PATTA,Unbranded,1.0,1.0,Unbranded
Coriander Fresh W/O Roots,Unbranded,1.0,1.0,Unbranded
#_# Mango Kulfi 300gm - Parsi Dairy Farm,Branded,1.0,1.0,Branded
Hand Wash 5 Ltr Can,Unbranded,1.0,1.0,Unbranded
Whole Wheat Jumbo Bread,Unbranded,1.0,1.0,Unbranded
Silver Pouch 6*8 (100PC),Unbranded,1.0,1.0,Unbranded
Sweets Milk White Peda,Unbranded,1.0,1.0,Unbranded
Hand Rub,Unbranded,1.0,1.0,Unbranded
#_# Rocky Road Ice-cream Tub (100ml) - Meemees,Branded,1.0,0.945,Branded
Sesame Oil 650 Ml,Unbranded,1.0,1.0,Unbranded
Fruit Cocktail Tin,Unbranded,1.0,1.0,Unbranded
Hydrochloric Acid,Unbranded,1.0,1.0,Unbranded
Artichoke Tin 390 Grms,Unbranded,1.0,1.0,Unbranded
Chocolate Ice-cream,Unbranded,1.0,1.0,Unbranded
#_# Pista Kulfi Stick (70 ml) - Go Zero,Branded,1.0,0.9999,Branded
DRY COCONUT,Unbranded,1.0,1.0,Unbranded
500 ml rectangle box,Unbranded,1.0,1.0,Unbranded
Turmeric (Haldi) Powder Chounk,Unbranded,1.0,1.0,Unbranded
Dark Couverture 54%,Unbranded,1.0,1.0,Unbranded
WHITE PITA BREAD 4 PC PACK,Unbranded,1.0,1.0,Unbranded
Scotch Brite - Rubber Kitchen Gloves,Branded,1.0,1.0,Branded
SCOTCH BRITE  JUNA,Branded,1.0,1.0,Branded
Thai Jasmine rice,Unbranded,1.0,1.0,Unbranded
Biscoff Biscuit Lotus,Branded,1.0,1.0,Branded
President Butter Unsalted 500gm,Branded,1.0,1.0,Branded
Olive Oil (Regular /Pomace ),Unbranded,1.0,1.0,Unbranded
CINNAMON 1 KG,Unbranded,1.0,1.0,Unbranded
Lemon Ginger Syrup,Unbranded,1.0,1.0,Unbranded
Urinal Pad,Unbranded,1.0,1.0,Unbranded
Milk Chocochip,Unbranded,1.0,1.0,Unbranded
Bombay pao,Unbranded,1.0,1.0,Unbranded
Heeng Papdi 200g,Unbranded,1.0,1.0,Unbranded
Milk,Unbranded,1.0,1.0,Unbranded
MANGO PUREE,Unbranded,1.0,1.0,Unbranded
PAPER COVER BROWN - PAPAD,Unbranded,1.0,1.0,Unbranded
Taski R5 5ltr,Branded,1.0,1.0,Branded
