po_date,outlet_state,outlet_city,item_cat_l1,item_cat_l2,item_cat_l3,item_cat_l4,item_cat_l5,su_brand,brand,product_id,product_title,unit,quantity,price_inr,tax_pct,subtotal_amount_inr,tax_amount_inr,total_amount_inr,su_item_short_code,rn
2026-03-12 00:00:00.000 +0530,Haryana,Gurugram,Beverages,Coffee,Coffee Powder,,,Unbranded,Unbranded,676680167e49fc7f1d96a121,Cocoa powder (Medium Brown) Vanhouten,piece,10,1020,0.05,10200,510,10710,AAEAAAIAAA,1
2026-01-07 00:00:00.000 +0530,Haryana,Gurugram,Grocery,"Masala, Salt, Sugar & Spices",Sugar,Breakfast Sugar,,Unbranded,unbranded,66c85ff6a9ce8204519fce15,Brown Sugar Paste Fondant,kg,4,440,0.05,1760,88,1848,COMLAAIAAA,1
2026-04-01 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Butter Paper,,,,Unbranded,unbranded,65c1ff681e92ef3ceb97034f,Butter Pouch 9X12,piece,3000,1.85,0.18,5550,999,6549,ARJAAAIAAE,1
2026-04-10 00:00:00.000 +0530,Maharashtra,Mumbai,Fresh Produce,Fruits & Vegetables,Vegetables,Mixed Vegetables,,,OUTLET,68b9683f15e9507c6cea03bc,"Carrots/Gajar, incremental 0.5 10335",kg,0.5,34,0,17,0,17,BZQAAHVAAA,1
2026-01-31 00:00:00.000 +0530,Karnataka,Bengaluru,Printing & Stationary,Calculator,,,,Unbranded,Unbranded,69036026b348e75a3ed9fd35,Good Night Machine,piece,1,90,0.18,90,16.2,106.2,BYFAAAIAAA,1
2026-02-21 00:00:00.000 +0530,Karnataka,Bengaluru,Ready to Eat,Ready to Eat Rice,Veg Biryani,Donne Veg Biryani,,Unbranded,Unbranded,63723ac01163fa4116442b23,Biryani Handi 750 GM,piece,1400,14.25,0,19950,0,19950,AXWAAMRAAA,1
2026-01-28 00:00:00.000 +0530,Tamil Nadu,Chennai,Fruits & Vegetables,Vegetables,Nightshades,,,Unbranded,Unbranded,68a408c8c06ed9510080b50c,Green Tomato 1kg,kg,1,50,0,50,0,50,AECAAAIAAB,1
2026-03-29 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Bowl,,,,Pan Brand,unbranded,6656fb8658d1490059014c94,#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,piece,100,2.6,0,260,0,260,ARAAATESAA,1
2026-03-24 00:00:00.000 +0530,Delhi,Delhi,Packaging,Printer Roll,,,,Unbranded,unbranded,65c078ebe0f65923488d236d,Envelope,piece,400,1.2,0.18,480,86.4,566.4,ARYAAAIAAB,1
2026-01-31 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Pulse,White Peas (Safed Matar),,,Unbranded,Unbranded,67c8071c294112705967a4c2,MF White Compound CO W33,packet,4,170,0.05,680,34,714,ADYAAAIAAA,1
2026-02-08 00:00:00.000 +0530,Gujarat,Vadodara,Fresh Produce,Fruits & Vegetables,Vegetables,Cabbage,,Unbranded,unbranded,6666fc99cc967db927b83f16,Kobij-Cabbage,kg,5,20,0,100,0,100,CBZAAAIAAA,1
2026-03-07 00:00:00.000 +0530,Kerala,Kochi,Grocery,Pulse,Split Black Gram (Urad Dal Chilka),,,Unbranded,unbranded,67d27ee019e01b2aa22c154c,Garbage Bag Black 30 x50,kg,20,203.93,0.18,4078.6,734.15,4812.75,AKTAAAIAAA,1
2026-01-12 00:00:00.000 +0530,Maharashtra,Thane West,,,,,,Orange,unbranded,6656fb7f58d1490059012c39,#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,piece,5,91.8,0,459,0,459,NONEAAIAAI,1
2026-01-10 00:00:00.000 +0530,Karnataka,Bangalore East,Packaging,Spray Bottle,,,,Unbranded,Unbranded,648a96cc3cfa864978f99c54,Malas strawberry crush 750ml,bottle,5,154.32,0.05,771.6,38.58,810.18,ASBAAAIAAA,1
2026-04-01 00:00:00.000 +0530,Tamil Nadu,Chennai,Groceries,Snacks & Confectionery,Chocolate & Candy,Kit Kat,,Unbranded,unbranded,677e1a21cd807f04bc116747,Kit Kat,box,2,352.38,0.05,704.76,35.24,740,ABQAAMPAAB,1
2026-01-12 00:00:00.000 +0530,Haryana,Faridabad,Beverages,Soft Drink,,,,,Coolberg,645b79ed79fbc67912e81ce2,Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),bottle,1488,42,0.4,62496,24998.4,87494.4,AAXAAMJAAA,1
2026-01-06 00:00:00.000 +0530,Tamil Nadu,Chennai,,,,,,Unbranded,unbranded,63c0f66a746a4d9708a94508,Perrier Water 330mL,piece,24,122,0.18,2928,527.04,3455.04,NONEAAIAAH,1
2026-02-08 00:00:00.000 +0530,Jammu & Kashmir,Jammu,Grocery,Noodles & Pasta,Pasta,,,Unbranded,unbranded,642e7d764bc6198ddfe59bb5,DIGESTIVE BISCUITS,packet,120,8.9166666,0,1070,0,1070,AJWAAAIAAA,1
2026-04-24 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Pulse,Chaap,,,Unbranded,Unbranded,665048d0a64cd1d2aeaed16d,SS Mould Round Cutter - 12pcs,piece,1,876,0.05,876,43.8,919.8,AKVAAAIAAA,1
2026-04-11 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,,,,,Unbranded,Unbranded,64c0fe7fc2acd4fd41e1776f,TASKI R3,litre,10,315,0.18,3150,567,3717,CCLAAAIAAA,1
2026-03-18 00:00:00.000 +0530,Gujarat,Vadodara,Fresh Produce,Fruits & Vegetables,Vegetables,Fruiting Vegetables,Bottle Gourd,Unbranded,unbranded,6666fc8fcc967db927b81c7a,Dollur Amla Jar,bottle,24,102.04,0.05,2448.96,122.45,2571.41,CASAAAIAAA,1
2026-04-15 00:00:00.000 +0530,Maharashtra,Mumbai,Fresh Produce,Fruits & Vegetables,Vegetables,Zucchini Green,,Unbranded,unbranded,6656fb8a58d149005901658f,#_# Asafoetida / Hing - murukku,kg,3.6,1,0.12,3.6,0.43,4.03,CDPAAAIAAB,1
2026-01-17 00:00:00.000 +0530,Haryana,Gurugram,Groceries,Spices,Whole Spices,,,Unbranded,unbranded,6539ff1ec2dc4d02ba4ee467,3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),kg,3,844,0.05,2532,126.6,2658.6,AIJAAAIAAB,1
2026-04-08 00:00:00.000 +0530,Gujarat,Ahmedabad,Ready to Eat,Coated Paneer,,,,Mother Dairy,Shreeji Dairy,63a15b669d58684839f09ae2,Malai Paneer Soft Loose,kg,12,320,0,3840,0,3840,AVJAAMQAAA,1
2026-02-27 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Box,Momo Box,,,Unbranded,Unbranded,651fc59fe142ae8e11e1ce8d,Momo Steamer,kg,2.5,500,0.05,1250,62.5,1312.5,ARCAAAIAAA,1
2026-01-09 00:00:00.000 +0530,Delhi,Delhi,Housekeeping,Duster,,,,Unbranded,unbranded,65c078e8e0f65923488d1917,Dust Pan  Supli,piece,12,25,0.18,300,54,354,APBAAAIAAB,1
2026-02-14 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,"Masala, Salt, Sugar & Spices",Masala,Meat Masala,,,ME,67da7269cddd998ff5cc8309,Dosa Masala Retort,packet,500,14.6,0.05,7300,365,7665,AGKAAGTAAA,1
2026-01-21 00:00:00.000 +0530,Maharashtra,Pune,Fresh Produce,Fruits & Vegetables,Fruits,Raw Mango,,Unbranded,unbranded,64256b24984c5126dfb58f70,Potassium Sorbate,kg,25,475,0.18,11875,2137.5,14012.5,CHUAAAIAAA,1
2026-03-30 00:00:00.000 +0530,Karnataka,Bengaluru,Kitchen Equipments,Plastic Storage Container,,,,,DIVYA,65eedadc1f6f494975fb4f14,PLASTIC CONTAINER 750ML,piece,1200,7.9,0.18,9480,1706.4,11186.4,CNSXATEBAB,1
2026-02-26 00:00:00.000 +0530,Rajasthan,Jaipur,Grocery,"Sauce, Spread, Dips & Vinegar",Sauce,Soya Sauce,,Unbranded,Unbranded,653b9639c74906f65a60f12c,Amla Sabut Herble,piece,0.25,163.81,0.05,40.95,2.05,43,ANTAAAIAAA,1
2026-02-02 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Bottle,,,,Unbranded,Unbranded,680f5e8400d35e0f3ee40c10,Ro 48,piece,3000,11.65,0.18,34950,6291,41241,AQZAAAIAAA,1
2026-03-01 00:00:00.000 +0530,Delhi,New Delhi,Grocery,"Masala, Salt, Sugar & Spices",Spices,Cumin Whole (Jeera),,Unbranded,Unbranded,5d6e355d0789017f237244c5,CUMIN WHOLE (JEERA),kg,1,310,0.05,310,15.5,325.5,AIOAAAIAAA,1
2026-03-01 00:00:00.000 +0530,Maharashtra,Thane,Fruits & Vegetables,Vegetables,Beans & Peas,Green Peas,,Unbranded,unbranded,65fcffdd6c86b098332cfc3e,Green peas,kg,3,82,0,246,0,246,NONEAAIAAF,1
2026-01-30 00:00:00.000 +0530,Uttar Pradesh,Noida,Kitchen Equipments,PLATE PIZZA-PRIME-32-CM-ARN-A -APRARN000013032,,,,,,623c16916e493418e0522366,3CP PLATE,piece,100,11.08,0,1108,0,1108,COIVATETAA,1
2026-03-02 00:00:00.000 +0530,Tamil Nadu,Chennai,Grocery,Flour,Wheat Flour,,,Unbranded,unbranded,65c0d0b47e75e86fb4445dd1,Maida Flour Premium (per kg),kg,10,53,0.05,530,26.5,556.5,AFFAAAIAAA,1
2026-01-20 00:00:00.000 +0530,Haryana,Gurugram,Groceries,Spices,Marinade,Peri Peri,,Unbranded,unbranded,6539ff1ec2dc4d02ba4eeaef,VKL PERI PERI MARINADE,packet,10,368.5,0.05,3685,184.25,3869.25,AFHAACDAAA,1
2026-04-08 00:00:00.000 +0530,Uttar Pradesh,Noida,Grocery,Pulse,Split Red Lentil (Red Masoor Dal),,,Unbranded,Unbranded,668cdbc2b7cfe778d3c7d6cf,Red Fondant,piece,24,279,0.05,6696,334.8,7030.8,ALNAAAIAAB,1
2026-01-14 00:00:00.000 +0530,Uttar Pradesh,Ghaziabad,,,,,,Unbranded,Unbranded,61a86e5510ded143db8c71cb,Radish White,kg,2,22,0,44,0,44,NONEAAIAAT,1
2026-03-29 00:00:00.000 +0530,Haryana,Gurugram,Fresh Produce,Edamame Mushroom,,,,Unbranded,Unbranded,65c07e77e08432cff295b4c9,SUMA TAB CHLORINE,packet,10,299,0.18,2033.2,365.98,2399.18,CNVDAAIAAA,1
2026-01-07 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,"Dry Fuits, Nuts & Seeds",Sesame Seeds,,,Unbranded,unbranded,66729225e9958caad0efff71,PUMPKIN SEEDS (1Kg Pkt),kg,1,380,0.05,380,19,399,AENAAAIAAA,1
2026-01-17 00:00:00.000 +0530,Maharashtra,Mumbai,,,,,,,OUTLET,66545068377a5a785d9015f5,Zucchini Yellow (Premium)  incremental 0.5 10033,kg,0.5,100,0,50,0,50,NONEAAIAAL,1
2026-02-13 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Bag,Garbage Bag,,,Unbranded,UNBRANDED,65eedae31f6f494975fb6106,GARBAGE COVER SMALL 17x19 - 51 MM,piece,36,32.5,0.18,1170,210.6,1380.6,AQXAAAIAAI,1
2026-01-28 00:00:00.000 +0530,Karnataka,Bengaluru,#SPILL!,,,,,Unbranded,UNBRANDED,684ab27a6b7384b51fe46dae,Dhania Pudina Chutney-SNACC,kg,82,125.24,0.05,10269.68,513.48,10783.16,CDEAAAIAAA,1
2026-01-30 00:00:00.000 +0530,Jammu & Kashmir,Jammu,Groceries,Spices,,,,Unbranded,unbranded,642e7d774bc6198ddfe59ed5,MDH Chana Masala,packet,10,70,0,700,0,700,AFOAAHJAAA,1
2026-04-03 00:00:00.000 +0530,Delhi,Delhi,Fresh Produce,Fruits & Vegetables,Vegetables,Peeled Onion,,Unbranded,unbranded,65d7366da5f6edf5e51aac33,Brown Onion,kg,100,280,0.05,28000,1400,29400,CDAAAAIAAA,1
2026-02-25 00:00:00.000 +0530,Gujarat,Vadodara,,,,,,Unbranded,unbranded,6666fc99cc967db927b83f34,Lettuce Patta,kg,0.5,220,0,110,0,110,NONEAAIAAO,1
2026-01-30 00:00:00.000 +0530,Karnataka,Bangalore East,Dairy,Indian Cottage Cheese (Paneer),,,,Unbranded,unbrand,63cfa5e3d8bc5df67387a68d,Butter Murkku,kg,2.5,380,0,950,0,950,ACTAAAIAAE,1
2026-04-14 00:00:00.000 +0530,Karnataka,Bangalore East,Packaging,Cutlery Set,,,,Unbranded,unbrand,63cfa4b1d8bc5df6738728c0,Wooden Cutlery Kit,piece,1800,6,0.18,10800,1944,12744,BKNAAMTAAA,1
2026-02-03 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Stickers,,,,Unbranded,Unbranded,67b2e81dcd8054bab63bde77,#_# Caramelo Banditos Sticker - Cookie Cartel,piece,4,1,0,4,0,4,ASCAAAIAAA,1
2026-03-25 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Box,Burger Box,,,Unbranded,Unbranded,61ba02c3a895df60b19ab9f6,Biryani small Box (Serve -1),piece,400,8.28,0.05,3312,165.6,3477.6,ARBAAAIAAA,1
2026-02-08 00:00:00.000 +0530,Gujarat,Vadodara,Packaging,Bag,Garbage Bag,,,,unbranded,6666fc94cc967db927b82f08,Flexible Plastic Bags ( 5kg Small Size - Mithai & Namkeen),kg,7,220,0,1540,0,1540,AQXAAAIAAF,1
2026-01-08 00:00:00.000 +0530,Haryana,Gurugram,Dairy,Chainna,,,,Unbranded,Unbranded,65d85f376e59104d2e357ede,SS  NOODAL CHANNI,piece,11,650,0.05,7150,357.5,7507.5,ACNAAAIAAB,1
2026-04-17 00:00:00.000 +0530,Haryana,Faridabad,Packaging,Stickers,,,,Unbranded,Unbranded,5d6e35e235d31b312479433a,STICKER SHEEK KABAB,piece,3000,0.24,0.18,720,129.6,849.6,ASCAAAIAAA,1
2026-03-31 00:00:00.000 +0530,Maharashtra,Raigad,Packaging,Container,,,,Unbranded,Unbranded,675c07df592bb83fdd413588,Sticker Veg 750 ml Container,piece,400,1.4,0.18,560,100.8,660.8,ARMAAAIAAC,1
2026-02-01 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Cling Film,,,,Unbranded,Unbranded,618f924e9a4770701f9b9047,Cling Film,piece,2,190,0.18,380,68.4,448.4,ARLAAAIAAA,1
2026-01-21 00:00:00.000 +0530,Maharashtra,Andheri East,Fresh Produce,Kale lettuce,,,,Unbranded,Unbranded,618f924e9a4770701f9b9247,Kale,kg,0.25,120,0,30,0,30,CNVEAAIAAA,1
2026-04-04 00:00:00.000 +0530,Maharashtra,Mumbai,Dairy,Frozen Dessert,Ice Cream,Ice Cream,,Unbranded,Unbranded,66618c2d47c1796f8dda604e,#_# BC - Aam Ice Cream [300ML] - BICO,piece,10,1,0,10,0,10,ABHAAAIAAA,1
2026-02-13 00:00:00.000 +0530,Tamil Nadu,Chennai,Packaging,Kitchen Roll,,,,Opple,Ovenfresh,67975336636dd80c58c5f8ae,340 MM BOPP ROLL,kg,195.6,255,0.18,49878,8978.04,58856.04,ARUAAAIAAA,1
2026-04-18 00:00:00.000 +0530,Uttar Pradesh,Noida,Beverages,Syrup,,,,Unbranded,Unbranded,65054383e5aa67cfee76f87b,3 Ply Corrugated Croissant Tray,piece,700,14.5,0.05,10150,507.5,10657.5,ABAAADRAAA,1
2026-04-27 00:00:00.000 +0530,Delhi,Delhi,Fresh Produce,Fresh  Peach,,,,Unbranded,Unbranded,68ad795d9216ee69a1f1ff20,Kundru,kg,0,40,0,0,0,0,COMFAAIAAA,1
2026-02-23 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,Cleaner,Drain Cleaner,,,Unbranded,unbranded,63c0f66a746a4d9708a94540,Unbranded Spray Gun,piece,5,50,0.18,250,45,295,AOSAAAIAAA,1
2026-02-01 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Bottle,,,,Unbranded,unbranded,674ff8f022c435a2af2a3ea5,Sparkling Water,bottle,24,105,0.05,2520,126,2646,AQZAAAIAAA,1
