title,label,confidence,brandname,verdict,status,flags,reasoning
#_# Greeting Card - Sassy Teaspoon,Branded,0.0,Sassy Teaspoon,D,grey,likely_wrong,"The product title 'Greeting Card - Sassy Teaspoon' clearly indicates a branded greeting card product. 'Sassy Teaspoon' appears to be the brand name of the greeting card, as it follows the product category descriptor 'Greeting Card' with a dash separator — a common naming convention used in catalogs to denote brand or product line. 'Sassy Teaspoon' is a distinctive, creative, and stylized name that is characteristic of a boutique or artisan brand, particularly one that might specialize in quirky or humorous stationery/greeting cards. It does not appear to be a generic descriptor or a product attribute. While this product appears in a B2B grocery/food-service catalog, greeting cards are sometimes sold as ancillary items by such distributors. The name 'Sassy Teaspoon' has branding hallmarks: alliteration-adjacent wordplay, a food-related whimsical reference (teaspoon), and an attitude descriptor (sassy), all typical of indie stationery brands."
San Marzano - Pomace Olive Oil,Branded,0.0,San Marzano,D,grey,likely_wrong,"San Marzano is a recognizable brand name appearing before the product descriptor 'Pomace Olive Oil'. While 'San Marzano' is also famously associated with a variety of Italian tomatoes (DOP-certified tomatoes from the Campania region of Italy), it is used here as a brand name for an olive oil product. Pomace olive oil is a lower-grade olive oil extracted from the olive pulp remaining after the first cold press, commonly used in Indian food service and B2B contexts for frying and cooking due to its higher smoke point and lower cost. The format of the title — [Brand Name] - [Product Type] — is a standard B2B catalog naming convention, strongly indicating 'San Marzano' is the brand. The Italian-sounding name also aligns with olive oil branding conventions in the Indian market, where Italian or Mediterranean-sounding names are commonly used to signal quality and authenticity in olive oil products."
HOLLO MAT3125*5,Branded,0.0,HOLLO,D,grey,likely_wrong,"The product title 'HOLLO MAT3125*5' appears to contain 'HOLLO' as a brand name, followed by a product code 'MAT3125' and a quantity/pack size indicator '*5'. 'HOLLO' is likely a brand name for a mat or similar product (MAT suggesting 'mat'). The alphanumeric code 'MAT3125' is consistent with a SKU or model number used by a branded manufacturer. The structure of the title — brand name followed by product code and pack size — is typical of branded B2B catalog listings. HOLLO could be a brand dealing in mats, packaging materials, or similar products sold in the food-service/grocery sector."
#_# Cacao Crispy - Ether,Branded,0.0,Ether,D,grey,likely_wrong,"The product title follows a clear 'Product Name - Brand Name' format common in B2B catalogs. 'Cacao Crispy' is the product descriptor (a chocolate/cacao-flavored crispy snack or cereal-type item), while 'Ether' appears to be the brand name. 'Ether' is a distinct, non-generic word that functions as a brand identifier rather than a descriptive term. It is not a common ingredient or category name, strongly suggesting it is a proprietary brand. The use of 'Cacao' (the more premium/artisanal spelling rather than 'cocoa') further suggests a branded, possibly specialty or health-food oriented product. The separator '#_#' is likely an internal catalog delimiter used by the platform."
SAMSEER MARK,Branded,0.0,Samseer,D,grey,likely_wrong,"The product title 'SAMSEER MARK' contains the word 'MARK' which is commonly used in Indian trade/B2B contexts to denote a brand or trademark (e.g., 'XYZ Mark' means 'XYZ Brand'). 'SAMSEER' is the brand/trade name being identified here. This is a common naming convention in Indian wholesale and B2B grocery catalogs where 'MARK' is appended to indicate the brand label or trademark. Therefore, SAMSEER is the brand name of this product."
#_# Sakura Blossom Gateaux (125 Gms) - Ether,Branded,0.0,Ether,D,grey,likely_wrong,"The product title follows a standard branded product naming convention: 'Product Name (Weight) - Brand Name'. Here, 'Sakura Blossom Gateaux (125 Gms)' is the product name and variant, while 'Ether' appears after the dash, indicating the brand name. 'Gateaux' refers to a rich cake/pastry product. The weight is specified as 125 gms, which is typical of a packaged branded bakery/confectionery item. 'Sakura Blossom' is the flavor/variant name inspired by Japanese cherry blossom, suggesting a premium or artisanal branding approach. 'Ether' appears to be a bakery or confectionery brand operating in the Indian B2B food-service space."
Gulab Jamun (Wyn),Branded,0.0,Wyn,D,grey,likely_wrong,"The product title 'Gulab Jamun (Wyn)' contains a parenthetical identifier 'Wyn' which appears to be a brand name. 'Gulab Jamun' is a well-known Indian sweet/dessert (milk-solid-based dumplings soaked in sugar syrup), commonly sold both branded and unbranded. The abbreviation 'Wyn' in parentheses is a typical way brand names are appended in Indian B2B grocery catalogs to distinguish a branded variant from a generic one. 'Wyn' could refer to a regional or private-label brand offering packaged Gulab Jamun, possibly 'Wyn Foods' or a similar entity. The placement in parentheses after the product name is a strong indicator of a brand tag rather than a descriptor or variant code."
Sargvo-Drumsticks,Branded,0.0,Sargvo,D,grey,likely_wrong,"The product title 'Sargvo-Drumsticks' contains a distinct prefix 'Sargvo' separated by a hyphen from the generic product name 'Drumsticks' (referring to the vegetable Moringa oleifera pods, commonly called drumsticks in Indian cuisine). 'Sargvo' appears to be a brand or trade name used by a seller/supplier to distinguish their drumstick product. In Gujarati, drumsticks (the vegetable) are called 'Saragvo' or 'Sargvo', so this could also be a regional-language descriptor rather than a brand name. However, in the context of a B2B catalog where branding is used to differentiate suppliers, 'Sargvo' is most likely being used as a brand/label name for the product. The hyphenated format (Brand-Product) is a common naming convention in Indian B2B catalogs to indicate a branded product. Therefore, this is classified as Branded with 'Sargvo' as the brand name, though there is some ambiguity given the Gujarati linguistic origin of the word."
Tea flask - 250 ML -Outer coorugated Box-Snacc,Branded,0.0,Snacc,D,grey,likely_wrong,"The product title ends with 'Snacc', which appears to be a brand name for this tea flask. The product is a 250 ML tea flask with an outer corrugated box packaging. 'Snacc' is listed as a distinct identifier at the end of the title, consistent with how brand names are appended in Indian B2B catalog listings. The corrugated box suggests retail/gifting packaging, and the brand 'Snacc' appears to be a consumer goods or kitchenware brand. The spelling 'Snacc' (with double 'c') is a stylized brand name format common among modern Indian consumer product brands."
TL Hitachi UX Makeup 800ml,Branded,0.0,Hitachi,D,grey,likely_wrong,"The product title contains 'Hitachi', which is a well-known Japanese multinational brand. 'TL' likely refers to a product line or category code used internally. 'UX Makeup' appears to be a specific product line or variant name under the Hitachi brand, and '800ml' indicates the volume/size of the product. Hitachi is known for a wide range of products including electronics and industrial goods, but also has product lines in cosmetics/beauty tools in some markets. The presence of 'Makeup' and '800ml' suggests this could be a cosmetic or beauty-related product (such as a foundation or liquid makeup) marketed under the Hitachi brand name. The clear mention of 'Hitachi' as a recognizable global brand confirms this is a branded product."
TG-Party Snacks 35G Pouch,Branded,0.0,TG,D,grey,likely_wrong,"The product title begins with 'TG-' which appears to be a brand identifier/prefix. 'TG' is likely a brand abbreviation (could stand for a specific snack brand). The product is described as 'Party Snacks' in a '35G Pouch', which is a standard retail/food-service pack format. The hyphen after 'TG' is a common formatting convention in Indian B2B catalogs to separate the brand name from the product description. The specific pack size (35G) and format (Pouch) further suggest a manufactured, branded product with defined SKU specifications rather than a loose/unbranded commodity."
#_# Baked Oregano Cheese Matthi - Genda Phool,Branded,0.0,Genda Phool,D,grey,likely_wrong,"The product title 'Baked Oregano Cheese Matthi - Genda Phool' follows a common Indian B2B catalog naming convention where the product description comes first and the brand name follows after a hyphen or dash. 'Genda Phool' (meaning 'marigold flower' in Hindi) is the brand name here. Matthi (also spelled mathri or mathri) is a traditional Indian fried/baked snack, and this variant is flavored with oregano and cheese, indicating a modern/fusion twist. The brand 'Genda Phool' appears to be a specialty/artisanal snack brand offering baked versions of traditional Indian snacks. The use of 'Baked' (as opposed to fried) and the oregano-cheese flavoring suggest a premium, health-conscious positioning. The separator '#_#' at the beginning is likely an internal catalog delimiter used by the platform."
Chilled Chicken Thigh Boneless 1 kg (Rsons),Branded,0.0,Rsons,D,grey,likely_wrong,"The product title 'Chilled Chicken Thigh Boneless 1 kg (Rsons)' contains 'Rsons' in parentheses, which is a common convention in Indian B2B catalogs to denote the brand or supplier/seller name. 'Rsons' appears to be a branded meat/poultry supplier or processor. The product itself is a chilled (fresh/refrigerated, not frozen) boneless chicken thigh cut, sold in a 1 kg pack. The inclusion of 'Rsons' as a parenthetical identifier strongly suggests it is a brand label used by a specific poultry processing or distribution company, making this a branded product rather than a generic/unbranded commodity."
Quarry And Tile Floor Cleaner (120X2Oz),Branded,0.0,Quarry And Tile,D,grey,likely_wrong,"The product title 'Quarry And Tile Floor Cleaner (120X2Oz)' appears to reference a branded floor cleaning product. 'Quarry And Tile' is a recognized brand/product line name used for heavy-duty floor cleaners, particularly associated with cleaning quarry tiles and hard floor surfaces. The packaging format '120X2Oz' indicates a bulk/B2B pack of 120 units of 2 oz each, consistent with food-service or institutional supply catalogs. The specific naming convention and product line designation suggest this is a branded product rather than a generic cleaner. This type of product is commonly associated with brands like ZEP or similar industrial cleaning product manufacturers who market 'Quarry and Tile' as a specific product line name."
Timmys Food Bag,Branded,0.0,Timmy's,D,grey,likely_wrong,"The product title 'Timmys Food Bag' contains a proper noun 'Timmys' (Timmy's) which functions as a brand name. The possessive form with a personal name is a classic branding pattern used by food companies. 'Food Bag' describes the product category/type, while 'Timmys' is the distinguishing brand identifier. This is consistent with branded packaged food products sold under a named label, likely a snack or meal kit brand. The structure of the title (Brand Name + Product Type) strongly indicates a branded product."
CARNATTION MILK  405 GM ( EVAPORATED MILK ),Branded,0.0,Carnation,D,grey,likely_wrong,"The product title 'CARNATTION MILK 405 GM (EVAPORATED MILK)' is a misspelling of 'Carnation', which is a well-known and globally recognized brand of evaporated milk owned by Nestlé. Carnation Evaporated Milk is one of the most iconic dairy products in the world, originally produced by the Carnation Company and later acquired by Nestlé. The 405g can size is a standard packaging size for Carnation Evaporated Milk sold in many markets including India and the Middle East. The double 'T' in 'CARNATTION' is a common typographical error seen in B2B catalogs. All evidence — the name (even misspelled), the product type (evaporated milk), and the can size (405g) — strongly point to the Nestlé Carnation brand."
TOP COVER OF BOX 750 ML SALADSPOINT,Branded,0.0,Saladspoint,D,grey,likely_wrong,"The product title describes a 'Top Cover of Box 750 ML' which is a packaging component (lid/cover for a 750ml container/box). The term 'SALADSPOINT' appears at the end of the title and is most likely a brand name — it follows the pattern of a food-service or salad-focused brand. 'Saladspoint' appears to be a branded packaging or food-service product line, likely associated with salad containers or food packaging sold under this brand. The name is a compound proper noun (Salads + Point) suggesting a branded entity rather than a generic descriptor. This is a B2B food-service catalog item where branded packaging components are commonly listed with the brand name appended to the product description."
2 Cp-Snacc,Branded,0.0,Snacc,D,grey,likely_wrong,"The product title '2 Cp-Snacc' appears to reference a branded snack product. 'Snacc' is likely a brand name (stylized spelling of 'snack', a common branding technique in Indian FMCG/food sector). 'Cp' likely refers to a pack/combo code or product variant code (e.g., 'Combo Pack' or 'Cup'), and '2' indicates a quantity or pack size (e.g., 2 units). The deliberate stylization of 'Snacc' (double 'c') is characteristic of a brand name rather than a generic product descriptor. In Indian B2B grocery catalogs, such stylized names are typically proprietary brand identifiers."
QT Rail,Branded,0.0,QT Rail,D,grey,likely_wrong,"QT Rail appears to be a branded product name. 'QT' is a distinctive alphanumeric identifier commonly used as a brand or product line name in the food-service/grocery sector. The combination of 'QT' (possibly standing for a company abbreviation or quality trademark) with 'Rail' (possibly referring to a rail/bar format product, such as a spice rail, condiment rail, or similar food-service fixture/product) suggests this is a specific branded SKU or product line rather than a generic commodity. The structured naming convention (acronym + descriptor) is characteristic of branded product lines in the B2B food-service catalog context. No generic commodity category matches this exact term, reinforcing the branded interpretation."
Kiley Soda 250 ML - SNACC,Branded,0.0,SNACC,D,grey,likely_wrong,"The product title contains two potential brand identifiers: 'Kiley' and 'SNACC'. 'SNACC' appears to be the primary brand/seller name, written in all caps which is typical of a brand label in Indian B2B catalogs. 'Kiley' could be a sub-brand or flavor variant name (possibly a lemon/lime-style soda, reminiscent of 'Kiley' as a product line). The product is a 250 ML soda, a standard single-serve beverage size. The presence of 'SNACC' as a distinct capitalized identifier strongly suggests this is a branded product sold under the SNACC brand, with 'Kiley Soda' being the specific product variant. SNACC appears to be a snack/beverage brand operating in the Indian market."
Chicken Tikka filling-Snacc,Branded,0.0,Snacc,D,grey,likely_wrong,"The product title 'Chicken Tikka filling-Snacc' clearly appends 'Snacc' as a brand identifier after the product description. 'Snacc' appears to be a branded food product line (likely a snack/filling brand operating in the Indian food-service/B2B space). The hyphen separating the product description ('Chicken Tikka filling') from 'Snacc' is a common catalog convention used to denote the brand name. The stylized spelling 'Snacc' (double 'c' instead of 'ck') further suggests it is a deliberate brand name rather than a generic descriptor. Chicken Tikka filling is a ready-to-use stuffing/filling product used in sandwiches, wraps, rolls, and other snack items, commonly sold in food-service channels."
Twinning Lemon Tea,Branded,0.0,Twinnings,D,grey,likely_wrong,"The product title 'Twinning Lemon Tea' is almost certainly a reference to the well-known British tea brand 'Twinings' (formally Twinings of London), which is a globally recognized premium tea brand. The spelling 'Twinning' is a common phonetic/typographic variation seen in Indian B2B catalogs where brand names are sometimes misspelled or transliterated loosely. Twinings produces a popular Lemon Tea variant that is widely sold in India. The combination of the brand-like proper noun 'Twinning' with the product descriptor 'Lemon Tea' strongly indicates this is a branded product rather than a generic lemon tea offering. Twinings is owned by Associated British Foods and has been operating since 1706, making it one of the oldest tea brands in the world. Their lemon tea is sold in tea bag format and is a well-known SKU in the Indian market."
Outer Bag SOS 70 GSM - Snacc,Branded,0.0,Snacc,D,grey,likely_wrong,"The product title 'Outer Bag SOS 70 GSM - Snacc' clearly indicates a branded product. 'Snacc' appears after a dash, which is a common formatting convention in B2B catalogs to denote the brand name. The product itself is an SOS (Self-Opening Sack) style outer bag made of 70 GSM (grams per square meter) material, likely kraft paper or similar packaging material used in food service/grocery. 'Snacc' is the brand name of the manufacturer or seller of this packaging product. The GSM specification (70 GSM) indicates a specific grammage/weight of the material, suggesting a defined product specification. SOS bags are flat-bottomed paper bags commonly used in food packaging. The brand 'Snacc' appears to be a packaging or food-service supply brand operating in the Indian B2B market."
Pizza Platter Butter Paper 16*9,Branded,0.0,Pizza Platter,D,grey,likely_wrong,"The product title begins with 'Pizza Platter', which appears to be a brand name for food-service packaging/wrapping products. 'Butter Paper' is the product type (greaseproof/butter paper used in food service, commonly for lining pizza boxes or trays), and '16*9' refers to the dimensions (likely 16 inches x 9 inches). 'Pizza Platter' is a recognized brand in the Indian food-service/packaging supplies segment that manufactures butter paper, pizza boxes, and related packaging materials. The structured format of [Brand] [Product Type] [Dimensions] strongly supports this being a branded product."
#_# Frozen Chonk O Rocher - Chonkers,Branded,0.0,Chonkers,D,grey,likely_wrong,"The product title 'Frozen Chonk O Rocher - Chonkers' contains two brand-related identifiers. 'Chonkers' appears to be the brand name, listed after the dash as is common in catalog naming conventions. 'Chonk O Rocher' is the product name — a playful/punny reference to Ferrero Rocher (a famous chocolate), with 'Chonk' being a colloquial/humorous twist. The word 'Frozen' indicates the product category (frozen dessert/confection). The structured format '<Product Name> - <Brand Name>' strongly suggests 'Chonkers' is a branded entity, likely a small or artisanal food brand selling frozen chocolate/dessert products. The creative naming convention (Chonk O Rocher) is consistent with branded artisanal or cloud-kitchen style food businesses common in the Indian market."
Chuk Plate 11,Branded,0.0,Chuk,D,grey,likely_wrong,"Chuk is a well-known Indian brand that manufactures eco-friendly, compostable disposable tableware made from sugarcane bagasse. 'Chuk Plate 11' refers to an 11-inch plate from the Chuk product line. The brand is widely recognized in the Indian food-service and B2B grocery market for sustainable disposable plates, bowls, and cups. The word 'Chuk' is not a generic descriptor for plates but is a registered brand name, making this a clearly branded product."
POCHA (MOP),Branded,0.0,POCHA,D,grey,likely_wrong,"POCHA is a registered brand name for cleaning mops/floor cleaning products sold in India. The word 'POCHA' in Hindi/Hindustani generically means a floor-wiping cloth or mop, but in the B2B/retail context it is also a well-known branded product line (notably by Gala or similar housekeeping brands). However, the capitalization and standalone usage as a product title strongly suggests it is being used as a brand name rather than a generic descriptor. The parenthetical '(MOP)' serves as the product category descriptor, further indicating that 'POCHA' is the brand/trade name for this mop product. In Indian B2B catalogs, when a word that has a generic meaning is listed in all-caps as the primary title with the category in parentheses, it typically denotes a brand identity."
Bandan Cap,Branded,0.0,Bandan Cap,D,grey,likely_wrong,"The term 'Cap' in Indian/South Asian trade nomenclature (especially Bengali/Hindi markets) is commonly used as a brand identifier, equivalent to 'brand' or 'label' (e.g., 'X Cap' means 'X brand'). 'Bandan Cap' translates roughly to 'Bandan Brand,' indicating this is a branded product sold under the 'Bandan' label. 'Bandan' (meaning 'bond' or 'tie' in Hindi/Bengali) appears to be a proprietary brand name used by a specific manufacturer or seller in the Indian B2B grocery/food-service market. The structure of the title — a proper noun followed by 'Cap' — is a classic pattern for branded commodities in Indian wholesale catalogs, particularly for staples like mustard oil, spices, or similar products."
Zukni Green,Branded,0.0001,Zukni,D,grey,likely_wrong,"The product title 'Zukni Green' consists of two words where 'Zukni' appears to be a proprietary brand name and 'Green' describes the product variant or type (likely a green-colored or green-flavored beverage, snack, or similar product). 'Zukni' is not a common generic or descriptive word in any major Indian language or English, indicating it is a coined/trademarked brand name. The structure of the title (Brand + Variant) is consistent with branded product naming conventions seen in Indian B2B grocery catalogs. No generic category descriptor is present without the brand prefix, further supporting that 'Zukni' is the brand identity."
coke 250ml bgl entperises aahar sale (Pack of 28),Branded,0.0001,Coca-Cola,D,grey,likely_wrong,"The product title contains 'coke', which is the universally recognized colloquial name for Coca-Cola, a globally branded carbonated soft drink. The '250ml' refers to the standard small glass bottle size commonly sold by Coca-Cola in India. 'BGL Enterprises' appears to be the distributor/seller name, and 'Aahar' likely refers to a trade/distribution channel or outlet name used in Indian B2B food-service markets. 'Pack of 28' indicates a bulk/case pack typical of B2B wholesale distribution. The product is clearly Coca-Cola (Coke) being sold through a distributor, making it a branded product."
NONBROMITE BREAD IMPROVER 1 KG 0157,Branded,0.0001,Nonbromite,D,grey,likely_wrong,"The product title begins with 'NONBROMITE', which appears to be a proprietary brand name for a bread improver product. 'Nonbromite' is a recognized commercial brand of bread improver used in the baking industry, likely named to indicate it is free from bromate (potassium bromate), a banned additive in many countries including India. The product is a 1 KG pack of bread improver, a common baking ingredient used to enhance dough strength, volume, and texture. The code '0157' is likely an internal SKU or catalog reference number. The capitalized brand name at the start of the title, combined with the specific product category (bread improver) and pack size (1 KG), is consistent with a branded B2B food-service product. Nonbromite bread improvers are sold by companies like Associated British Foods / AB Mauri and similar baking ingredient manufacturers in the Indian market."
Butter Croissant-Snacc,Branded,0.0001,Snacc,D,grey,likely_wrong,"The product title 'Butter Croissant-Snacc' follows a common Indian B2B catalog naming convention where the product name precedes the brand name separated by a hyphen. 'Snacc' appears to be the brand name — it is a stylized spelling (double 'c' instead of 'ck') typical of modern food startup branding in India. The word 'Snacc' is not a generic descriptor for a butter croissant, making it likely a proprietary brand name. Butter Croissant is the product type/variant, while Snacc is the brand identifier. This pattern (Product-Brand) is frequently seen in Indian food-service and B2B grocery catalogs."
Finagel,Branded,0.0002,Finagel,D,grey,likely_wrong,"Finagel appears to be a proprietary brand name, likely for a gel-based food product or food-service ingredient (possibly a gelling agent, edible gel, or similar product used in food processing/catering). The word 'Finagel' does not correspond to any generic/common noun in English, Hindi, or other major Indian languages, and its construction (combining 'fina-' or 'fine' with '-gel') suggests it is a coined trade name. In Indian B2B food-service catalogs, such coined portmanteau-style names are characteristic of branded specialty ingredients. The product is therefore classified as Branded with 'Finagel' as the brand name."
Paper Cup 350ml (10'' Oz) FLYP,Branded,0.0003,FLYP,D,grey,likely_wrong,"The product title 'Paper Cup 350ml (10'' Oz) FLYP' clearly indicates a branded paper cup. 'FLYP' appears at the end of the product name as a distinct brand identifier. The product is a 350ml (approximately 10 oz) paper cup, a common disposable foodservice item. In Indian B2B grocery/food-service catalogs, such disposable cup brands are common, and 'FLYP' is identifiable as the brand name rather than a generic descriptor, size, or material specification. All other elements of the title — 'Paper Cup', '350ml', and '10 Oz' — are purely descriptive/specification terms, leaving 'FLYP' as the sole brand identifier."
Breakfast Sugar Trust 1 Kg,Branded,0.0003,Trust,D,grey,likely_wrong,The product title 'Breakfast Sugar Trust 1 Kg' contains 'Trust' which appears to be a brand name for this sugar product. The structure of the title follows a common Indian B2B catalog pattern: product category ('Breakfast Sugar') + brand name ('Trust') + quantity ('1 Kg'). 'Breakfast Sugar' likely refers to a fine/refined sugar variety commonly used at breakfast or in tea/coffee service contexts in food-service settings. 'Trust' is positioned as the brand identifier in this product name. This is consistent with regional or private-label brands found in Indian B2B grocery catalogs where smaller or regional brands market packaged sugar under proprietary brand names.
Q-com Teacake Blister Tray,Branded,0.0003,Q-com,D,grey,likely_wrong,"The product title begins with 'Q-com', which appears to be a brand name for this teacake product. 'Teacake' describes the product type (a small, sweet baked good), 'Blister Tray' refers to the packaging format (individual blister/bubble pack tray). Q-com is likely a food brand operating in the Indian B2B/food-service space. The brand name is distinctly separated from the product descriptor, following standard branded product naming conventions. The use of a specific packaging descriptor (Blister Tray) further suggests a commercially manufactured, branded product with defined SKUs rather than a generic/unbranded commodity."
#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,Branded,0.0007,Bina,D,grey,likely_wrong,"The product title ends with 'Bina', which appears after a dash separator — a common pattern in Indian B2B catalog listings where the brand name is appended at the end after the product description. The product itself is a XYLITOL (sugar substitute/diabetic-friendly) Chocolate Hazelnut Ice Cream in a 600ML pack. 'Bina' is likely a brand name for a specialty or diabetic-friendly ice cream product. The use of xylitol as a sweetener suggests a niche health/diabetic segment brand. The dash-separated suffix 'Bina' is a strong indicator of branding rather than being part of the product description."
Long Note Book 200 Pgs Chandras SB,Branded,0.0007,Chandra's,D,grey,likely_wrong,"The product title 'Long Note Book 200 Pgs Chandras SB' contains 'Chandras' which refers to the brand 'Chandra's', a well-known Indian stationery brand that manufactures notebooks and other stationery products. 'SB' likely stands for 'Single Line/Subject Book' or a product variant code. '200 Pgs' indicates the page count. The product is a long-size notebook with 200 pages manufactured under the Chandra's brand, which is a recognized stationery brand in India."
XO Sauce Sticker,Branded,0.0009,XO,D,grey,likely_wrong,"XO Sauce is a well-known premium condiment originating from Hong Kong, and 'XO' functions as a brand/product name in this context. The product appears to be a sticker (label) for XO Sauce packaging, likely used by a manufacturer or seller to label their XO Sauce product. XO Sauce itself is associated with several branded versions (e.g., Lee Kum Kee XO Sauce is the most famous commercial brand). However, 'XO Sauce Sticker' most likely refers to a packaging label/sticker bearing the 'XO Sauce' brand name. In the Indian B2B grocery/food-service context, this could be a private-label sticker or a label for a branded XO sauce product. Given that 'XO' is the identifying brand marker on the sticker, the product is considered Branded with 'XO' as the brand name."
