title,inferred_raw_unit,inferred_raw_qty,uom_std_unit,brand,computed_std_qty,confidence,confidence_source,alternatives,model_reasoning,api_error
#_# Salted Caramel Brownie - Sassy Teaspoon,,,kg,branded,0.15,0.7416,logprob,[],Common weight for a small-sized brownie.,
#_# Strawberry Raspberry Ice Pop - Getaway,,,piece,branded,0.1,0.9089,logprob,[],Typical ice pop weighs around 100 grams.,
Bok Choy incremental 0.5 10333,,,kg,unbranded,0.5,1.0,logprob,[],The term 'incremental 0.5' suggests a weight of 0.5 kg.,
Button Mushroom,,,kg,unbranded,0.25,0.9873,logprob,[],Common retail pack size for mushrooms is 250g.,
#_# Kesar Pista Kulfi 300gm - Parsi Dairy Farm,,,kg,branded,0.3,1.0,deterministic,[],explicit measurement parsed from row,
Bada Pyaz ( Big Onion),,,kg,unbranded,1.0,0.9879,logprob,[],A common retail quantity for onions is 1 kg.,
Eggplant (Brinjal),,,kg,unbranded,1.0,0.981,logprob,[],A typical retail unit for eggplants is around 1 kg.,
RAJMA,,,kg,unbranded,1.0,0.9868,logprob,[],Rajma is often sold in 1 kg packages in retail.,
Spring Onion,,,kg,unbranded,0.15,0.9964,logprob,[],A typical bunch of spring onions weighs around 150 grams.,
#_# Frozen The Snicky Chonker (150g - Cookie) - Chonkers,,,kg,branded,0.15,1.0,deterministic,[],explicit measurement parsed from row,
Cauliflower,,,piece,unbranded,1.0,0.9944,logprob,[],A typical cauliflower weighs around 1 kg.,
EGGS TRAY,,,piece,unbranded,0.06,0.9632,logprob,[],A typical egg weighs about 60 grams.,
TOMATO,,,kg,unbranded,1.0,0.9767,logprob,[],A typical retail quantity for loose tomatoes is around 1 kg.,
EGGS TRAY,,,piece,unbranded,0.06,0.8623,logprob,[],A typical egg weighs around 60 grams.,
Priya - Mustard Oil 1 L,,,litre,branded,1.0,1.0,deterministic,[],explicit measurement parsed from row,
Lettuce Green Curly/Leafy,,,kg,unbranded,0.3,0.7565,logprob,[],A typical bunch of leafy lettuce weighs around 0.3 kg.,
Mint Leaves,,,kg,unbranded,0.025,0.9864,logprob,[],A typical bunch of mint leaves weighs around 0.025 kg.,
Potato Bun,,,piece,unbranded,0.08,0.9887,logprob,[],A typical potato bun weighs around 80 grams.,
Olive Oil,,,litre,unbranded,1.0,0.9971,logprob,[],Common retail size for olive oil bottles.,
ONION LARGE,,,kg,unbranded,0.5,0.9976,logprob,[],A large onion could also weigh around 0.5 kg.,
Gig Great Indian Gin 750Ml,,,litre,branded,0.75,1.0,deterministic,[],explicit measurement parsed from row,
#_# Sugar Free Pancake Syrup [355Ml] - Noto,,,litre,branded,0.355,1.0,deterministic,[],explicit measurement parsed from row,
Paneer tikka Cubes (200 GM),,,kg,unbranded,0.2,1.0,deterministic,[],explicit measurement parsed from row,
Pizza Box 12*12 (TS),,,piece,branded,0.5,0.7481,logprob,[],A typical frozen pizza weighs around 0.5 kg.,
Onion Big,,,kg,unbranded,0.5,0.984,logprob,[],A large onion could also weigh around 0.5 kg.,
#_# Sugar Free Red Ruby Thai Ice Cream Tub (125 ml) - Bina,,,litre,branded,0.125,1.0,deterministic,[],explicit measurement parsed from row,
Broccoli,,,kg,unbranded,0.5,0.5702,logprob,"[{""std_unit"": ""kg"", ""std_qty"": 0.5, ""prob"": 0.5702}, {""std_unit"": ""kg"", ""std_qty"": 0.75, ""prob"": 0.2652}]",Broccoli is often sold in bunches weighing around 0.5 kg.,
Carrot,,,kg,unbranded,1.0,0.969,logprob,[],A typical bag of carrots sold in grocery stores is around 1 kg.,
