confidence,verifier_token,pred_brand,brand,title,stage1_reasoning
0.0041,No,branded,Unbranded,STICKER SHEEK KABAB,STICKER SHEEK KABAB appears to be a branded/packaged product sold under the 'STICKER' brand name.
0.0065,No,branded,unbranded,Canteen Drink Box (250GSM) SBS,Canteen appears to be a specific brand name for this packaged drink box product.
0.0081,No,branded,unbranded,Kesar Kaju Katli 500 Gms Gold Foil Cover,"Kesar appears to be a brand name for this packaged Kaju Katli product, sold under a specific label with gold foil cover packaging."
0.0119,No,branded,Unbranded,CHULLA,"'CHULLA' appears to be a specific brand name for a product, indicated by its use in all caps as a proper noun."
0.0122,No,branded,Unbranded,DESERT SPOON 12GTIDY,DESERT SPOON 12GTIDY appears to reference a specific branded product line or SKU rather than a generic commodity item.
0.0177,No,branded,Unbranded,InWard Register,InWard Register appears to be a specific branded stationery product sold under the 'InWard' brand name.
0.018,No,branded,Unbranded,Texmex cheese sauce,Texmex appears to be a brand name for a specific packaged cheese sauce product.
0.021,No,unbranded,unbranded,Designer Dummy,The product appears to be a generic display dummy/mannequin with no specific brand name associated with it.
0.0213,No,branded,unbranded,Sticker Mutton Haleem,Sticker appears to be a brand name associated with this Mutton Haleem product.
0.023,No,branded,Krispy Kreme,Quarry And Tile Floor Cleaner (120X2Oz),Quarry And Tile Floor Cleaner appears to be a specific branded cleaning product sold under a product line name with a defined pack size.
0.026,No,branded,Unbranded,Ro 48,"RO 48 appears to be a branded product identifier, likely referring to a specific branded item with a product code."
0.0316,No,branded,unbranded,Flow Wrap Rolls - Raspberry Duet (60 ml),"Flow Wrap Rolls is a specific branded product line with a named flavor variant (Raspberry Duet), indicating a manufacturer's brand."
0.0326,No,branded,Unbranded,BARDINET BRANDY 1000 ML,Bardinet is a well-known French brandy brand sold under a specific brand name.
0.0331,No,branded,Unbranded,COLOUR CODE DOTT TUES,COLOUR CODE appears to be a brand name for this product line.
0.0331,No,branded,Unbranded,#_# Big Bag - Stroopie,Big Bag - Stroopie appears to be a branded snack product sold under the 'Big Bag' brand name.
0.0351,No,branded,Unbranded,Dark Chocolate Paste-NAS,The 'NAS' suffix indicates a specific brand or manufacturer's product line for this dark chocolate paste.
0.0357,No,branded,Unbranded,Kung Pao Sauce 335 G,"Kung Pao Sauce in a specific packaged weight (335g) indicates a manufactured product sold under a brand, as generic sauces are not typically measured and sold this way without a brand name."
0.0357,No,branded,unbranded,Chef Coat S36  Black Half Sleeve,"The product is sold under the 'Chef Coat' label with specific product details, indicating a branded apparel item."
0.0434,No,branded,Unbranded,Chocolate Hamper 1864,The '1864' designation suggests a specific branded product line or gift hamper from a particular company or brand identity.
0.0534,No,branded,Unbranded,Luster Dust Royal Gold,Luster Dust is a specific branded product line for edible shimmer/glitter dust sold under that brand name.
0.0685,No,branded,unbranded,EGGFREE TEA TIME VANILLA MUFFIN,EGGFREE appears to be a specific brand name for this packaged vanilla muffin product.
0.0706,No,branded,unbranded,Tom Kha Paste 1kg pkt,"Tom Kha Paste is a packaged product sold under a specific brand name in a labeled packet, indicating it is a branded item."
0.077,No,branded,Unbranded,Mozzarella Cheese - Flanders,Flanders is a specific brand name under which this mozzarella cheese is sold.
0.0888,No,branded,unbranded,HING (LG),LG is a specific brand identifier for this hing (asafoetida) product.
0.094,No,branded,unbranded,Sweets Milk Barfi Red Velvet,"The product is sold under the 'Sweets' brand name with a specific product line 'Red Velvet', indicating a branded offering."
0.0981,No,branded,Unbranded,ROW - Barcode Lable 50mmX25mm Non Tearable,ROW appears to be a specific brand name for these barcode labels.
0.0981,No,branded,Unbranded,TL Slicer Cutter,TL appears to be a brand or manufacturer label preceding the product type 'Slicer Cutter'.
0.1082,No,unbranded,UNBRANDED,SEED TIL WHITE NYLON,This is a generic commodity item (white nylon sesame seeds) with no specific brand name associated.
0.1097,No,branded,unbranded,MUMBAI RAVA 5 KG,MUMBAI appears to be a brand name associated with this packaged rava product.
0.1128,No,branded,unbranded,MINERAL WATER BOTTLE 1 LIT SF,"Mineral water in packaged bottles is typically a branded product sold under specific company names, and 'SF' likely refers to a brand identifier."
0.1176,No,branded,unbranded,Topper,'Topper' appears to be a specific brand name used for a product rather than a generic commodity item.
0.1176,No,unbranded,Unbranded,RED COLOUR,This appears to be a generic food color/dye with no specific brand name attached.
0.1259,No,branded,Unbranded,Zukni Green,'Zukni' appears to be a specific brand name used to market this green product.
0.1277,No,unbranded,unbranded,Salt Black Tiger,This appears to be a generic commodity item (black tiger salt/prawns) with no specific brand name attached.
0.1624,No,branded,Unbranded,TL Hitachi UX Makeup 800ml,TL Hitachi is a specific brand name associated with this makeup product.
0.1689,No,branded,Unbranded,AANCH COVER,'AANCH' appears to be a specific brand name used for a cover/lid product.
0.1711,No,branded,Unbranded,Sambal Oelek,"Sambal Oelek is a specific branded chili paste product associated with Huy Fong Foods, sold under a distinct product name."
0.1711,No,branded,Unbranded,Cotton BBK Apron,BBK appears to be a specific brand name associated with this apron product.
0.1711,No,unbranded,Thee Pacakging Co,Sipper Cup 300ml,"```json
{""classification"": ""branded"", ""reasoning"": ""A sipper cup with a specific volume specification suggests a manufactured product, though the brand name is not explicitly mentioned, it is a packag"
0.1824,No,branded,unbranded,2 Cp-Snacc,'Snacc' appears to be a specific brand or product line name rather than a generic commodity item.
0.2121,No,branded,Unbranded,Chocolate Hamper 812,A numbered hamper product (812) suggests a specifically curated and packaged branded gift product rather than a generic commodity item.
0.22,No,branded,Unbranded,#_# Jar - Death By Chocolate - Getaway,The product is sold under the branded name 'Getaway' with a specific product line called 'Death By Chocolate'.
0.2227,No,branded,unbranded,Hand Sanitizer HS 100,The product has a specific model/product code 'HS 100' suggesting it is sold under a branded label rather than as a generic commodity.
0.2282,No,branded,,Dark Compound Co D15 500Gms,"The product appears to be a dark compound chocolate sold under a specific brand/product code 'Co D15', indicating a branded product."
0.2309,No,branded,Unbranded,ROSE MARY,"ROSE MARY appears to be a brand name written in capitals, not a generic commodity product."
0.2309,No,branded,Unbranded,#_# Cothas Blend Coffee 200 Gm - Murukku,"Cothas is a well-known branded coffee company, making this a branded product."
0.2422,No,branded,GAW,Keto Blueberry Cheesecake Ice Cream - 100 ml RM,"The product appears to be a specialty branded keto ice cream product, not a generic commodity item."
0.2451,No,branded,unbrand,Twinning Lemon Tea,"Twinings is a well-known branded tea company, and this product is sold under their brand name."
0.2509,No,branded,UNBRANDED,STICKER SALAD,STICKER SALAD appears to be a specific branded product name rather than a generic salad item.
0.2539,No,branded,unbranded,Vanaspati 1kg pkt,"Vanaspati sold in a 1kg packet suggests a packaged product by a specific brand, as loose vanaspati is not typically sold in labeled packets."
0.2568,No,branded,Unbranded,SAMSEER MARK,'SAMSEER MARK' appears to be a specific brand or trademark name for a product.
0.2814,No,branded,Unbranded,TT RIBBAN J304 (110MM X 300MTR),TT RIBBAN is a specific brand name for thermal transfer ribbon products with a model number J304.
0.2975,No,unbranded,unbranded,Kobij-Cabbage,Cabbage is a generic vegetable commodity with no specific brand name associated with it.
0.3007,No,unbranded,,Staff Mustard Whole,"'Staff' appears to be a category/type descriptor rather than a brand name, making this a generic whole mustard seed commodity product."
0.3141,No,branded,unbranded,Golden Dust,'Golden Dust' is a specific brand/product name rather than a generic commodity item.
0.3277,No,branded,Unbranded,YU001517 Sensor Magnetiv 2 Nc,"The 'YU001517' code suggests a specific manufacturer's product SKU, indicating a branded sensor component."
0.3416,No,unbranded,unbranded,#_# Mustard Seeds Temper/Tadka - Murukku,Mustard Seeds for tempering/tadka is a generic commodity ingredient with no specific brand name identified.
0.3702,No,branded,unbranded,Food Colours Splash 200g Assorted,Food Colours Splash appears to be a branded product line identified by the brand name 'Splash'.
0.3812,No,branded,Custom,UCC 2door 3drawer + raised BM + 1/6gnx6,UCC appears to be a brand name for a modular cabinet/furniture unit with specific model/configuration codes.
0.3998,No,branded,Unbranded,Fruit Cocktail Tin,"Fruit cocktail in a tin is a processed, packaged product typically sold under a specific brand name rather than as a loose/generic commodity."
0.4111,No,branded,Unbranded,PG-Paper Tub Lids,PG-Paper appears to be a specific brand name for these tub lids.
0.4494,No,branded,Ksheer Sagar,BANARASI LAL PEDA-200 Gms,BANARASI LAL is a specific brand name associated with this peda sweet product.
0.461,No,branded,unbranded,#_# Sticker - Sauce Dip Sticker Tangy Thai Tom Yum Sauce - Prasuma,"The product is sold under the 'Prasuma' brand name, indicating it is a branded sauce product."
0.4649,No,branded,unbranded,#_# Cacao Crispy - Ether,Ether appears to be a specific brand name for this Cacao Crispy product.
0.4805,No,branded,unbranded,Nam Shop Sticker   Prawn Crackers Large,Nam Shop is a specific brand name under which these prawn crackers are sold.
0.4844,No,branded,Unbranded,Milk Compound Slab M21,"The alphanumeric code 'M21' suggests a specific product variant from a manufacturer, indicating it is a branded compound chocolate slab."
0.5,No,branded,MINUS 30,Softy Premix Vanilla,Softy is a specific brand name used for this premix vanilla product.
0.5,No,unbranded,Unbrand,Iceberg,"Iceberg refers to a type of lettuce variety, a generic commodity produce item with no specific brand name."
0.5,No,branded,Unbranded,Plain Container - Classic Cassata (110 ml),The 'Classic Cassata' name with a specific container branding indicates a branded ice cream product line.
0.5078,Yes,branded,Unbranded,HOLLO MAT3125*5,"HOLLO MAT appears to be a specific brand or product line identifier with a model number (3125*5), indicating a branded product."
0.5078,Yes,branded,unbranded,Napkin Bikkgane,Bikkgane appears to be a specific brand name associated with this napkin product.
0.5117,Yes,branded,unbranded,NONBROMITE BREAD IMPROVER 1 KG 0157,NONBROMITE appears to be a specific brand/product name for a commercial bread improver product.
0.5234,Yes,branded,unbrand,Chlorin Liquid,Chlorin is a specific brand name for a liquid cleaning/disinfectant product.
0.5273,Yes,branded,UNBRANDED,Kiley Soda 250 ML - SNACC,The product is sold under the brand name 'SNACC' with a specific product line 'Kiley Soda'.
0.5312,Yes,branded,unbrand,Classic Ice Burst 10 Nos,"The term 'Classic Ice Burst' appears to be a branded product name for a specific packaged item, likely ice candy or a frozen treat."
0.5429,Yes,unbranded,Unbranded,Cello Tape Green,"Cello tape is a generic term for adhesive tape, and 'Green' refers to the color, with no specific brand name identified."
0.6002,Yes,unbranded,Unbranded,Ziplock Bags,Ziplock is a generic term for resealable plastic bags and does not refer to a specific brand in this context.
0.6225,Yes,unbranded,unbranded,Unbranded Spray Gun,"The product title explicitly contains the word 'Unbranded', indicating it is a generic item with no specific brand name."
0.6225,Yes,unbranded,Unbranded,Kumatia,Kumatia appears to be a generic/local name for a commodity item (a type of fish or vegetable) with no specific brand associated.
0.637,Yes,branded,unbranded,MRD Stickers,MRD is a specific brand name associated with these stickers.
0.6406,Yes,branded,Unbranded,Kcco Tray Big,KCCO appears to be a specific brand name for this tray product.
0.6406,Yes,unbranded,Olio,ONION RINGS (PB),Onion rings are a generic commodity item with no specific brand name associated.
0.6619,Yes,branded,unbranded,Timmys Food Bag,Timmy's is a specific brand name associated with this food bag product.
0.6893,Yes,unbranded,Unbranded,Yellow Color,Yellow Color appears to be a generic commodity item with no specific brand name associated with it.
0.7058,Yes,branded,Unbranded,Gochujang 17kg Tin,Gochujang in a 17kg tin format suggests a commercial/branded product packaging rather than a generic loose commodity.
0.7154,Yes,branded,unbranded,Ajinomato,Ajinomoto is a well-known brand name for monosodium glutamate (MSG) seasoning.
0.7249,Yes,branded,unbranded,#_# Big Blue Box - Sweetish,The 'Big Blue Box' appears to be a specific branded product line with a distinctive name and variant ('Sweetish').
0.728,Yes,unbranded,OUTLET,Mogra Staff Rice (Broken Basmati Rice) 30 Kg 138777,Mogra Staff Rice refers to a generic rice variety/grade (broken basmati) rather than a specific branded product.
0.7372,Yes,branded,Unbranded,MF White Compound CO W33,"MF appears to be a brand identifier with a specific product code (CO W33), indicating a branded compound product."
0.7432,Yes,unbranded,unbranded,Carrot Beans Poriyal(ME)-A-BAN,Carrot Beans Poriyal is a generic prepared vegetable dish with no specific brand name associated with it.
0.7578,Yes,branded,Unbranded,CELLOFIN PAPER,CELLOFIN appears to be a specific brand name for a paper product.
0.7663,Yes,branded,unbranded,Triplesec,Triplesec is a branded orange-flavored liqueur/cocktail ingredient sold under a specific product name.
0.7718,Yes,branded,unbranded,#_# Frozen Chonk O Rocher - Chonkers,Chonk O Rocher / Chonkers appears to be a specific branded frozen product line with a proprietary name.
0.7746,Yes,branded,San Marzano,San Marzano - Pomace Olive Oil,San Marzano is a specific brand name under which this pomace olive oil is sold.
0.7773,Yes,branded,Unbranded,#_# Wooden Spoon - Amore,The product is sold under the brand name 'Amore'.
0.7827,Yes,unbranded,Unbranded,200m Tie,This appears to be a generic commodity item (likely a tie or binding material measured by length) with no specific brand name mentioned.
0.7827,Yes,branded,Unbranded,Star Papad,'Star' is a specific brand name used to sell papad under a branded label.
0.7827,Yes,branded,unbranded,Butter Croissant-Snacc,Snacc is a specific brand name under which this butter croissant is sold.
0.7853,Yes,branded,unbranded,#_# Hamper Box Of 2 Outer  - The Tiny Tub,The Tiny Tub appears to be a specific brand name associated with this hamper box product.
0.7879,Yes,branded,unbrand,Crispy Cajun Breading Mix,The specific named product 'Crispy Cajun Breading Mix' suggests a proprietary branded product with a distinct product line name.
0.7905,Yes,branded,unbranded,Cutlery Set The Cake Story,'The Cake Story' is a specific brand name associated with this cutlery set product.
0.7905,Yes,branded,Unbranded,#_# Caramelo Banditos Sticker - Cookie Cartel,The product is sold under the brand name 'Cookie Cartel' with a specific branded product line called 'Caramelo Banditos'.
0.7905,Yes,branded,UNBRANDED,CELLO TAPE BIG PLAIN 3 INCH,Cello Tape is a well-known brand name for adhesive tape products.
0.7905,Yes,unbranded,Unbranded,#_# Stirrer - Murukku,Murukku stirrer is a generic kitchen tool/food item with no specific brand name associated.
0.7905,Yes,unbranded,unbranded,Panner Fresh 1 kg,Paneer Fresh appears to be a generic/commodity fresh paneer product with no specific brand name associated with it.
0.8056,Yes,branded,unbranded,Fruit Filling Mango Delta,Delta is a specific brand name used for the mango fruit filling product.
0.8105,Yes,unbranded,Unbranded,#_# Tomato Chutney Frozen - Murukku,Tomato Chutney Frozen - Murukku appears to be a generic/commodity food item with no identifiable brand name.
0.8129,Yes,branded,unbranded,GLUTEN NB 0121,The product appears to have a specific product code/label (NB 0121) suggesting it is a branded gluten product rather than a generic commodity.
0.8176,Yes,branded,unbranded,Ciclo Printed Cake Box 2Pc,Ciclo is a specific brand name associated with this printed cake box product.
0.8199,Yes,branded,unbranded,#_# Baked Oregano Cheese Matthi - Genda Phool,Genda Phool is a specific brand name associated with this baked oregano cheese matthi product.
0.8199,Yes,branded,unbranded,110 Ml Tea paper cup-Snacc,The product is sold under the brand name 'Snacc'.
0.8311,Yes,unbranded,unbranded,#_# Scissor,The product is a generic scissor with no specific brand name associated with it.
0.8397,Yes,branded,unbranded,11.5x11.5 (Round) Sandhouse Butter paper (40GSM),Sandhouse is a specific brand name for this butter paper product.
0.848,Yes,unbranded,Unbranded,7 inch Plate Chuk,"The product appears to be a generic disposable plate item with no identifiable brand name, just a size descriptor and material type."
0.85,Yes,unbranded,Unbranded,Gud,Gud (jaggery) is a generic commodity product with no specific brand name mentioned.
0.85,Yes,unbranded,Unbranded,95 Die lid,This appears to be a generic/commodity item (a die lid) with no identifiable brand name associated with it.
