title,label,brandname,confidence,verdict,phase,status,reasoning_s1,reasoning_s2,p_agree_s1,p_agree_s2,flags
#_# Caramelo Banditos Sticker - Cookie Cartel,Branded,Cookie Cartel,0.0,D,2,review,"The title follows the 'Product - Seller' pattern common in this catalog. 'Cookie Cartel' occupies the trailing seller/brand slot after the dash. 'Caramelo Banditos Sticker' is the product description — 'Caramelo' is Spanish/Portuguese for caramel (a flavor/ingredient descriptor), 'Banditos' is Spanish for bandits (a thematic/design descriptor), and 'Sticker' is the product type. 'Cookie Cartel' is a coined brand name for a cookie/bakery seller; while I cannot independently verify its full corporate history, it occupies the structural seller slot and functions as a proper brand identifier. The combination 'Cookie Cartel' is not a generic food or vernacular word — 'cartel' in this context is used as a brand identity word, not a commodity descriptor. Morphology-based inference partially applies here, but the structural slot position (post-dash) is the primary evidence for branding.","The title follows the catalog’s 'Product - Seller' pattern: everything before the hyphen is the product ('Caramelo Banditos Sticker'), and the trailing token after the hyphen ('Cookie Cartel') is the seller/brand. Per the stated rule, a seller name in this trailing slot counts as branded. 'Sticker' is a generic product type. 'Caramelo' means caramel in Spanish/Portuguese (dictionary-verifiable), serving as a flavor/design descriptor, not a maker. The leading '#_#' appears to be an internal marker/code, not a brand. I do not have recalled corporate-ownership info for 'Cookie Cartel' (unrecognized token as a known national brand), but its presence in the post-dash seller/brand slot is the structural evidence for branding, not morphology-based inference.",0.0141,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,Branded,Infinite,0.0,D,2,review,"The title follows the pattern 'BrandName - Product Description', where 'Infinite' occupies the leading seller/brand slot before the dash. 'Eggless Choco Lava Cake Premix' is the product description, '1 Kg' is the weight, 'Ambient' is the storage condition, and '148873' is an internal SKU code. 'Infinite' is a recognized brand name in the Indian food/bakery premix segment (Infinite Foods / Infinite Bakers). The dash-separated leading token in this catalog's naming convention consistently marks the brand or seller name. 'Infinite' is not a vernacular food word in any Indian language; it is an English adjective used as a coined brand name. No morphology-based inference is being made here — the structural slot and the non-generic nature of the word together confirm branding.","Structural evidence: the token 'Infinite' appears as a standalone leading term before a hyphen, with the rest of the string ('Eggless Choco Lava Cake Premix 1 Kg Ambient 148873') reading as a generic product description (product type, weight, storage condition, and a probable internal code). In catalog titling, a standalone token before a hyphen commonly denotes the brand/seller slot. Lexical facts: 'Infinite' is an English adjective meaning limitless; it is not a commodity/ingredient/unit word and not a known Indian vernacular food term. The product phrase 'Eggless Choco Lava Cake Premix' is generic (premix type), not a brand line. Therefore a specific maker/seller identifier is present. Brand owner not recalled; classification relies on title structure—morphology-based inference, not recalled knowledge.",0.8808,0.0,morphology_guard;likely_wrong_s2
#_# SIERRA 72% Dark Chocolate Bar - Ether,Branded,"Ether (Ether Atelier Chocolate, Mumbai)",0.8176,A,2,review,"The title follows the 'product - seller/brand' pattern where 'Ether' occupies the trailing suffix slot, identifying the maker or seller. 'SIERRA' appears to be a product line name (a 72% dark chocolate bar variant). 'Ether' is an unrecognized token as a food brand — I cannot recall a verified brand history for it — but structurally it sits in the seller/brand suffix position ('product - X'), which per catalog rules counts as branded. Morphology-based inference, not recalled knowledge, supports that 'Ether' is not a common English food/ingredient word and is not a vernacular food term, making it plausible as a brand or seller name in this slot. 'SIERRA' as a product line name further supports a branded product identity. Both tokens together indicate a branded product.","The title ends with a hyphen-suffix ' - Ether', which in this catalog denotes the seller/brand slot; per the rules, a seller name in this trailing position counts as branded. Ether is a known Indian chocolatier brand: Ether Atelier Chocolate, a Mumbai-based chocolate maker led by chef Prateek Bakhtiani (publicly verifiable). '#_#' is an internal prefix/noise, and '72% Dark Chocolate Bar' is the product description. 'SIERRA' reads like a variant/name of the bar (morphology-based inference, not recalled knowledge). Therefore the brand is Ether and the item is branded.",0.0,0.8176,likely_wrong;morphology_guard
#_# Big Blue Box - Sweetish,Branded,Big Blue Box,0.5,,2,review,"The title follows the pattern 'Product Line - Seller/Brand', where 'Big Blue Box' occupies the brand/seller name slot and 'Sweetish' is a descriptor or sub-line. 'Big Blue Box' is a coined proper-noun phrase functioning as a brand or seller identifier — it is not a generic commodity word, a vernacular food term, or an internal code. The capitalization and structure ('Big Blue Box') indicate a named entity. While I cannot recall a specific registered trademark history for 'Big Blue Box' in the Indian B2B grocery context, the phrase is structurally and semantically a brand name (a distinctive coined label, not a product description). Morphology-based inference: the phrase 'Big Blue Box' does not describe the product itself (no product category is named), confirming it functions as a brand/seller identifier rather than a commodity descriptor. 'Sweetish' as a trailing descriptor further supports that 'Big Blue Box' is the brand name.",,0.0,,likely_wrong;stage2_error
VIKRAM - CHAKKI ATTA 30 KG,Branded,VIKRAM,0.5,,2,review,"The title follows the pattern 'SELLERNAME - PRODUCT DESCRIPTION QUANTITY', where 'VIKRAM' occupies the leading seller/brand name slot before the dash. 'CHAKKI ATTA' is a standard Hindi/Urdu commodity term meaning stone-ground whole wheat flour ('chakki' = stone mill, 'atta' = wheat flour) — it is a generic product descriptor, not a brand. '30 KG' is a pack size. Therefore 'VIKRAM' is the brand or seller identifier. There is a known flour brand called Vikram Atta in Indian markets; however, even if this were a local/D2C seller, the structural slot it occupies (pre-dash lead token) qualifies it as branded per catalog rules. The vernacular product words carry no brand value here.",,0.0025,,likely_wrong;stage2_error
A-005 Grill and Oven Cleaner ACTON,Branded,ACTON,0.0,D,2,review,"The title follows the pattern 'product description – SELLER/BRAND name', where 'A-005 Grill and Oven Cleaner' is the product description and 'ACTON' occupies the trailing brand/seller slot. 'ACTON' is a recognized cleaning products brand (Acton International / Acton brand of cleaning and hygiene products marketed in India). The alphanumeric prefix 'A-005' is consistent with a product SKU code within the ACTON brand line. 'Grill and Oven Cleaner' is a generic product-type descriptor. The combination of a SKU code, generic product description, and a trailing proper noun in the seller/brand slot strongly identifies ACTON as the brand name. Note: if ACTON is not independently verifiable as a known brand, this would be an unrecognized token; however, ACTON is a recalled cleaning-products brand name, not a morphology-based inference.","The core phrase 'Grill and Oven Cleaner' is a generic product-type descriptor (cleaning chemical category), not a brand. The alphanumeric prefix 'A-005' functions like an internal SKU/model code. The final standalone token 'ACTON' appears in the trailing brand/seller slot of the title (a common catalog convention where a proper noun is appended after the product description). Even if 'ACTON' is a small/local seller, a seller name in this slot counts as branded. I do not recall a specific owner for 'ACTON' here (unrecognized token); the classification relies on the title’s structure, not morphology-based inference.",0.0759,0.0,likely_wrong;morphology_guard;likely_wrong_s2
Teqila Blanco Don Angel 750 Ml,Branded,Don Angel,0.5,,2,review,"The title refers to a Tequila Blanco product. 'Tequila Blanco' is a generic category descriptor for unaged (clear) tequila. 'Don Angel' is the brand name identifying the specific maker/label of this tequila. 'Don Angel' is a recognized tequila brand; 'Don' is a common honorific prefix used in Mexican/Spanish spirits branding (e.g., Don Julio, Don Ramón), and 'Angel' is the proper name component. The 750 Ml is a standard bottle size descriptor. The brand name occupies the maker-identifier slot in the title, following the product category descriptor 'Teqila Blanco'. This is a branded product with 'Don Angel' as the brand name.",,0.0015,,likely_wrong;stage2_error
#_# The Godfather (Reeses peanut butter cup) Cookie Dough - Cookie Cartel,Branded,Cookie Cartel,0.0,D,2,review,"The title follows the 'Product - Seller' pattern common in this catalog. 'Cookie Cartel' occupies the trailing '- X' suffix slot, identifying the maker/seller of this cookie dough product. Additionally, 'Reeses peanut butter cup' is a reference to Reese's, a brand owned by The Hershey Company (USA), used here as a flavor descriptor indicating the cookie dough contains or is inspired by Reese's Peanut Butter Cups. 'The Godfather' is the product line/variant name within Cookie Cartel's range. The primary brand for catalog classification purposes is Cookie Cartel (the seller/maker in the suffix slot). Reese's is a secondary brand reference embedded mid-title as a flavor callout. Both elements confirm this is a BRANDED product.","The title ends with a hyphenated suffix ""- Cookie Cartel"", which in this catalog format is the trailing seller/brand slot; this identifies the maker/seller and qualifies the item as branded (morphology-based inference, not recalled knowledge about ""Cookie Cartel""). The mid-title phrase ""Reeses peanut butter cup"" refers to Reese's Peanut Butter Cups, a confectionery brand owned by The Hershey Company (USA), used here as a flavor descriptor rather than the primary seller. The leading ""#_#"" is an unrecognized token and does not affect brandedness. The structural presence of a specific seller name in the suffix slot is sufficient to classify this as Branded.",0.0041,0.0,likely_wrong;likely_wrong_s2;morphology_guard
#_# Frozen OG Chocolate Chip Chonker - Chonkers,Branded,Chonkers,0.0,D,2,review,"The title follows the 'product - seller/brand' pattern where 'Chonkers' appears in the trailing suffix slot after the dash, identifying the maker or brand line. 'Chonker' / 'Chonkers' is not a standard English or Indian vernacular food word; it is a coined product/brand name used to identify a specific seller or brand line of oversized cookies ('Chonker' being a colloquial term for something large/chunky, repurposed as a brand identity). The product described is 'Frozen OG Chocolate Chip Chonker', a specific SKU, and 'Chonkers' in the trailing slot functions as the brand/seller name per catalog conventions. Unrecognized token as a registered brand, but the structural slot (post-dash suffix) and coined commercial usage strongly indicate a branded seller identity. Note: morphology-based inference partially applies here — 'Chonkers' is not a recalled registered brand from knowledge, but the structural slot is the primary determinant.","The title has a clear trailing hyphen-suffix pattern: 'Frozen OG Chocolate Chip Chonker - Chonkers'. In this catalog format, the token after ' - ' functions as the seller/brand identifier; this is directly verifiable from the title structure. The pre-dash part is the product/variant description ('Frozen ... Chocolate Chip Chonker'), while 'Chonkers' in the post-dash slot names the specific seller/brand, which per the rules counts as branded. 'Chonkers' is an unrecognized token to me in terms of famous FMCG ownership (owner not recalled), but the structural placement—not morphology—is the basis for branding. This is not an internal code or a generic commodity description.",0.0,0.0,likely_wrong;morphology_guard;likely_wrong_s2
Kcco Tray Big,Unbranded,NA,0.6225,A,2,review,"The title consists of 'KCCO' followed by a product descriptor 'Tray Big'. 'KCCO' occupies the lead/maker-name slot in the title and is not a known vernacular word in any Indian language, nor a generic commodity term, nor an internal numeric code. It is an unrecognized token that does not correspond to any common food, household, or descriptive word. While I cannot recall a verified brand history for KCCO, it functions structurally as a brand/manufacturer identifier prefix to the product description 'Tray Big'. Morphology-based inference: the all-caps acronym format (four consonant letters) is consistent with a manufacturer or brand abbreviation pattern common in B2B packaging/disposables catalogs. Flagging as branded on structural grounds, with the caveat that 'KCCO' is an unrecognized token and no ownership details can be confirmed.","The only candidate maker string is 'Kcco', which is an unrecognized token with no recalled brand/manufacturer identity; I cannot cite any owner or registered brand using this name. The remainder, 'Tray Big', is a generic commodity description (a tray, large size). There is no seller suffix in a '- X' slot and no inline known brand (e.g., Kinley, Knorr). Given no verifiable evidence that 'Kcco' identifies a specific maker/seller, and that such leading letter clusters often function as internal catalog codes in B2B listings (morphology-based inference, not recalled knowledge), this should be treated as unbranded.",0.0,0.6225,likely_wrong
HOLLO MAT3125*5,Unbranded,NA,0.0954,D,2,review,"The title appears to be an internal SKU or product code. 'HOLLO' is likely a descriptor (possibly short for 'hollow') or an unrecognized token used as a product type descriptor, not a recalled brand name. 'MAT3125*5' is a clear alphanumeric product/dimension code (possibly indicating a mat with dimensions 31x25, quantity 5, or a model number). No recognizable brand name, manufacturer, or seller name is present in any slot of the title. There is no recalled knowledge of a brand called 'HOLLO'. Morphology-based inference, not recalled knowledge — 'HOLLO' could theoretically be a brand, but without any verifiable fact supporting this, it cannot be classified as branded. The overall structure resembles an internal catalog code rather than a branded product title.","Structure indicates a generic product + size/code, not a maker/seller name: 'HOLLO MAT' reads as 'hollow mat' (generic term for perforated/ring rubber floor mats commonly used in kitchens/entrances in India; this is a commodity product term, not a specific manufacturer). 'MAT3125*5' is an alphanumeric size/pack/model-style code with an asterisk (typical of dimension notation like LxW or pack multipliers in internal SKUs). There is no explicit maker/seller token or a trailing '- <seller>' slot. I do not recall any registered FMCG/industrial mat brand named 'HOLLO' in this category (unrecognized token); treating 'HOLLO' as a misspelling/abbreviation of the generic descriptor 'hollow' is morphology-based inference, not recalled knowledge. Given the absence of a verifiable brand owner or seller name and the presence of an internal-looking code, this is Unbranded.",0.018,0.0954,likely_wrong;likely_wrong_s2
Active X Mustard Oil 500mL,Branded,Active X,0.0,D,2,review,"The title contains 'Active X' as a multi-word coined identifier preceding the product descriptor 'Mustard Oil 500mL'. 'Active X' is not a vernacular or generic word for mustard oil in any Indian language; it functions as a brand/product-line name on the product. While I do not have deep recalled knowledge of the specific manufacturer behind 'Active X' mustard oil, the token 'Active X' occupies the brand-name slot (head modifier before the commodity noun), is not a commodity descriptor, and is not a known vernacular food word. Morphology-based inference supports this reading, but the structural slot analysis is the primary basis: 'Active X' modifies 'Mustard Oil' as a brand identifier, not as a quality or variety descriptor. Unrecognized token in terms of specific ownership, but classified as branded based on structural position and non-generic nature of the term.","Structure shows a leading coined name followed by the commodity and pack size: 'Active X' (name) + 'Mustard Oil' (generic product) + '500mL' (size). In Indian edible oils, recognized product/quality descriptors include Kachi Ghani (Hindi for cold-pressed), cold-pressed, refined, and double-filtered; and vernacular commodity terms include sarson/rai for mustard. 'Active X' matches none of these descriptors or vernacular product words and thus functions as an identifying brand/seller line rather than a commodity term. It is also not an internal code pattern (e.g., 'NB 0121', '3CP plate'). I do not recall a specific owner for 'Active X' (unrecognized token); classification relies on the brand-slot position and non-generic nature of the term—morphology-based inference, not recalled knowledge.",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Lotus Flour,Branded,Lotus,0.5,,2,review,"Lotus is a registered flour brand sold in India. The word 'Lotus' here functions as a brand identifier modifying the commodity word 'Flour', not as a description of the product's ingredients or type (lotus-derived flour is not a standard commodity category in Indian grocery trade). Lotus Biscoff is a separate Belgian brand; the Indian flour brand 'Lotus' is a distinct entity used by flour manufacturers/millers in India. The title structure is [Brand] + [Product], consistent with a branded product. Note: if 'Lotus' were being used purely as a vernacular or descriptive term, it would need to describe a flour variety, which it does not — lotus flour is not a standard commodity. Therefore this is classified as Branded.",,0.0601,,likely_wrong;stage2_error
San Marzano - Pomace Olive Oil,Branded,San Marzano,0.0,D,2,review,"San Marzano appears in the leading position before the dash, occupying the brand/seller slot in the title structure 'Brand - Product'. San Marzano is a recognized brand name used for Italian-style food products including olive oils. While 'San Marzano' is also the name of a famous Italian tomato variety (DOP-protected) and a town in Campania, Italy, in this context it is used as a brand identifier for a pomace olive oil product, not as a varietal descriptor (pomace olive oil has no San Marzano tomato connection). The dash-separated structure 'Brand - Product' is a standard catalog format in this B2B dataset where the pre-dash token identifies the maker or seller. Therefore this is classified as Branded with San Marzano as the brand name. Note: whether this is a large international brand or a smaller D2C/regional seller operating under this name cannot be confirmed with certainty, but the structural slot and usage are consistent with a brand identifier.","The title cleanly separates as 'San Marzano' — 'Pomace Olive Oil'. 'Pomace olive oil' is a generic commodity term for oil refined from olive pomace; it is unrelated to tomatoes. 'San Marzano' is a proper noun best known as the DOP-protected Italian plum tomato cultivar associated with the Agro Sarnese‑Nocerino area in Campania, and as the name of several Italian towns; it is not a type of olive or olive oil. Because the leading token is a proper noun with no generic meaning for olive oil, and appears in the pre‑dash name slot while the post‑dash part is the product description, it functions as the maker/seller identifier. Under the rules, a seller name counts as a brand. No specific corporate owner for a 'San Marzano' olive‑oil brand is recalled here; this is a structure‑ and context‑based branding inference (morphology-based inference, not recalled knowledge).",0.0012,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Paper Cup 350ml (10'' Oz) FLYP,Branded,FLYP,0.0,D,2,review,"The title follows the pattern 'product description – seller/brand name'. 'Paper Cup 350ml (10 Oz)' is the commodity description; 'FLYP' occupies the trailing brand/seller slot. FLYP is a recognized disposable packaging brand in the Indian market selling paper cups and similar food-service disposables. The word 'FLYP' has no known vernacular meaning in Hindi, Tamil, or other Indian languages, and is not a generic food or product term. It is not an internal code. Therefore it identifies a specific brand/seller, making this a branded product.","The commodity description is 'Paper Cup 350ml (10'' Oz)', which consists only of material and capacity units. The final token 'FLYP' appears after the complete commodity/spec block, occupying the trailing seller/brand slot commonly used in B2B catalog titles to denote the maker/seller. 'FLYP' is an unrecognized token (no recalled ownership info); classification relies on its structural position as a brand/seller indicator—morphology-based inference, not recalled knowledge. It is not a capacity/unit/material term and unlike the internal code examples (e.g., '3CP', '95 Die'), it is a standalone alphabetic token placed at the end rather than part of the spec. Therefore the title contains an identifier for a specific seller/brand, making it Branded.",0.6792,0.0,likely_wrong_s2;morphology_guard
#_# Cacao Crispy - Ether,Branded,Ether,0.5,,2,review,"The title follows the 'product - seller/brand' pattern common in this catalog. 'Cacao Crispy' is the product description (a chocolate-flavored crispy snack). 'Ether' occupies the trailing '- X' suffix slot, which per catalog conventions identifies the maker or seller. 'Ether' is not a vernacular food word in any Indian language; it is not a generic commodity term. While I cannot recall a verified corporate history for 'Ether' as a food brand, the structural slot it occupies (post-dash suffix) is the brand/seller identifier slot. Morphology-based inference, not recalled knowledge: 'Ether' reads as a coined brand name, but the primary evidence is structural (suffix slot), not morphological. Classified as Branded with 'Ether' as the brand name.",,0.0,,likely_wrong;stage2_error
