title,inferred_raw_unit,inferred_raw_qty,uom_std_unit,brand,computed_std_qty,confidence,confidence_source,alternatives,model_reasoning,api_error
Olive Oil,,,litre,unbranded,,,none,[],,"ValueError: bad self-report payload: '{""std_unit"": ""litre"", ""std_qty"": 0, ""confidence"": 0.2, ""reasoning"": ""No quantity information provided.""}'"
ONION LARGE,,,kg,unbranded,1.0,0.5,self_report,[],Typical large onion weighs around 1 kg but varies.,
Gig Great Indian Gin 750Ml,,,litre,branded,0.75,1.0,deterministic,[],explicit measurement parsed from row,
#_# Sugar Free Pancake Syrup [355Ml] - Noto,,,litre,branded,0.355,1.0,deterministic,[],explicit measurement parsed from row,
Paneer tikka Cubes (200 GM),,,kg,unbranded,0.2,1.0,deterministic,[],explicit measurement parsed from row,
Pizza Box 12*12 (TS),,,piece,branded,0.5,0.7,self_report,[],A typical frozen pizza weighs around 0.5 kg.,
Onion Big,,,kg,unbranded,1.0,0.5,self_report,[],No specific quantity provided; assumed typical bulk purchase.,
#_# Sugar Free Red Ruby Thai Ice Cream Tub (125 ml) - Bina,,,litre,branded,0.125,1.0,deterministic,[],explicit measurement parsed from row,
Broccoli,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assuming typical default of 1 kg.",
Carrot,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assuming a default of 1 kg.",
