title,label,brandname,conf_phase1,conf_phase2,verdict,status,flags,opus_label,web_findings
XO Sauce Sticker,Branded,XO,0.794,0.0,D,review,likely_wrong,Branded,"Here’s what the web reveals regarding the name **“XO”** as a brand, company, or seller in an Indian or broader context: • An **Indian trademark registration** exists for the word mark **“XO”**, filed on March 25, 2009 by **XOLUTION GmbH**, a company incorporated in Germany. It covers **Class 21** goods—specifically heat‑insulated containers and receptacles for drinks and foods, drinking vessels, and reclosable containers for food and drink intended for household or kitchen use—and is registered through the Mumbai trademark office in Maharashtra, India ([indiafilings.com](https://www.indiafilings.com/search/xo-tm-1799916?utm_source=openai)). • A separate **Indian trademark** for **“XO (LOGO)”** was filed by **Harish Makkar** on February 19, 2007 in **Class 30**, covering **confectionery including chocolates**. This mark is also registered, with the proprietor’s address in Paschim Vihar, N"
MRD Stickers,Branded,MRD,0.8338,0.0,D,review,likely_wrong,Branded,"I searched for “MRD” in the context of Indian companies, brands, or sellers, particularly related to B2B grocery or food‑service. Here’s what I found: - A trademark application for “MRD” in India was filed under Class 29 (edible oils such as groundnut oil, gingelly oil, coconut oil), with proprietor M/S Shri Mahaaganapathy and Co. based in Coimbatore, Tamil Nadu ([indiafilings.com](https://www.indiafilings.com/search/mrd-tm-5740417?utm_source=openai)). - No Indian company operating as “MRD” in food/dairy or grocery retail contexts could be directly identified. There is, however, “M.R. Dairy Products Pvt. Ltd.” operating in West Bengal and Eastern India, dealing in milk powders and dairy ingredients ([mrdairyproducts.com](https://www.mrdairyproducts.com/?utm_source=openai)). - A similarly named agency “MRD India” is a market‑research and business consulting firm based in Kolkata, West Ben"
NONBROMITE BREAD IMPROVER 1 KG 0157,Branded,Nonbromite,0.8262,0.0,D,review,likely_wrong,Branded,"I searched extensively for “Nonbromite” in the context of Indian brands, companies, or sellers but did not find any businesses, trademarks, product listings, or corporate entities using that name. No company appears to be registered or operating under the name ""Nonbromite"" in India."
GFB Mushroom Patty,Branded,GFB,0.8077,0.0,D,review,likely_wrong,Branded,"Here’s what the web reveals about the candidate name **“GFB”** in the context of Indian food brands or companies: - **Gourmet Food Bowl (GFB)**: An Indian food service label founded around 2017 under the Global Excellence Group and featuring chef Sanjeev Pasricha; offers biryanis and wellness‑oriented dishes ([gourmetfoodbowl.com](https://gourmetfoodbowl.com/about-us?utm_source=openai)). - **GFB Great Foods Pvt. Ltd.**: A privately incorporated Indian company (CIN U15490HR2009PTC118862) founded in 2009 and headquartered in Manesar, Haryana. It operates under the “GFB Great Foods” name, is active, and manufactures food products (including frozen juice bars under the Fruitchill brand) ([zaubacorp.com](https://www.zaubacorp.com/company/GFB-GREAT-FOODS-PRIVATE-LIMITED/U15490DL2009PTC196285?utm_source=openai)). I did not find any Indian company using the acronym “GFB” in connection to mushroo"
Golden Dust,Branded,Golden Dust,0.8424,0.0,D,review,likely_wrong,Branded,"Here’s what the web search reveals about “Golden Dust” as a brand, company, or seller: - **GOLD DUST SALES PRIVATE LIMITED** is an Indian company incorporated on December 16, 2006, with its registered address in Laxmi Nagar, New Delhi. It’s classified under wholesale activities, but its status is currently *struck off* as of records up to mid‑2024. Directors listed include Surendra Mohan and Navi Khan. ([zaubacorp.com](https://www.zaubacorp.com/GOLD-DUST-SALES-PRIVATE-LIMITED-U51909DL2006PTC144853?utm_source=openai)) - A **trademark for “BLACK EAGLE TEA, GOLDEN DUST”** was applied by Mohammad Abdul Nayeem on February 9, 2009, in Hyderabad under class 30 (tea), but as of June 29, 2026, its status is *refused*. ([companyvakil.com](https://www.companyvakil.com/trademarksearch/BLACK-EAGLE-TEA%2C-GOLDEN-DUST/183675?utm_source=openai)) - On the retail side, **Kannavarai** markets a product nam"
#_# SIERRA 72% Dark Chocolate Bar - Ether,Branded,Sierra,0.8336,0.0,D,review,likely_wrong,Branded,"I found no evidence of an Indian company or brand named simply “Sierra” associated with chocolate or food-service—no trademark registrations or listings under that name surfaced in my searches. The only relevant result was an Amazon.in seller named “SIERRA INNOVATIONS,” a general marketplace vendor (not specific to food or chocolate), ranked among the top 5,000 sellers since 2016 ([sellerratings.com](https://www.sellerratings.com/amazon/india/sierra-innovations?utm_source=openai)). Separately, I found a product listing on the Ether Atelier website for a “Sierra Tablet”—a chocolate bar described with 72% Venezuelan dark chocolate, passionfruit, and Tajín chili—but “Sierra” in this context appears to be the product line or name, not necessarily the brand or seller ([etherchocolate.com](https://etherchocolate.com/products/sierra-1?utm_source=openai)). Thus, while “Sierra” does appear as a p"
Classic Ice Burst 10 Nos,Branded,Classic Ice Burst,0.7715,0.0,D,review,likely_wrong,Branded,"I searched the web for the name **""Classic Ice Burst""**, with an emphasis on its presence in India in any corporate, trademark, or marketplace context: - I found a registered trademark in India for **""Classic Ice Burst""** (device mark) under Class 34 (tobacco‐related products), filed by **ITC Limited** (Virginia House, J L Nehru Road, Kolkata, West Bengal). The trademark was applied for on **19 March 2015**, has “Used Since” date **7 October 2014**, and remains valid until **19 March 2035**. ([quickcompany.in](https://www.quickcompany.in/trademarks/2925981-classic-ice-burst?utm_source=openai)). - In the context of cigarette brand variants, **""Classic Ice‑burst""** is listed as one of the variants under the **“Classic” cigarette range** marketed in India by **ITC Limited** (owned and manufactured by ITC) ([en.wikipedia.org](https://en.wikipedia.org/wiki/Classic_%28cigarette%29?utm_source=o"
Texmex cheese sauce,Branded,Texmex,0.8374,0.0,D,review,likely_wrong,Branded,"Here’s what I found regarding the candidate name “Texmex” in the context of India: - A company named **Texmex Cuisine India Private Limited** is registered in New Delhi, incorporated on December 28, 2012, operating in the restaurant/hospitality sector (NIC code 5510), with directors Ramit Bharti Mittal, Ajay Singhal, and Satya Pal, headquartered in Vasant Kunj, New Delhi. ([zaubacorp.com](https://www.zaubacorp.com/company/TEXMEX-CUISINE-INDIA-PRIVATE-LIMITED/U55101DL2012PTC356171?utm_source=openai)) - The site **Orenda Foods** refers to itself as one of India’s leading manufacturers of Tex-Mex products (e.g., nacho chips, salsa sauce, tortillas), though “Tex-Mex” here is descriptive of product style rather than a company or brand name. ([orendafoods.com](https://www.orendafoods.com/?utm_source=openai)) - A **TEX MEX** trademark (Class 25, for garments) was registered in Ahmedabad under p"
Boba Lychee can,Branded,Boba,0.7926,0.0,D,review,likely_wrong,Branded,"Here’s what the web reveals about the candidate name **""Boba""** in the context of Indian brands, companies, or sellers: - There is **no well‑known Indian company or trademark** operating simply under the name **“Boba”** that emerges in searches as a standalone entity, manufacturer, or registered seller. - However, similar names including **Boba Bar**, **Boba Bhai**, **Boba Time**, **Bobakat**, and others do appear, but these are distinct and separate brands—not “Boba” alone ([bobabar.in](https://bobabar.in/pages/about-boba-bar?utm_source=openai)). Accordingly, a search did not surface any company or seller in India using only the single-word name **“Boba.”** Unless more distinctive tokens or parts of the title are provided (for example, a trailing ""- Name"" or other unique identifiers), no firm match can be confirmed based solely on that term."
Flow Wrap Rolls - Raspberry Duet (60 ml),Branded,Duet,0.8239,0.0,D,review,likely_wrong,Unbranded,"I found several real entities using the name ""Duet""—though none appear directly related to the Indian grocery/food-service context: • In India, **Siyaram Silk Mills Limited**, headquartered in Mumbai, holds a registered word‑mark ""DUET"" for textiles (Class 24) since April 21, 1994 ([indiafilings.com](https://www.indiafilings.com/search/duet-tm-625830?utm_source=openai)). • Also in India, **Carew Phipson Public Limited**, based in Kolkata, owns a registered ""Duet"" trademark in Class 33 for gin, filed in 1992 and active through at least September 15, 2026 ([quickcompany.in](https://www.quickcompany.in/trademarks/581051-duet?utm_source=openai)). • Another Indian company, **Duet India Hotels Private Limited**, incorporated in December 2007 and registered in Delhi, operates in hotels and short‑stay accommodation (NIC code 5510) ([zaubacorp.com](https://www.zaubacorp.com/company/DUET-INDIA-HOT"
#_# BC - Aam Ice Cream [300ML] - BICO,Branded,BICO,0.8245,0.0,D,review,likely_wrong,Branded,"Here’s what the web search reveals about the name **“BICO”**: • **Barbadian ice-cream company**: “Bico Limited” (the Barbados Ice Cream Company Ltd.) is a long-established frozen desserts manufacturer in Barbados, producing various ice cream products like Double Delight, Tropical Flavors, Frozen Yogurt, etc. It began making ice cream in 1949 and remains publicly traded in Barbados ([en.wikipedia.org](https://en.wikipedia.org/wiki/Bico_Limited?utm_source=openai)). • **International trademark holder**: In the U.S., “BICO” is a registered trademark under serial number 86747680 for items such as kitchenware, dinnerware, cups, bowls, etc., owned by BICO International Co., Ltd. ([trademarks.justia.com](https://trademarks.justia.com/867/47/bico-86747680.html?utm_source=openai)). • **Indian trademark filings**: There are Indian trademark applications for “BICO,” but none are currently active or "
Wrapper Yellow (12x12) for FLYP,Branded,FLYP,0.8157,0.0001,D,review,likely_wrong,Branded,"Here’s what the web reveals about the name “FLYP” in the Indian B2B grocery / food-service context: 1. **FLYP CORPORATION PRIVATE LIMITED** is a tech company in Maharashtra offering a “Supply Chain Operating System” app for retailers, distributors, and product owners; it simplifies billing, inventory, analytics, and coordination. The app was updated June 28, 2026, and lists its address in Nanded, Maharashtra ([play.google.com](https://play.google.com/store/apps/details?id=com.flypnow.business&utm_source=openai)). 2. **Funbars Hospitality Private Limited** owns a registered trademark “Flyp” in India in Class 43 (services for providing food and drink, temporary accommodation). It was applied for on July 7, 2018, and is valid until July 7, 2028, with offices in New Delhi ([quickcompany.in](https://www.quickcompany.in/trademarks/3882135-flyp?utm_source=openai)). 3. A trademark “FLYP” under C"
TT RIBBAN J304 (110MM X 300MTR),Branded,TT,0.7902,0.0001,D,review,likely_wrong,Unbranded,"Here’s what the web reveals about the name “TT” as a brand or company in India: 1. **TT Limited (T.T. brand in textiles)** – A well-known vertically integrated India-based textiles and consumer-goods company founded in 1978 (originally Tirupati Texnit Limited). It uses the “T.T.” brand across garments, yarn, fabric, also food products, and sells via its own “TT Bazaar” online/offline stores. The trademark and distinctive “TT” device are widely registered and legally enforced by the company across India and overseas. Headquarters are in New Delhi, with manufacturing across multiple states. ([tttextiles.com](https://tttextiles.com/?utm_source=openai)) 2. **TT (spices & grocery)** – “TT” is also a branded line of masalas, spices, and grocery staples available prominently on platforms like BigBasket, particularly known for products like compounded asafoetida. ([bigbasket.com](https://www.big"
Sargvo-Drumsticks,Branded,Sargvo,0.752,0.0002,D,review,likely_wrong,Branded,"I found several entities in India with names similar to “Sargvo”: • A trademark for “S A R V O” was applied by Vinod Kumar (proprietor) on August 18, 2000, in India (Class 12: automobile parts), currently marked as “Opposed,” with address in Ram Bazar Mori Gate, Delhi 110006 ([companyvakil.com](https://www.companyvakil.com/trademarksearch/S-A-R-V-O/1113827?utm_source=openai)). • Another “SARVO” mark (Class 35: trading/wholesaling detergent and cleaning products) is registered to Jugal Kishore Neema, with application filed May 4, 2015 (Journal date July 2, 2018) ([indiafilings.com](https://www.indiafilings.com/search/sarvo-tm-2956149?utm_source=openai)). • A third “SARVO” trademark application was filed by Saravanan on July 17, 2025 for clothing (men’s T‑shirts) in India ([trademarking.in](https://trademarking.in/details/Sarvo-7123206.html?utm_source=openai)). These are distinct companies"
Chicken Tikka filling-Snacc,Branded,Snacc,0.7708,0.0005,D,review,likely_wrong,Branded,"Here’s what the web search reveals about the name **“Snacc”** as a brand or seller in India: - **Snacc (clean‑label snack brand)**: A privately held food & beverage retail brand based in India, focusing on “clean‑label” snacks (e.g., makhana variants like BBQ, Peri‑Peri, Himalayan Salt & Pepper), with no additives or preservatives, marketed via its website and available on platforms like Blinkit, Swiggy Instamart, Flipkart, and Amazon. Website: eatsnacc.com. ([linkedin.com](https://www.linkedin.com/company/eat.snacc?utm_source=openai)) - **Snacc Mart**: A separate Bengaluru‑based women‑led snack platform, sourcing namkeens and snacks from small/home‑based makers across South India; FSSAI‑certified, supplying retail and bulk customers, listed on Zomato, Swiggy, Magicpin. ([snaccmart.in](https://snaccmart.in/about-us/?utm_source=openai)) - **“Snacc By Swiggy”**: The name of a quick‑deliver"
TL Hitachi UX Makeup 800ml,Branded,Hitachi,0.7555,0.0006,D,review,likely_wrong,Branded,"Here’s what I found regarding the name ""Hitachi"" in the context of India: There is a major global conglomerate, Hitachi, Ltd., with extensive operations in India—spanning infrastructure, digital systems, energy, rail, analytics, and more—including Hitachi India Pvt. Ltd. headquartered in New Delhi, and a host of group companies such as Hitachi High‑Tech India, Hitachi Vantara India, Hitachi Lift India, among others ([hitachi.com](https://www.hitachi.com/en-in/about/?utm_source=openai)). Multiple trademarks for “HITACHI” are registered in India: one in Class 8 (hand tools and cutlery) by Kabushiki Kaisha Hitachi Seisakusho, registered in 1986 in Kolkata ([indiafilings.com](https://www.indiafilings.com/search/hitachi-tm-455215?utm_source=openai)), and another in Class 21 (household/kitchen utensils) by Hitachi Limited in 1994 in Chennai ([indiafilings.com](https://www.indiafilings.com/sear"
Non Veg Spring Rolls -SNACC,Branded,SNACC,0.8402,0.0024,D,review,likely_wrong,Branded,"Here’s what the web reveals for the name **“SNACC”** in an Indian food-service or grocery context: • There is an Indian **D2C snack brand** called **Snacc**, marketing itself as a “clean-label” snacking company offering makhana (fox nuts), nuts, seeds, trail mixes, and more, all with no additives or preservatives. It emphasizes transparency and honesty in ingredients. The founder is Shrey Arora; the brand is privately held with 2–10 employees, and it sells via its own site and major marketplaces such as Amazon and Swiggy. ([eatsnacc.com](https://eatsnacc.com/?utm_source=openai)) • On its website, **Snacc** positions itself as “India’s clean-label snacking brand,” with product lines including BBQ makhana, Himalayan Salt & Pepper Makhana, roasted almonds, cashews, trail mixes, and bundles. ([eatsnacc.com](https://eatsnacc.com/collections/frontpage?utm_source=openai)) No trademark or city/r"
Outer Bag SOS 70 GSM - Snacc,Branded,Snacc,0.7654,0.0076,D,review,likely_wrong,Branded,"I located two distinct real entities in India using the name “Snacc” (or variant usage): 1. **Snacc (clean-label snack brand)** - Owning company: Privately held, founded by Shrey Arora and backed by four generations of experience in the food industry. ([eatsnacc.com](https://eatsnacc.com/pages/about-us?utm_source=openai)) - Product lines: Packaged clean-label snacks (makhana, roasted nuts, trail mixes, etc.), marketed as vegan, additive-free. ([eatsnacc.com](https://eatsnacc.com/?utm_source=openai)) - Market listings: Available on its own website and marketplaces such as Amazon, Flipkart, JioMart, Swiggy Instamart, Blinkit, and Swiggy. ([eatsnacc.com](https://eatsnacc.com/?utm_source=openai)) 2. **Snacc, Swiggy’s instant food‑delivery app** - Owning company: Operated by Swiggy Limited, incorporated in Bengaluru, India. ([swiggy.com](https://www.swiggy.com/snacc/terms-and-conditions?utm_s"
Mixed Veg Pickle (5 kg)-Snacc,Branded,Snacc,0.8457,0.0136,D,review,likely_wrong,Branded,"Here’s what I found regarding the name **“Snacc”** in the Indian food context: - I located **Snacc**, a clean‑label snacking brand in India (not related to Swiggy’s now‑discontinued delivery app). The company operates as a privately held, small food & beverage retail startup offering products such as flavored makhana (foxnuts) under the brands **BBQ Makhana**, **Peri Peri Makhana**, **Himalayan Salt & Pepper Makhana**, and **Pudina Makhana**. It emphasizes zero additives and transparency ([eatsnacc.com](https://eatsnacc.com/?utm_source=openai)). The brand is backed by four generations of industry experience, is headquartered in India (exact city not specified), and is led by founder Shrey Arora ([eatsnacc.com](https://eatsnacc.com/pages/about-us?utm_source=openai)). - There was also a separate entity named **SNACC**, which was a 15‑minute food‑delivery app launched by Swiggy as an experi"
Butter Croissant-Snacc,Branded,Snacc,0.7477,0.0183,D,review,likely_wrong,Branded,"Here’s what the web reveals about the name “Snacc” in the Indian food-service/B2B context: • **SNACC (clean-label FMCG brand)** – “Snacc” (also stylized SNACC) is a privately held clean-label snacking brand in India that produces nuts, makhana (foxnuts), trail mixes, and similar healthy snack products, with a promise of no additives or preservatives. The company is led by founder Shrey Arora and operates through its website (eatsnacc.com); it also appears on LinkedIn. ([eatsnacc.com](https://eatsnacc.com/pages/about-us?utm_source=openai)) • **Snacc Mart** – A Bengaluru‑based, woman‑led snack platform sourcing traditional namkeens from women‑run producers in Kerala, Mangalore, Channapatna and beyond; FSSAI‑certified; supplies hotels and listed on Zomato, Swiggy, Magicpin. ([snaccmart.in](https://snaccmart.in/about-us/?utm_source=openai)) • **SNACC (Swiggy delivery vertical)** – “Snacc” wa"
Long Note Book 200 Pgs Chandras SB,Branded,Chandra's,0.8272,0.0223,D,review,likely_wrong,Branded,"Here’s what the web reveals about the name “Chandra’s” as a brand, company, or seller in India: • A listing on the platform NxtBy shows a “Chandra’s” brand offering notebooks—including “Chandra’s Note Book, 200 Pages”—suggesting a stationery-related offering under that name ([nxtby.com](https://nxtby.com/brand/chandra-s?utm_source=openai)). • There is an official business entity named **Chandra’s Departmental Store LLP**, headquartered in Gautam Buddha Nagar, Uttar Pradesh, incorporated on 7 October 2019, operating in the home appliances sector as per filings ([allindiaitr.com](https://www.allindiaitr.com/company/chandras-departmental-store-llp/AAQ-7415?utm_source=openai)). No other distinct companies or brands named simply “Chandra’s” appear tied to stationery catalogs or notebooks. Let me know if you’d like me to explore the trailing tokens or other variations (e.g., “Long Note Book”) "
