title,brand,old_pred,old_conf,new_pred,reasoning_conf,conf_delta,escaped_grey,verifier_token,justification,error
Plastic Storage Container 500ml,unbranded,unbranded,0.9989,unbranded,1.0,0.0011,True,Yes,"The title contains no words that identify a real maker or company. 'Plastic' is a material descriptor, 'Storage Container' describes the product type and function, and '500ml' is a capacity measurement. All elements are purely descriptive, so there is no brand present.",
Ketchup,,unbranded,0.9992,unbranded,1.0,0.0008,True,Yes,"The only word in the title is 'Ketchup,' which is a generic descriptive term referring to a type of condiment sauce. It does not name any manufacturer or company responsible for making the product. With no maker identified anywhere in the title, this product is unbranded.",
GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,OUTLET,branded,0.9927,unbranded,1.0,0.0073,True,Yes,"The title contains 'GK-NY' and 'GK' as potentially brand-like abbreviations, but these appear to be internal codes or SKU identifiers rather than recognized manufacturer or company names. 'Pan Cake' describes the product type, 'Sp Pkg' likely refers to a special package format, and '100PC' and '137497' are quantity and item code descriptors. Since no part of the title clearly identifies a real, recognizable maker or company, the product is classified as unbranded.",
Korean LTO Menu,Unbranded,unbranded,0.9823,unbranded,1.0,0.0177,True,Yes,"The word 'Korean' refers to a cuisine style or geographic origin, not a company or maker. 'LTO' is a common food-industry abbreviation for 'Limited Time Offer,' describing the menu's availability rather than identifying a brand. 'Menu' simply describes what the item is — a collection of food offerings. No part of the title names a real manufacturer or company.",
Malaysian Noodles ( Flat Noodles ) 1kg,OUTLET,unbranded,0.9998,unbranded,1.0,0.0002,True,Yes,"The title contains no word that identifies a real maker or company. 'Malaysian' is a geographic/style descriptor indicating the origin or style of the noodles, not a brand name. 'Flat Noodles' describes the shape and type of the product, and '1kg' is simply a weight measurement. Together these words only describe what the product is, not who makes it.",
Note Pad 3x3,unbranded,unbranded,0.9995,unbranded,1.0,0.0005,True,Yes,"The title contains only the words 'Note Pad' and '3x3.' 'Note Pad' is a descriptive product type term referring to a small pad of paper used for writing notes, not a maker or company name. '3x3' is a size measurement indicating the dimensions of the pad in inches, which is purely descriptive. No part of the title identifies a real manufacturer or company.",
Sumabrite Degreaser nd Heavy duty cleaner (break up HD),Unbranded,branded,0.9988,branded,1.0,0.0012,True,Yes,"The word 'Sumabrite' is the key term to evaluate here — it does not describe any product type, ingredient, material, or function, and instead reads as a coined, proprietary name that identifies a specific maker or product line. 'Degreaser' and 'Heavy duty cleaner' are purely descriptive terms explaining what the product does. The parenthetical 'break up HD' appears to be a product variant or internal code descriptor, not a company name. Because 'Sumabrite' functions as a real brand or manufacturer identifier rather than a descriptive term, the product is classified as branded.",
Red Malka (Lal Masoor) Rajdhani,unbranded,branded,1.0,branded,0.9998,-0.0002,True,Yes,"The word 'Rajdhani' in the title is the key signal here — it is a well-known Indian food brand (Rajdhani Foods) that manufactures and sells pulses, flours, and other staple grocery items, making it a real maker/company name. 'Red Malka (Lal Masoor)' is entirely descriptive, referring to the product type — a variety of red lentil known as masoor dal in Hindi/Urdu. Since the title includes a recognized manufacturer name alongside a descriptive product name, this product is classified as branded.",
Silver Pouch 6*8,unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title 'Silver Pouch 6*8' contains no identifiable maker or company name. 'Silver' describes the color or material of the pouch, 'Pouch' describes the product type, and '6*8' is a size/dimension measurement. None of these words identify a real manufacturer or brand — they are purely descriptive terms.",
AASHIRVAAD - ATTA 10 KG BAG,AASHIRVAAD,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'AASHIRVAAD' is the specific term in this title that signals a brand. AASHIRVAAD is a well-recognized product line by ITC Limited, making it a real manufacturer/company name that identifies who makes this item. The remaining words — 'ATTA' (a type of whole wheat flour), '10 KG' (a weight measurement), and 'BAG' (a packaging descriptor) — are all purely descriptive terms referring to the product type, size, and container.",
Triplesec,unbranded,branded,0.7663,unbranded,0.9999,0.2336,True,Yes,"The only word in the title is 'Triplesec,' which refers to triple sec, a well-known type of orange-flavored liqueur. This is a descriptive product-type term identifying what the item is (a category of liqueur), not the name of a manufacturer or company. No maker or brand name appears anywhere in the title, so the product is unbranded.",
Shudh Garhwal - Khoya Pindi 1KG,Unbranded,branded,0.9993,unbranded,1.0,0.0007,True,Yes,"The phrase 'Shudh Garhwal' could potentially signal a brand, but 'Shudh' means 'pure' in Hindi (a descriptive quality term) and 'Garhwal' refers to a geographical region in India, making the combined phrase a descriptive origin/quality indicator rather than a clear manufacturer name. 'Khoya' is the product type (a milk-solid ingredient used in South Asian cooking), 'Pindi' refers to a specific style or form of khoya, and '1KG' is simply a weight measurement. No part of the title unambiguously identifies a real maker or company, so the product is classified as unbranded.",
#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,unbranded,branded,0.9817,unbranded,1.0,0.0183,True,Yes,"The phrase 'Chocolate Fudge Overload' is purely descriptive, naming the flavor and style of the product rather than identifying a maker. 'NAS' appears to be an internal code or abbreviation (possibly 'No Added Sugar'), not a recognizable company name. '500 ml' is a size measurement, and 'Frozen Fun' reads as a descriptive tagline describing the product category (frozen treat) rather than a named manufacturer or brand. No part of the title clearly identifies a real maker or company.",
Prepit Hyderabad Biriyan 1 kg,Unbranded,branded,0.9996,unbranded,0.9284,-0.0712,True,Yes,"The word 'Prepit' could potentially signal a brand, but it reads more like a descriptive shorthand for 'pre-prepared' or 'prep it,' suggesting a ready-to-cook style rather than a recognizable manufacturer name. 'Hyderabad Biryani' is a well-known regional dish name, making it a descriptive geographic and culinary term. '1 kg' is a weight measurement. No part of the title clearly identifies a real maker or company, so the product is classified as unbranded.",
PLASTIC CONTAINER-150ML,Unbranded,unbranded,0.9984,unbranded,1.0,0.0016,True,Yes,"The title contains two potentially notable elements: 'PLASTIC CONTAINER' and '150ML'. 'PLASTIC CONTAINER' is purely a descriptive term identifying the material (plastic) and product type (container), not a maker or company name. '150ML' is a measurement indicating the volume capacity of the container, which is a descriptive specification, not a brand. Since no part of the title identifies a real manufacturer or company, the product is unbranded.",
COLOUR CODE DOTT TUES,Unbranded,branded,0.0331,unbranded,1.0,0.9669,True,Yes,"The words 'COLOUR CODE' describe a descriptive concept related to color identification or a color-coding system, not a recognizable manufacturer or company name. 'DOTT' could potentially be a brand abbreviation, but nothing in the title confirms it as a real maker — it more likely functions as a product style or internal code descriptor. 'TUES' appears to be an abbreviated descriptor (possibly 'Tuesday' or a style/variant code) rather than a company name. Since no word in the title clearly identifies a real manufacturer or company, the product is classified as unbranded.",
Red Chili Paste 1kg pkt,unbranded,unbranded,0.9962,unbranded,1.0,0.0038,True,Yes,"The title consists entirely of descriptive terms: 'Red Chili Paste' describes the product type and ingredient, '1kg' is a weight measurement, and 'pkt' is an abbreviation for packet, indicating the packaging format. None of these words identify a real manufacturer or company. There is no maker's name present anywhere in the title.",
Sweetpotato (Kanga),unbranded,unbranded,0.9996,unbranded,1.0,0.0004,True,Yes,"The word 'Sweetpotato' is purely descriptive, identifying the type of vegetable. 'Kanga' appears in parentheses, which typically indicates a variety or cultivar name rather than a manufacturer or company — it describes what kind of sweetpotato it is. Neither term identifies a real maker or company that produces or sells the item, so the title only tells us what the product is, not who makes it.",
STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,WVF,branded,0.9937,unbranded,1.0,0.0063,True,Yes,"The title contains several potentially brand-like terms: 'WVF' and 'FSSAI' are abbreviations, but 'FSSAI' is a well-known Indian food regulatory authority (not a maker), and 'WVF' is not recognizable as a company or manufacturer name. 'THINK ORIGINS' could suggest a brand, but it reads more like a descriptive or motivational phrase accompanying a product type, and there is no clear evidence in the title that it names a real manufacturer. 'HAZELNUT COLD FILTER COFFEE' is entirely descriptive, identifying the flavor, preparation method, and product type. 'VARAVRAGE' and 'STICKERS' do not identify a real maker, and without any confirmed manufacturer name in the title, the product is best classified as unbranded.",
AANCH COVER,Unbranded,branded,0.1689,unbranded,0.9897,0.8208,True,Yes,"The title contains two words: 'AANCH' and 'COVER'. 'COVER' is purely a descriptive term indicating the product type or function. 'AANCH' could potentially signal a brand, but it is not a recognizable manufacturer or company name; it appears to be either a descriptive term, a transliteration (e.g., from another language meaning 'flame' or 'heat'), or an internal code rather than an identifiable maker. Since no part of the title clearly identifies a real manufacturer or company, the product is classified as unbranded.",
Dalchini,Unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The only word in the title is 'Dalchini,' which is the Hindi/Urdu word for cinnamon, a common spice. This is a descriptive term identifying the ingredient/product type rather than a manufacturer or company name. There is no word in the title that identifies a real maker or brand. Without any additional context pointing to a company, this title describes only what the item is.",
Stone Flower(Dagad Phool),unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title contains two terms: 'Stone Flower' and its regional name 'Dagad Phool' in parentheses. 'Stone Flower' is a descriptive common name for a type of lichen/spice, describing the item's appearance and nature rather than identifying a manufacturer. 'Dagad Phool' is simply the Marathi/Hindi name for the same ingredient, making it a linguistic/descriptive term. Neither term identifies a real maker or company, so the product is unbranded.",
Sambal Oelek,Unbranded,branded,0.1711,unbranded,1.0,0.8289,True,Yes,"'Sambal Oelek' is the name of a type of chili paste condiment originating from Southeast Asia, making it a descriptive product-type term rather than a maker's name. 'Sambal' refers to the category of chili-based sauces, and 'Oelek' (or 'ulek') describes the grinding method used to prepare it. Neither word identifies a manufacturer or company. Without any additional brand name in the title, this product is unbranded.",
Tandoori paneer tikka,Unbranded,unbranded,0.9984,unbranded,1.0,0.0016,True,Yes,"The title consists entirely of descriptive culinary terms. 'Tandoori' refers to a style of cooking in a tandoor oven, 'paneer' is a type of Indian fresh cheese (an ingredient), and 'tikka' describes a preparation style of marinated, skewered pieces. None of these words identify a manufacturer or company — they collectively describe what the product is, not who makes it.",
Cocoa powder (Medium Brown) Vanhouten,Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'Vanhouten' in the title is the key identifier here, referring to Van Houten, a well-known and real Dutch cocoa and chocolate manufacturer with a long history in the food industry. 'Cocoa powder' is purely a descriptive product type term, and 'Medium Brown' describes the color or grade of the cocoa — both are descriptive rather than brand identifiers. Since 'Vanhouten' clearly names the actual maker of the product, the item is classified as branded.",
Brown Sugar Paste Fondant,unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"Every word in the title is purely descriptive. 'Brown Sugar' identifies the ingredient or flavor, 'Paste' describes the physical consistency or form, and 'Fondant' names the product type. None of these words identify a manufacturer or company; together they simply tell the buyer what the item is made of and what kind of product it is.",
Butter Pouch 9X12,unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The title contains three elements: 'Butter,' 'Pouch,' and '9X12.' 'Butter' is an ingredient or flavor descriptor, not a maker's name. 'Pouch' describes the product's physical form or packaging type. '9X12' is a size measurement indicating dimensions, not a company or manufacturer name. None of these words identify a real maker or company, so the product is unbranded.",
"Carrots/Gajar, incremental 0.5 10335",OUTLET,unbranded,0.9998,unbranded,1.0,0.0002,True,Yes,"The title contains only descriptive and administrative terms. 'Carrots/Gajar' is the product type — 'carrots' is the common English name and 'gajar' is its Hindi equivalent, both purely descriptive. 'Incremental 0.5' appears to refer to a weight or pricing increment, which is a measurement term. '10335' is a numeric code that functions as an internal SKU or identifier, not a recognizable manufacturer or company name.",
Good Night Machine,Unbranded,branded,0.9756,unbranded,1.0,0.0244,True,Yes,"The phrase 'Good Night Machine' could potentially signal a brand or product line name, but each word in this title is purely descriptive or evocative. 'Good Night' is a common phrase suggesting a sleep-related function, and 'Machine' describes the type or category of device. No part of the title identifies a real manufacturer or company name — the full phrase reads as a descriptive product name rather than a maker's identity.",
Biryani Handi 750 GM,Unbranded,unbranded,0.9598,unbranded,1.0,0.0402,True,Yes,"The title contains three potential signal words: 'Biryani,' 'Handi,' and '750 GM.' 'Biryani' is a well-known South Asian rice dish, making it a descriptive flavor/type term rather than a maker's name. 'Handi' refers to a traditional cooking pot or style of preparation, so it is a descriptive style/form term. '750 GM' is a weight measurement indicating the product's quantity, not a company or manufacturer name. No part of this title identifies a real maker or company.",
Green Tomato 1kg,Unbranded,unbranded,0.9998,unbranded,1.0,0.0002,True,Yes,"The title contains three elements: 'Green Tomato,' '1kg,' and nothing else. 'Green Tomato' is a purely descriptive term referring to the color and type of the vegetable, not a company or manufacturer name. '1kg' is a weight measurement indicating quantity. No part of the title identifies a real maker or company.",
#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,unbranded,branded,0.9649,branded,0.9999,0.035,True,Yes,"The word 'Prasuma' in the title is a real company/brand name — it identifies the maker of this product, a known food and packaging brand. 'PMK' could be an internal product code or series identifier, which is a descriptive/catalog term rather than a company name. 'Round Paper 500 ML Plastic' are purely descriptive terms indicating the shape, material, and capacity of the container lid. Since 'Prasuma' clearly identifies a real maker, the product is classified as branded.",
Envelope,unbranded,unbranded,0.9991,unbranded,1.0,0.0009,True,Yes,"The only word in the title is 'Envelope,' which is a purely descriptive term referring to the type of item — a paper or material container used for mailing or storing documents. It names no manufacturer, company, or maker of any kind. There are no other words, abbreviations, or identifiers in the title that could signal a brand.",
MF White Compound CO W33,Unbranded,branded,0.7372,unbranded,1.0,0.2628,True,Yes,"The title contains several abbreviated terms that could signal a brand, but none clearly identify a real maker. 'MF' is an unrecognized abbreviation that could stand for many things but does not correspond to a known manufacturer name based solely on this title. 'White Compound' is a descriptive term referring to the color and type of the product (a compounding or polishing material). 'CO W33' appears to be an internal product code or specification identifier, not a company or brand name.",
Kobij-Cabbage,unbranded,unbranded,0.2975,unbranded,0.9967,0.6992,True,Yes,"The title 'Kobij-Cabbage' appears to be a descriptive term referring to a cabbage product, with 'Kobij' likely being a transliteration or alternate-language word for cabbage (e.g., from Dutch or Afrikaans 'koolbij' or similar). Neither 'Kobij' nor 'Cabbage' identifies a real manufacturer or company; both describe the vegetable type itself. There is no recognizable brand or maker name present in the title, so the product is classified as unbranded.",
Garbage Bag Black 30 x50,unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title contains no word that identifies a real maker or company. 'Garbage Bag' is a descriptive product type term, 'Black' describes the color, and '30 x 50' describes the dimensions or size of the bag. None of these words name a manufacturer or brand — they collectively describe only what the item is and its physical characteristics.",
#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,unbranded,branded,0.9996,branded,1.0,0.0004,True,Yes,"The word 'Noto' at the end of the title is the most likely candidate for a brand name, appearing to identify the maker or seller of this ice cream product. 'FC' could be an internal product code or abbreviation, but it does not clearly identify a real manufacturer. 'Orange Popsicle Ice Cream' is entirely descriptive, referring to the flavor (orange), product type (popsicle/ice cream), and '70 Ml' is a size measurement — none of these identify a maker. Since 'Noto' reads as a proper company or brand name rather than a descriptive term, the product is classified as branded.",
Malas strawberry crush 750ml,Unbranded,branded,0.9999,branded,1.0,0.0001,True,Yes,"The word 'Malas' appears at the start of the title and functions as a maker or brand name for this beverage product. It is not a descriptive term for a product type, ingredient, flavor, or size — those are covered by 'strawberry crush' and '750ml' respectively. 'Strawberry crush' describes the flavor and style of the drink, and '750ml' indicates the volume, both of which are purely descriptive. 'Malas' is the only word that identifies who makes or sells the product, making this a branded item.",
Kit Kat,unbranded,branded,0.9998,branded,1.0,0.0002,True,Yes,"The words 'Kit Kat' are the key signal in this title. 'Kit Kat' is a real and widely recognized brand name — it identifies a specific chocolate wafer confectionery product made by Nestlé (or Hershey in the US), making it a genuine manufacturer-associated brand. The name itself is not descriptive of any ingredient, material, or product type; it is a proprietary name assigned by a maker. Therefore, this product is clearly branded.",
Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),Coolberg,branded,0.9998,branded,1.0,0.0002,True,Yes,"The word 'Coolberg' is the specific term in this title that signals a brand. 'Coolberg' is a recognized manufacturer/company name that identifies who makes this non-alcoholic beer, rather than describing what the product is. The remaining words — 'Beer Non Alcoholic,' '330 ml,' and 'Ginger Flavour' — are all purely descriptive terms indicating the product type, size, and flavor respectively. Because 'Coolberg' names a real maker, the product is classified as branded.",
Perrier Water 330mL,unbranded,branded,0.9999,branded,1.0,0.0001,True,Yes,"The word 'Perrier' is the key term in this title that signals a brand. 'Perrier' is a real and widely recognized manufacturer/company name — it is the brand that produces and sells this sparkling mineral water. The remaining words in the title, 'Water,' '330mL,' are purely descriptive, indicating the product type and size respectively, but 'Perrier' alone is sufficient to classify this product as branded.",
DIGESTIVE BISCUITS,unbranded,unbranded,0.9974,unbranded,1.0,0.0026,True,Yes,"'DIGESTIVE' and 'BISCUITS' are the only words in the title. 'BISCUITS' is a product type descriptor. 'DIGESTIVE' describes a style or variety of biscuit (a well-known type of semi-sweet wheat biscuit), not a manufacturer or company name. Together, they form a purely descriptive product name with no maker identified.",
SS Mould Round Cutter - 12pcs,Unbranded,branded,0.0009,unbranded,1.0,0.9991,True,Yes,"The title contains the terms 'SS,' 'Mould,' 'Round Cutter,' and '12pcs.' 'SS' is a common material abbreviation for stainless steel, making it a descriptive material term rather than a maker's name. 'Mould Round Cutter' describes the product's type and shape, while '12pcs' indicates the quantity in the set. No part of the title identifies a real manufacturer or company, so the product is unbranded.",
TASKI R3,Unbranded,branded,0.9996,branded,1.0,0.0004,True,Yes,"The word 'TASKI' is a real manufacturer name — it is a well-known professional cleaning products brand (part of Diversey). 'R3' appears to be a product line or model code within that brand's range, not a descriptive term. Together, 'TASKI' clearly identifies the maker of the product, making this a branded item.",
Dollur Amla Jar,unbranded,branded,0.9689,unbranded,0.9922,0.0233,True,Yes,"The word 'Dollur' could potentially signal a brand, but it does not correspond to any recognizable manufacturer or company name. 'Amla' is a descriptive ingredient term referring to the Indian gooseberry, and 'Jar' describes the container type. Without any recognized maker's name in the title, this product is classified as unbranded.",
#_# Asafoetida / Hing - murukku,unbranded,unbranded,0.9756,unbranded,1.0,0.0244,True,Yes,"The title contains three key terms: 'Asafoetida' and 'Hing,' which are both names for the same spice/ingredient (hing is simply the Hindi/common name for asafoetida), making them descriptive ingredient terms rather than maker names. 'Murukku' is a type of South Asian snack, describing the product form or type. None of these words identify a manufacturer or company; the title only describes what the item is — a murukku product made with or flavored by asafoetida/hing.",
3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),unbranded,branded,0.9996,unbranded,0.5699,-0.4297,False,Yes,"The word 'EASTMADE' could potentially signal a brand, but it reads more like a descriptive term indicating origin or production style ('made in the east') rather than a clearly identifiable manufacturer or company name. 'BLACK PAPER WHOLE (KALI MIRCH)' is entirely descriptive, referring to the spice whole black pepper and its Hindi name. The '3' at the start appears to be a quantity or size indicator, not a brand. Since no word in the title clearly and unambiguously identifies a real maker or company, the product is classified as unbranded.",
Malai Paneer Soft Loose,Shreeji Dairy,unbranded,0.9466,unbranded,1.0,0.0534,True,Yes,"The title 'Malai Paneer Soft Loose' contains no word that identifies a real maker or company. 'Malai' is a descriptive term referring to cream, indicating the style or richness of the product. 'Paneer' is the product type — a fresh South Asian cheese. 'Soft' and 'Loose' are descriptive terms indicating texture and packaging format, respectively. Together, all words describe what the item is, not who makes it.",
Momo Steamer,Unbranded,unbranded,0.9972,unbranded,1.0,0.0028,True,Yes,"The two words in the title are 'Momo' and 'Steamer.' 'Steamer' is a purely descriptive term identifying the product type — a device used for steaming. 'Momo' refers to a type of dumpling common in Himalayan and South Asian cuisine, making it a descriptive term indicating what the steamer is designed to cook. Neither word identifies a real manufacturer or company, so the title describes only what the item is and how it is used.",
Dust Pan  Supli,unbranded,unbranded,0.9864,branded,0.9995,0.0131,True,Yes,"The title contains two distinct words: 'Dust Pan' and 'Supli.' 'Dust Pan' is purely descriptive, naming the product type — a cleaning tool used to collect swept debris. 'Supli' does not describe any attribute of the product (type, material, size, or function) and appears to be a maker or seller name, identifying who produces or markets the item, making this a branded product.",
Dosa Masala Retort,ME,unbranded,0.9853,unbranded,1.0,0.0147,True,Yes,"The title contains three words: 'Dosa' (a type of South Indian flatbread/crepe), 'Masala' (a spice mixture or spiced filling, commonly associated with dosa), and 'Retort' (a packaging/preservation method referring to retort-pouch processing). Each of these words is purely descriptive — they identify the dish type, its flavoring, and the packaging technology used. None of the words names a real manufacturer or company, so the product is unbranded.",
