title,brand,pred_brand,confidence,p_branded,raw_conf,logprob,verifier_token,stage1_reasoning,error
3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),unbranded,branded,0.9996,,0.9996,-0.000411,Yes,"The product is sold under the brand name '3 EASTMADE', indicating it is a branded packaged spice product.",
Malai Paneer Soft Loose,Shreeji Dairy,unbranded,0.9466,,0.9466,-0.054883,Yes,"The product is described as 'loose' paneer, indicating it is a generic/commodity dairy item sold without a specific brand name.",
Momo Steamer,Unbranded,unbranded,0.9972,,0.9972,-0.002849,Yes,Momo Steamer is a generic kitchen utensil/cookware item with no specific brand name mentioned.,
Dust Pan  Supli,unbranded,unbranded,0.9864,,0.9864,-0.013731,Yes,Dust Pan Supli appears to be a generic household cleaning tool with no identifiable brand name.,
Dosa Masala Retort,ME,unbranded,0.9853,,0.9853,-0.014839,Yes,The title 'Dosa Masala Retort' describes a generic prepared dosa filling product with no specific brand name mentioned.,
Potassium Sorbate,unbranded,unbranded,0.9999,,0.9999,-6.8e-05,Yes,Potassium Sorbate is a generic food preservative chemical with no specific brand name mentioned.,
PLASTIC CONTAINER 750ML,DIVYA,unbranded,0.9998,,0.9998,-0.000177,Yes,The product is a generic plastic container with no specific brand name mentioned.,
Amla Sabut Herble,Unbranded,unbranded,0.9866,,0.9866,-0.013519,Yes,Amla Sabut Herble appears to be a generic/commodity dried amla (gooseberry) product with no specific brand name associated with it.,
Ro 48,Unbranded,branded,0.026,,0.974,-0.026301,No,"RO 48 appears to be a branded product identifier, likely referring to a specific branded item with a product code.",
CUMIN WHOLE (JEERA),Unbranded,unbranded,0.9993,,0.9993,-0.000657,Yes,Cumin whole (Jeera) is a generic spice commodity with no specific brand name mentioned.,
Green peas,unbranded,unbranded,0.9994,,0.9994,-0.000553,Yes,Green peas is a generic commodity vegetable with no specific brand name associated with it.,
3CP PLATE,,unbranded,0.9998,,0.9998,-0.00022,Yes,3CP appears to be a generic descriptor (3 compartment plate) rather than a recognized brand name.,
Maida Flour Premium (per kg),unbranded,unbranded,0.9698,,0.9698,-0.030681,Yes,"Maida Flour is a generic commodity product with no specific brand name, sold by weight.",
VKL PERI PERI MARINADE,unbranded,branded,0.999,,0.999,-0.001049,Yes,VKL is a specific brand name that manufactures this Peri Peri Marinade product.,
Red Fondant,Unbranded,unbranded,0.9977,,0.9977,-0.002255,Yes,Red Fondant is a generic cake decorating ingredient with no specific brand name mentioned.,
Radish White,Unbranded,unbranded,0.9997,,0.9997,-0.000306,Yes,Radish White is a generic vegetable with no specific brand name associated with it.,
SUMA TAB CHLORINE,Unbranded,branded,0.9997,,0.9997,-0.000306,Yes,"SUMA is a specific brand name for professional cleaning and hygiene products, including chlorine-based tablets.",
PUMPKIN SEEDS (1Kg Pkt),unbranded,unbranded,0.9998,,0.9998,-0.000171,Yes,"Pumpkin Seeds is a generic commodity product with no specific brand name mentioned, only a packaging size.",
Zucchini Yellow (Premium)  incremental 0.5 10033,OUTLET,unbranded,0.9968,,0.9968,-0.003228,Yes,Zucchini Yellow is a generic fresh produce item with no specific brand name associated with it.,
GARBAGE COVER SMALL 17x19 - 51 MM,UNBRANDED,unbranded,0.9999,,0.9999,-9.9e-05,Yes,The product is a generic garbage cover described only by size specifications with no specific brand name mentioned.,
Dhania Pudina Chutney-SNACC,UNBRANDED,branded,0.998,,0.998,-0.002021,Yes,The product is sold under the brand name 'SNACC'.,
MDH Chana Masala,unbranded,branded,1.0,,1.0,-3e-06,Yes,"MDH is a well-known spice brand, making this a branded product.",
Brown Onion,unbranded,unbranded,1.0,,1.0,-1.5e-05,Yes,Brown Onion is a generic commodity vegetable with no specific brand name associated with it.,
Lettuce Patta,unbranded,unbranded,0.9991,,0.9991,-0.000884,Yes,Lettuce Patta is a generic leafy vegetable with no specific brand name associated with it.,
Butter Murkku,unbrand,unbranded,0.9996,,0.9996,-0.000444,Yes,Butter Murkku is a generic traditional South Indian snack with no specific brand name mentioned.,
Wooden Cutlery Kit,unbrand,unbranded,0.9942,,0.9942,-0.005837,Yes,The product title 'Wooden Cutlery Kit' is a generic description with no specific brand name mentioned.,
#_# Caramelo Banditos Sticker - Cookie Cartel,Unbranded,branded,0.7905,,0.7905,-0.235052,Yes,The product is sold under the brand name 'Cookie Cartel' with a specific branded product line called 'Caramelo Banditos'.,
Biryani small Box (Serve -1),Unbranded,unbranded,0.9995,,0.9995,-0.000536,Yes,Biryani small box appears to be a generic/prepared food item with no specific brand name associated with it.,
Flexible Plastic Bags ( 5kg Small Size - Mithai & Namkeen),unbranded,unbranded,0.9997,,0.9997,-0.000292,Yes,"This is a generic plastic bag product with no specific brand name, identified only by its size and use case.",
SS  NOODAL CHANNI,Unbranded,branded,0.0004,,0.9996,-0.000398,No,SS appears to be a brand name for this noodle strainer/channi kitchen utensil product.,
STICKER SHEEK KABAB,Unbranded,branded,0.0041,,0.9959,-0.004143,No,STICKER SHEEK KABAB appears to be a branded/packaged product sold under the 'STICKER' brand name.,
Sticker Veg 750 ml Container,Unbranded,unbranded,0.9433,,0.9433,-0.058321,Yes,The product appears to be a generic container/storage item with no specific brand name identified.,
Cling Film,Unbranded,unbranded,0.9993,,0.9993,-0.000744,Yes,Cling Film is a generic household product description with no specific brand name mentioned.,
Kale,Unbranded,unbranded,0.9961,,0.9961,-0.003892,Yes,Kale is a generic leafy vegetable with no specific brand name associated with it.,
#_# BC - Aam Ice Cream [300ML] - BICO,Unbranded,branded,0.9917,,0.9917,-0.008351,Yes,BICO is a specific ice cream brand selling Aam flavored ice cream under its brand name.,
340 MM BOPP ROLL,Ovenfresh,unbranded,0.9998,,0.9998,-0.000174,Yes,"This is a generic commodity item (BOPP packaging roll) identified only by its specification/size, with no brand name attached.",
3 Ply Corrugated Croissant Tray,Unbranded,unbranded,0.9972,,0.9972,-0.002849,Yes,The product is a generic packaging/tray item with no specific brand name associated with it.,
Kundru,Unbranded,unbranded,0.9998,,0.9998,-0.000204,Yes,Kundru (ivy gourd) is a generic vegetable with no brand name associated with it.,
Unbranded Spray Gun,unbranded,unbranded,0.6225,,0.6225,-0.474078,Yes,"The product title explicitly contains the word 'Unbranded', indicating it is a generic item with no specific brand name.",
Sparkling Water,unbranded,unbranded,0.9987,,0.9987,-0.001326,Yes,The product title 'Sparkling Water' is a generic description with no specific brand name mentioned.,
Griffith Hot Chilli Marinade,Custom Culinary,branded,0.9998,,0.9998,-0.000159,Yes,Griffith is a specific brand name associated with this chilli marinade product.,
Kung Pao Sauce 335 G,Unbranded,branded,0.0357,,0.9643,-0.036331,No,"Kung Pao Sauce in a specific packaged weight (335g) indicates a manufactured product sold under a brand, as generic sauces are not typically measured and sold this way without a brand name.",
Plastic Packing Theli (PP),Unbranded,unbranded,1.0,,1.0,-3.2e-05,Yes,This is a generic plastic packing bag/theli with no specific brand name associated with it.,
Teqila Blanco Don Angel 750 Ml,unbrand,branded,0.9988,,0.9988,-0.001152,Yes,Don Angel is a specific brand of Tequila Blanco sold under a named label.,
EVD DAIRY WHITENER 1 KG,unbranded,branded,0.9988,,0.9988,-0.001189,Yes,EVD is a specific brand name under which this dairy whitener product is sold.,
Red Paprika Sliced,Sarwar,unbranded,0.9967,,0.9967,-0.003279,Yes,Red Paprika Sliced is a generic vegetable/spice item with no specific brand name associated.,
#_# Big Blue Box - Sweetish,unbranded,branded,0.7249,,0.7249,-0.321763,Yes,The 'Big Blue Box' appears to be a specific branded product line with a distinctive name and variant ('Sweetish').,
19 KG Commercial Cylinder,Unbranded,unbranded,0.98,,0.98,-0.020227,Yes,This is a generic commodity item (commercial LPG cylinder) with no specific brand name associated with it.,
Message Card,Unbranded,unbranded,0.9828,,0.9828,-0.017326,Yes,A message card is a generic stationery item with no specific brand name associated with it.,
VIKRAM - CHAKKI ATTA 30 KG,unbranded,branded,0.9997,,0.9998,-0.000249,Yes,VIKRAM is a specific brand name under which this chakki atta is sold.,
Kashmiri Chili,unbranded,unbranded,0.9989,,0.9989,-0.001134,Yes,Kashmiri Chili is a generic commodity spice with no specific brand name associated with it.,
Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,OUTLET,branded,0.9981,,0.9981,-0.001869,Yes,The product is sold under the brand name 'Infinite' as a specific premix product.,
Texmex cheese sauce,Unbranded,branded,0.018,,0.982,-0.01815,No,Texmex appears to be a brand name for a specific packaged cheese sauce product.,
Fried Mirchi retort,ME,unbranded,0.9993,,0.9993,-0.000667,Yes,The product appears to be a generic fried chili (mirchi) item with no identifiable brand name attached.,
Dried figs,Unbranded,unbranded,0.9972,,0.9972,-0.002805,Yes,Dried figs is a generic commodity product with no specific brand name mentioned.,
WOODEN SPOON 160MM (100 Pcs),unbranded,unbranded,0.9997,,0.9997,-0.000287,Yes,"This is a generic wooden spoon utensil with no specific brand name mentioned, only a size and quantity specification.",
UH ZUCCHINI GREENSMALL DICE1 KG / BAG,unbranded,unbranded,0.9659,,0.9659,-0.034696,Yes,"Zucchini is a generic vegetable commodity; 'UH' appears to be a catalog/store code, not a brand name.",
#_# SIERRA 72% Dark Chocolate Bar - Ether,unbranded,branded,0.982,,0.982,-0.01815,Yes,SIERRA is a specific brand name selling a named dark chocolate product line called 'Ether'.,
Butter Scotch DF Bite,unbranded,branded,0.9992,,0.9992,-0.000756,Yes,Butter Scotch DF Bite appears to be a branded confectionery product with a specific product name rather than a generic commodity item.,
GLOVES BLUE,Unbranded,unbranded,0.9999,,0.9999,-0.000114,Yes,The product title 'GLOVES BLUE' describes a generic item by type and color with no specific brand name mentioned.,
Milk Compound Slab M21,Unbranded,branded,0.4844,,0.5156,-0.662386,No,"The alphanumeric code 'M21' suggests a specific product variant from a manufacturer, indicating it is a branded compound chocolate slab.",
Quinoa 1kg,Unbranded,unbranded,0.9966,,0.9966,-0.003383,Yes,Quinoa is listed as a generic commodity grain with no specific brand name associated with it.,
A-005 Grill and Oven Cleaner ACTON,unbranded,branded,0.9976,,0.9976,-0.0024,Yes,The product is sold under the brand name 'ACTON' with a specific product code 'A-005'.,
Flow Wrap Rolls - Raspberry Duet (60 ml),unbranded,branded,0.0316,,0.9684,-0.03213,No,"Flow Wrap Rolls is a specific branded product line with a named flavor variant (Raspberry Duet), indicating a manufacturer's brand.",
Garbage Bag 30x50 Kg,Unbranded,unbranded,0.9999,,0.9999,-8e-05,Yes,"The product title contains no specific brand name, only a generic description with size and capacity specifications.",
Dry Amla-Dry Gooseberry,unbranded,unbranded,0.9998,,0.9998,-0.00022,Yes,Dry Amla (Gooseberry) is a generic commodity dried fruit with no specific brand name mentioned.,
Real Pineapple Juice,unbranded,branded,0.999,,0.999,-0.001017,Yes,Real is a well-known branded fruit juice product by Dabur India.,
PG-Paper Tub Lids,Unbranded,branded,0.4111,,0.5889,-0.529519,No,PG-Paper appears to be a specific brand name for these tub lids.,
Cambro Polycarbonate GN Pan 1/2 200mm,Unbranded,branded,0.9999,,0.9999,-6.5e-05,Yes,Cambro is a well-known brand that manufactures professional foodservice equipment including polycarbonate GN pans.,
Mangoes (Sindhura) X1KG,Unbranded,unbranded,0.9999,,0.9999,-8.2e-05,Yes,"Sindhura refers to a variety/type of mango, not a brand name, making this a generic commodity fruit product.",
Premix Egg Free Chocolate Make: pillsbury,unbranded,branded,0.9999,,0.9999,-8.9e-05,Yes,"The product is explicitly made by Pillsbury, a well-known brand.",
Masoor Whole,unbranded,unbranded,0.9988,,0.9988,-0.001226,Yes,Masoor Whole is a generic commodity lentil with no specific brand name associated with it.,
Jau / Ghat,unbranded,unbranded,0.9979,,0.9979,-0.002085,Yes,Jau/Ghat (barley) is a generic commodity grain with no specific brand name associated with it.,
PASSION FRUIT SYRUP(1 LTR) Foodoo,NUTASTE,branded,0.9995,,0.9995,-0.000459,Yes,"The product is sold under the brand name 'Foodoo', making it a branded passion fruit syrup.",
Soda 750ml- @ 18%,Unbranded,unbranded,0.9857,,0.9857,-0.014385,Yes,The product is listed as a generic soda with no specific brand name mentioned.,
Blue Berry 250Gs,unbranded,unbranded,0.906,,0.906,-0.098728,Yes,Blueberry is a generic fruit commodity with no specific brand name associated with it.,
Active X Mustard Oil 500mL,unbranded,branded,0.9998,,0.9998,-0.000245,Yes,Active X is a specific brand name under which this mustard oil is sold.,
PRINTER ROLL,Unbranded,unbranded,0.9866,,0.9866,-0.013519,Yes,PRINTER ROLL is a generic commodity item with no specific brand name mentioned.,
#_# Frozen OG Chocolate Chip Chonker - Chonkers,unbranded,branded,0.9812,,0.9812,-0.019013,Yes,Chonkers appears to be a specific brand selling named products like 'OG Chocolate Chip Chonker'.,
Burata Cheese 250 Grm,Unbranded,unbranded,0.9774,,0.9774,-0.022889,Yes,Burrata cheese is listed as a generic dairy product with no specific brand name mentioned.,
Mother Dairy milk,Unbranded,branded,1.0,,1.0,-4e-06,Yes,Mother Dairy is a well-known brand name for milk products.,
CELLO TAPE BIG PLAIN 3 INCH,UNBRANDED,branded,0.7905,,0.7905,-0.235053,Yes,Cello Tape is a well-known brand name for adhesive tape products.,
Corn Flour,Golden Crown,unbranded,0.9995,,0.9995,-0.000512,Yes,Corn Flour is a generic commodity ingredient with no specific brand name mentioned.,
Sweets Milk Kalakand,unbranded,unbranded,0.9983,,0.9983,-0.001676,Yes,The product title 'Sweets Milk Kalakand' describes a generic Indian sweet with no specific brand name associated with it.,
#_# Greeting Card - Sassy Teaspoon,Unbranded,branded,0.9504,,0.9504,-0.050862,Yes,"The product is sold under the specific brand name 'Sassy Teaspoon', indicating it is a branded greeting card.",
Kcco Tray Big,Unbranded,branded,0.6406,,0.6406,-0.445299,Yes,KCCO appears to be a specific brand name for this tray product.,
SPRITE 250ML,PEPSI,branded,1.0,,1.0,-1.7e-05,Yes,Sprite is a well-known carbonated beverage brand owned by The Coca-Cola Company.,
KESAR,Unbranded,unbranded,0.9185,,0.9185,-0.085035,Yes,"Kesar means saffron in Hindi, referring to a generic spice commodity rather than a specific brand name.",
CARRY BAG 500GM,Unbranded,unbranded,0.9998,,0.9998,-0.000177,Yes,The product is a generic carry bag described only by weight with no specific brand name mentioned.,
HARPIC LIQUID,Ovenfresh,branded,0.9995,,0.9995,-0.000459,Yes,Harpic is a well-known branded toilet cleaning liquid manufactured by Reckitt Benckiser.,
#_# The Godfather (Reeses peanut butter cup) Cookie Dough - Cookie Cartel,unbranded,branded,0.9995,,0.9995,-0.000496,Yes,The product is sold under the 'Cookie Cartel' brand and features a named product variant 'The Godfather' with a branded ingredient (Reese's peanut butter cup).,
DRY ICE,Unbranded,unbranded,0.9995,,0.9995,-0.000504,Yes,Dry ice is a generic commodity product with no specific brand name associated with it.,
#_# PMK Veg Hakka Noodles 250gm - Prasuma,unbranded,branded,0.9989,,0.9989,-0.001082,Yes,The product is sold under the 'Prasuma' brand name with the 'PMK' label designation.,
Gud,Unbranded,unbranded,0.85,,0.85,-0.162554,Yes,Gud (jaggery) is a generic commodity product with no specific brand name mentioned.,
#_# French Vanilla (100 ml) - Go Zero,Unbranded,branded,0.999,,0.999,-0.001017,Yes,The product is sold under the 'Go Zero' brand name.,
#_# Classic Vanilla Minis Sugar Free Ice cream [09 pieces] - Noto,unbranded,branded,0.9998,,0.9998,-0.000164,Yes,"The product is sold under the brand name 'Noto', a specific ice cream brand.",
PLASTIC DIP BOWL 50 ML,Unbranded,unbranded,0.9948,,0.9948,-0.005234,Yes,The product is a generic plastic dip bowl with no specific brand name mentioned.,
SS GN PAN 1/3 100 MM,Unbranded,branded,0.0001,,1.0,-4.9e-05,No,"SS GN PAN appears to be a branded product line, likely referring to a specific manufacturer's stainless steel gastronorm pan.",
White Envelope Cover,unbrand,unbranded,0.9989,,0.9989,-0.001082,Yes,White Envelope Cover is a generic stationery item with no specific brand name mentioned.,
Leeks,Unbrand,unbranded,0.9991,,0.9991,-0.000926,Yes,Leeks is a generic vegetable with no specific brand name associated with it.,
NATURESMITH PAPRIKA POWDER 60GM,Unbranded,branded,1.0,,1.0,-1.2e-05,Yes,NATURESMITH is a specific brand name under which the paprika powder is sold.,
FRENCH FRIES,Unbranded,unbranded,0.9957,,0.9957,-0.004341,Yes,French Fries is a generic food item with no specific brand name associated with it.,
Poly Veg logo1500&#215;23,Unbranded,unbranded,0.9918,,0.9918,-0.008222,Yes,The title appears to be a generic/internal catalog label or image filename with no recognizable brand name associated with a specific company.,
BESAN,RAJDHANI,unbranded,0.9995,,0.9995,-0.000488,Yes,Besan (chickpea flour) is a generic commodity item with no specific brand name mentioned.,
Hand Sanitizer,unbranded,unbranded,0.9961,,0.9961,-0.003892,Yes,The product title 'Hand Sanitizer' is a generic description with no specific brand name mentioned.,
Cutlery Basket,unbranded,unbranded,0.9669,,0.9669,-0.033646,Yes,Cutlery Basket is a generic household item with no specific brand name mentioned.,
PAPER CUP ( TEA WATER ETC),Unbranded,unbranded,0.9996,,0.9996,-0.000392,Yes,Generic paper cup product with no specific brand name mentioned.,
NOTEBOOK LONG 200 PAGES,UNBRANDED,unbranded,0.9999,,0.9999,-6.7e-05,Yes,The product title describes a generic notebook with no specific brand name mentioned.,
Rice Dosa (Ponni),unbranded,unbranded,0.9957,,0.9957,-0.004341,Yes,"Rice Dosa (Ponni) refers to a generic dosa variety made from Ponni rice, with no specific brand name associated.",
#_# Kesar Peda 500gms - Genda Phool,Unbranded,branded,0.9546,,0.9546,-0.046414,Yes,"The product is sold under the brand name 'Genda Phool', indicating it is a branded item.",
XO Sauce Sticker,Unbranded,branded,0.0015,,0.9985,-0.001502,No,XO Sauce is a specific branded condiment product with a recognizable brand identity.,
